species_code,genus,species
brook-side alder,Alnus,serrulata
hazel alder,Alnus,serrulata
American elm,Ulmus,americana
American holly,Ilex,opaca
arrowwood,Viburnum,dentatum
arrow-wood viburnum,Viburnum,dentatum
southern arrowwood,Viburnum,dentatum
ash,Fraxinus,spp
eastern baccharis,Baccharis,halimifolia
swamp tupelo,Nyssa,biflora
buttonbush,Cephalanthus,occidentalis
common buttonbush,Cephalanthus,occidentalis
tallowtree,Triadica,sebifera
Chinese tallow,Triadica,sebifera
baldcypress,Taxodium,distichum
bald cypress,Taxodium,distichum
dahoon,Ilex,cassine
American hornbeam,Carpinus,caroliniana
laurel oak,Quercus,laurifolia
loblolly pine,Pinus,taeda
rattlebox,Sesbania,punicea
swamp bay,Persea,palustris
red maple,Acer,rubrum
stiff dogwood,Cornus,foemina
swamp dogwood,Cornus,foemina
sweetgum,Liquidambar,styraciflua
water-elm,Planera,aquatica
water elm,Planera,aquatica
planertree,Planera,aquatica
water oak,Quercus,nigra
water tupelo,Nyssa,aquatica
waxmyrtle,Morella,cerifera
wax myrtle,Morella,cerifera
