study_id,site_id,plot_id,mean_agb_g_m2,vegetation_class
krauss_2018,Savannah_Lower,1,7427.814149947135,forest
krauss_2018,Savannah_Lower,2,3560.2718773253227,forest
krauss_2018,Savannah_Middle,1,23887.785252498048,forest
krauss_2018,Savannah_Middle,2,25977.944080841018,forest
krauss_2018,Savannah_Upper,1,33340.92569513073,forest
krauss_2018,Savannah_Upper,2,40710.466642378335,forest
krauss_2018,Waccamaw_Lower,1,7192.900087855868,forest
krauss_2018,Waccamaw_Lower,2,9708.805107343467,forest
krauss_2018,Waccamaw_Middle,1,19330.54140233578,forest
krauss_2018,Waccamaw_Middle,2,19479.99074695629,forest
krauss_2018,Waccamaw_Upper,1,32684.467854467515,forest
krauss_2018,Waccamaw_Upper,2,23641.052097028576,forest
