study_id,site_id,plot_id,tree_id,genus,species,species_code,live_or_dead,year,dbh,plot_area_m2,agb
krauss_2018,Savannah_Lower,1,NA,Taxodium,distichum,baldcypress,dead,2005,7.4,500,12038.906535849039
krauss_2018,Savannah_Lower,1,NA,Taxodium,distichum,baldcypress,dead,2005,13.6,500,47611.27846737108
krauss_2018,Savannah_Lower,1,NA,Taxodium,distichum,baldcypress,dead,2005,15.2,500,61212.45186099843
krauss_2018,Savannah_Lower,1,NA,Taxodium,distichum,baldcypress,dead,2005,15.4,500,63047.163751335516
krauss_2018,Savannah_Lower,1,NA,Taxodium,distichum,baldcypress,dead,2005,15.5,500,63975.85727112506
krauss_2018,Savannah_Lower,1,NA,Taxodium,distichum,baldcypress,dead,2005,16.5,500,73681.50165768867
krauss_2018,Savannah_Lower,1,NA,Taxodium,distichum,baldcypress,dead,2005,16.7,500,75714.62805182152
krauss_2018,Savannah_Lower,1,NA,Taxodium,distichum,baldcypress,dead,2005,30.4,500,293039.889364008
krauss_2018,Savannah_Lower,1,615,Taxodium,distichum,baldcypress,live,2005,6.15,500,7925.841865797865
krauss_2018,Savannah_Lower,1,623,Taxodium,distichum,baldcypress,live,2005,7.45,500,12223.461050277278
krauss_2018,Savannah_Lower,1,616,Taxodium,distichum,baldcypress,live,2005,13,500,42997.13942054666
krauss_2018,Savannah_Lower,1,590,Taxodium,distichum,baldcypress,live,2005,13.55,500,47216.73985774246
krauss_2018,Savannah_Lower,1,620,Taxodium,distichum,baldcypress,live,2005,14.15,500,52072.411499165624
krauss_2018,Savannah_Lower,1,628,Taxodium,distichum,baldcypress,live,2005,14.25,500,52907.505179500935
krauss_2018,Savannah_Lower,1,604,Taxodium,distichum,baldcypress,live,2005,14.5,500,55027.696366550415
krauss_2018,Savannah_Lower,1,606,Taxodium,distichum,baldcypress,live,2005,14.8,500,57633.36922592091
krauss_2018,Savannah_Lower,1,614,Taxodium,distichum,baldcypress,live,2005,14.9,500,58516.879571373036
krauss_2018,Savannah_Lower,1,605,Taxodium,distichum,baldcypress,live,2005,15.65,500,65383.10525493661
krauss_2018,Savannah_Lower,1,602,Taxodium,distichum,baldcypress,live,2005,15.8,500,66807.4403297783
krauss_2018,Savannah_Lower,1,588,Taxodium,distichum,baldcypress,live,2005,16.5,500,73681.50165768867
krauss_2018,Savannah_Lower,1,596,Taxodium,distichum,baldcypress,live,2005,16.55,500,74186.89232294267
krauss_2018,Savannah_Lower,1,617,Taxodium,distichum,baldcypress,live,2005,17,500,78822.27124087111
krauss_2018,Savannah_Lower,1,597,Taxodium,distichum,baldcypress,live,2005,17.15,500,80402.25908192841
krauss_2018,Savannah_Lower,1,619,Taxodium,distichum,baldcypress,live,2005,17.2,500,80932.8080297575
krauss_2018,Savannah_Lower,1,622,Taxodium,distichum,baldcypress,live,2005,17.2,500,80932.8080297575
krauss_2018,Savannah_Lower,1,608,Taxodium,distichum,baldcypress,live,2005,17.4,500,83074.47460650593
krauss_2018,Savannah_Lower,1,610,Taxodium,distichum,baldcypress,live,2005,17.45,500,83614.76624568597
krauss_2018,Savannah_Lower,1,601,Taxodium,distichum,baldcypress,live,2005,17.7,500,86345.54697157777
krauss_2018,Savannah_Lower,1,613,Taxodium,distichum,baldcypress,live,2005,17.8,500,87451.57002695333
krauss_2018,Savannah_Lower,1,624,Taxodium,distichum,baldcypress,live,2005,17.95,500,89125.33055856098
krauss_2018,Savannah_Lower,1,593,Taxodium,distichum,baldcypress,live,2005,18.1,500,90816.79640586983
krauss_2018,Savannah_Lower,1,632,Taxodium,distichum,baldcypress,live,2005,18.5,500,95414.22133337744
krauss_2018,Savannah_Lower,1,612,Taxodium,distichum,baldcypress,live,2005,18.55,500,95997.80699737222
krauss_2018,Savannah_Lower,1,592,Taxodium,distichum,baldcypress,live,2005,19,500,101339.52792746329
krauss_2018,Savannah_Lower,1,603,Taxodium,distichum,baldcypress,live,2005,19.2,500,103765.47476947936
krauss_2018,Savannah_Lower,1,621,Taxodium,distichum,baldcypress,live,2005,19.4,500,106223.45176733886
krauss_2018,Savannah_Lower,1,631,Taxodium,distichum,baldcypress,live,2005,19.4,500,106223.45176733886
krauss_2018,Savannah_Lower,1,598,Taxodium,distichum,baldcypress,live,2005,19.8,500,111235.84017868634
krauss_2018,Savannah_Lower,1,599,Taxodium,distichum,baldcypress,live,2005,20.5,500,120318.68160994508
krauss_2018,Savannah_Lower,1,618,Taxodium,distichum,baldcypress,live,2005,20.9,500,125687.8308619552
krauss_2018,Savannah_Lower,1,627,Taxodium,distichum,baldcypress,live,2005,21.4,500,132583.51795514792
