study_id,site_id,plot_id,quadrant_id,tree_id,genus,species,species_code,dbh,plot_area_m2,agb
craft_2013,GCE11,1,N,19,Acer,rubrum,AcRu,34,1e3,618870.0261761331
craft_2013,GCE11,1,W,NA,Acer,rubrum,AcRu,16,1e3,104078.93347325154
craft_2013,GCE11,1,S,NA,Acer,rubrum,AcRu,17,1e3,120125.00153002015
craft_2013,GCE11,1,S,24,Acer,rubrum,AcRu,11,1e3,42903.87334821402
craft_2013,GCE11,2,NE,35,Acer,rubrum,AcRu,16,1e3,104078.93347325154
craft_2013,GCE11,2,SE,NA,Acer,rubrum,AcRu,11,1e3,42903.87334821402
craft_2013,GCE11,2,SE,NA,Acer,rubrum,AcRu,13,1e3,63692.17574800477
craft_2013,GCE11,2,SE,NA,Acer,rubrum,AcRu,10,1e3,34245.11762459752
craft_2013,GCE11,2,NW,NA,Acer,rubrum,AcRu,13,1e3,63692.17574800477
craft_2013,GCE11,2,NW,NA,Acer,rubrum,AcRu,13,1e3,63692.17574800477
craft_2013,GCE11,2,NW,NA,Acer,rubrum,AcRu,26,1e3,328134.67613177863
craft_2013,GCE11,1,E,NA,Carpinus,caroliniana,CaCa,11,1e3,32303.4136368194
craft_2013,GCE11,1,N,NA,Fraxinus,pennsylanica,FrPe,10,1e3,25494.687023862978
craft_2013,GCE11,1,N,NA,Fraxinus,pennsylanica,FrPe,16,1e3,81918.43783255015
craft_2013,GCE11,1,N,NA,Fraxinus,pennsylanica,FrPe,27,1e3,300428.8208067303
craft_2013,GCE11,1,W,NA,Fraxinus,pennsylanica,FrPe,41,1e3,847809.7232548938
craft_2013,GCE11,1,W,NA,Fraxinus,pennsylanica,FrPe,11,1e3,32303.4136368194
craft_2013,GCE11,1,W,NA,Fraxinus,pennsylanica,FrPe,11,1e3,32303.4136368194
craft_2013,GCE11,1,W,NA,Fraxinus,pennsylanica,FrPe,17,1e3,95229.07834544171
craft_2013,GCE11,1,E,NA,Fraxinus,pennsylanica,FrPe,10,1e3,25494.687023862978
craft_2013,GCE11,1,E,NA,Fraxinus,pennsylanica,FrPe,10,1e3,25494.687023862978
craft_2013,GCE11,1,E,NA,Fraxinus,pennsylanica,FrPe,12,1e3,40095.56239604096
craft_2013,GCE11,1,E,NA,Fraxinus,pennsylanica,FrPe,10,1e3,25494.687023862978
craft_2013,GCE11,2,NE,NA,Fraxinus,pennsylanica,FrPe,12,1e3,40095.56239604096
craft_2013,GCE11,2,NE,NA,Fraxinus,pennsylanica,FrPe,30,1e3,390283.61678765435
craft_2013,GCE11,2,NE,36,Fraxinus,pennsylanica,FrPe,29,1e3,358769.1673397749
craft_2013,GCE11,2,NE,NA,Fraxinus,pennsylanica,FrPe,26,1e3,273549.54362775595
craft_2013,GCE11,2,NE,NA,Fraxinus,pennsylanica,FrPe,11,1e3,32303.4136368194
craft_2013,GCE11,2,NE,NA,Fraxinus,pennsylanica,FrPe,42,1e3,900096.9655373232
craft_2013,GCE11,2,SE,NA,Fraxinus,pennsylanica,FrPe,18,1e3,109753.64472410589
craft_2013,GCE11,2,SE,NA,Fraxinus,pennsylanica,FrPe,25,1e3,248161.0947929989
craft_2013,GCE11,2,SE,NA,Fraxinus,pennsylanica,FrPe,11,1e3,32303.4136368194
craft_2013,GCE11,2,SE,NA,Fraxinus,pennsylanica,FrPe,10,1e3,25494.687023862978
craft_2013,GCE11,2,SE,NA,Fraxinus,pennsylanica,FrPe,10,1e3,25494.687023862978
craft_2013,GCE11,2,SE,NA,Fraxinus,pennsylanica,FrPe,19,1e3,125526.16272326108
craft_2013,GCE11,2,SE,NA,Fraxinus,pennsylanica,FrPe,52,1e3,1529832.8730156377
craft_2013,GCE11,2,SE,NA,Fraxinus,pennsylanica,FrPe,10,1e3,25494.687023862978
craft_2013,GCE11,2,NW,NA,Fraxinus,pennsylanica,FrPe,12,1e3,40095.56239604096
craft_2013,GCE11,1,N,NA,Liquidambar,styraciflua,LiSt,14,1e3,58797.4730181621
craft_2013,GCE11,1,N,NA,Liquidambar,styraciflua,LiSt,13,1e3,48913.416712930506
craft_2013,GCE11,1,N,NA,Liquidambar,styraciflua,LiSt,10,1e3,25494.687023862978
craft_2013,GCE11,1,N,NA,Liquidambar,styraciflua,LiSt,10,1e3,25494.687023862978
craft_2013,GCE11,1,W,NA,Liquidambar,styraciflua,LiSt,33,1e3,494514.5275548954
