"CM000_010","CM010_020","CM020_030","CM030_040","CM040_050","CM050_060","CM060_070","CM070_080","CM080_090","CM090_100","CM100_110","CM110_120","CM120_130","CM130_140","CM140_150","CM150_160","CM160_170","CM170_180","CM180_190","CM190_200"
10160.0829437252,9919.05907583937,9959.75600700553,9761.18763233769,9294.62536123623,9669.65053016425,9065.62928937107,9280.31677793326,8967.51381562657,9165.30519388887,10047.2556659253,10166.1258434848,10044.627894415,9582.59072435105,9941.61327898428,10933.1900364254,10951.1461251763,10084.7736237137,9621.41662272169,9814.77283392047
10472.3713334142,10162.6745399325,10033.3058781533,10105.5456751542,9794.25369810643,10052.2835542428,9270.75809176983,9548.12222041317,9171.12208029916,9427.64647270794,10565.1937658563,10383.1279450675,10578.3910361647,10078.8691574119,10238.6348518817,11013.9984272186,10803.195301566,10918.9172641135,10467.4509253894,10577.3016285598
10230.7563265039,10151.2507181122,10124.4106212143,9659.22106235128,9327.89295839495,9837.11165448583,9104.34678649354,9040.08986167051,8409.86331759033,8747.3344151185,9156.49848488193,9183.80713978287,9410.8034722008,9122.2370735843,9402.37058528282,10746.3463891387,10570.0367426854,10152.7847980317,9945.57058101326,9365.86819600587
10193.3684147769,9997.83949055309,9779.62830315777,9575.4381616663,9275.40668074595,9770.63665396437,9124.97767218468,9099.71389019039,8717.22205421041,8931.09863464622,9692.65686304579,9454.87904857901,9831.85315450503,9488.40427502311,9787.985139197,10526.6419676209,10438.7858161023,9944.71105861083,9237.83523510965,9242.94101583476
10147.5504039833,9953.26779472556,10049.4847692138,10100.8903470186,9622.9009201984,9648.18493703576,9042.05977354702,9125.30509343341,8894.45907516404,9102.19066548967,9422.21053525951,9594.76272973072,9852.96125810336,9477.66831759763,9841.15473540926,10092.6785220463,9989.06716891547,9667.70048759278,8985.56737429556,8552.57298969843
10366.9357854793,10256.6868189684,10298.0520912004,10205.5308612386,9891.0152940934,10059.2588726971,8995.93538248558,8971.5193696379,8732.14485547891,9014.15555946776,9810.86122479723,9598.51089866916,10063.4033726477,9777.49986542302,9919.91360677087,11114.6169723319,10971.2283055951,10547.8555423985,10380.9120716698,9918.04139591493
10277.1263187695,9928.80101023372,9791.3444844489,10058.4359574124,9627.51170398475,10156.5936719441,9028.63378647391,9097.7075852513,8774.27285913381,8966.34106117197,10038.3513832909,10176.1285382483,10258.3574534447,9791.09016074144,10078.7367900656,10113.8568236041,10311.6456243313,10068.5126466031,9976.69219655769,9781.22047807616
10371.2502821124,10020.8132850017,9910.83245393853,10294.2495276509,9754.56760713027,10235.8784735464,9576.82743361595,9618.31178088065,9145.14537238974,9381.87601593935,10397.7148814099,10530.1268002311,10499.9424785172,10221.7017952397,10383.5709094192,11090.6653652334,11136.6056235559,10656.2275220928,10192.6289671625,9951.10900784017
10250.4109616368,10294.3970958624,10217.9172743734,10140.6450474006,9965.06275729501,9826.75916727811,9059.88894800823,9310.70257097487,9025.36618232352,9276.96215728822,10016.7936050411,10119.7295987176,9971.11856805259,9655.19015099523,9820.30087242257,11244.4859060955,11053.1435450153,10465.5396834517,9759.24592596376,9260.88462168999
10170.1555751404,10011.455825144,10028.5522871646,10030.1377904467,9681.67616630258,9826.22547633305,9376.26338511654,9389.42165688405,9196.38330717697,9430.94896701667,10833.8255379185,10900.5926632095,10885.1149342235,10451.3344059959,10772.5844869656,10952.4891283527,10892.078858749,10630.4820006892,10000.5762231369,10031.7858161981
