study_id,site_id,plot_id,mean_agb_g_m2,mean_tree_height,vegetation_class
doughty_2015,MC-05,A,15320.522012457472,3.025,shrub
doughty_2015,MC-05,B,15438.079584619156,2.9466666666666668,shrub
doughty_2015,MC-05,C,7865.467670500631,2.2625,shrub
doughty_2015,MC-08,A,24084.351241110875,2.783333333333333,shrub
doughty_2015,MC-08,B,9214.162061928517,5.1,forest
doughty_2015,MC-08,C,10681.285872233324,3.475,shrub
doughty_2015,MC-10,A,17056.482814311763,2.94125,shrub
doughty_2015,MC-10,B,21125.62574550488,2.6392857142857142,shrub
doughty_2015,MC-10,C,12198.87018557633,2.4611111111111112,shrub
doughty_2015,MC-11,A,10400.558100667264,1.4781818181818183,shrub
doughty_2015,MC-11,B,7642.754028467451,1.7804545454545455,shrub
doughty_2015,MC-11,C,9093.570388159675,1.479642857142857,shrub
doughty_2015,MC-12,A,40.685904761968196,1.2,shrub
doughty_2015,MC-12,B,29.066240931548023,1.12625,shrub
doughty_2015,MC-12,C,54.93398239775923,1.3666666666666667,shrub
doughty_2015,MC-15,A,2590.9280278675815,1.1109090909090908,shrub
doughty_2015,MC-15,B,1749.4390868527053,1.2642857142857142,shrub
doughty_2015,MC-15,C,1584.285144321846,1.3246153846153845,shrub
doughty_2015,MC-16,A,447.0123835297492,1.0324137931034483,shrub
doughty_2015,MC-16,B,78.68087805179036,1.3204166666666666,shrub
doughty_2015,MC-16,C,32.3357533574804,1.24,shrub
doughty_2015,MC-19,A,11638.535514117732,4.7214285714285715,shrub
doughty_2015,MC-19,B,9032.080341578308,5.572727272727272,forest
doughty_2015,MC-19,C,19246.86551776434,5.347058823529411,forest
doughty_2015,MC-22,A,1194.0170242456106,1.7875,shrub
doughty_2015,MC-22,B,2029.270529307767,1.8033333333333332,shrub
doughty_2015,MC-22,C,3693.731664626012,1.6833333333333333,shrub
