PublicationID,First_Author,Year,Publication_Type,Source,Latitude,Longitude,Ecosystem,CCAP_Class,Climate_Zone,Salinity_Regime,Tide_Range,Stature,Management,Activity,Species1,Species2,Species3,AGB,AGBunits,delAGB,delAGBunits,BGB,BGBunits,delBGB,delBGBunits
1,Baldwin,2013,1,1,38.32,-75.46,tidal_fresh_marsh,Estuarine Emergent Wetland,temperate_warm,oligo,0.7,herb,N,none,POAR6,ZIAQ,NA,90,g_m2,NA,NA,NA,NA,NA,NA
1,Baldwin,2013,1,1,38.32,-75.46,tidal_fresh_marsh,Estuarine Emergent Wetland,temperate_warm,oligo,0.7,herb,N,none,POAR6,ACCA4,TYPHA,485,g_m2,NA,NA,NA,NA,NA,NA
3,Bouillon,2008,2,1,NA,NA,mangrove,NA,subtropical,NA,NA,tree,N,NA,NA,NA,NA,200.5,gC_m2,4.01,Mg_ha,NA,NA,NA,NA
3,Bouillon,2008,2,1,NA,NA,mangrove,NA,subtropical,NA,NA,tree,N,NA,NA,NA,NA,365.5,gC_m2,7.31,Mg_ha,NA,NA,NA,NA
3,Bouillon,2008,2,1,NA,NA,mangrove,NA,subtropical,NA,NA,tree,N,NA,NA,NA,NA,595,gC_m2,11.9,Mg_ha,NA,NA,NA,NA
3,Bouillon,2008,2,1,NA,NA,mangrove,NA,subtropical,NA,NA,tree,N,NA,NA,NA,NA,628.5,gC_m2,12.57,Mg_ha,NA,NA,NA,NA
3,Bouillon,2008,2,1,NA,NA,mangrove,NA,subtropical,NA,NA,tree,N,NA,NA,NA,NA,666.5,gC_m2,13.33,Mg_ha,NA,NA,NA,NA
3,Bouillon,2008,2,1,NA,NA,mangrove,NA,subtropical,NA,NA,tree,N,NA,NA,NA,NA,695,gC_m2,13.9,Mg_ha,NA,NA,NA,NA
13,Doughty,2015,1,1,28.33,-31.23,mangrove,Palustrine Forested Wetlan,subtropical,NA,NA,NA,N,NA,NA,NA,NA,10,MgC_ha,NA,NA,2,MgC_ha,NA,NA
13,Doughty,2015,1,1,28.33,-31.23,mangrove,Palustrine Forested Wetlan,subtropical,NA,NA,shrub,N,NA,NA,NA,NA,29,MgC_ha,NA,NA,10,MgC_ha,NA,NA
13,Doughty,2015,1,1,28.33,-31.23,mangrove,Palustrine Forested Wetlan,subtropical,NA,NA,Sapling,N,NA,NA,NA,NA,30,MgC_ha,NA,NA,7,MgC_ha,NA,NA
13,Doughty,2015,1,1,28.33,-31.23,mangrove,Palustrine Forested Wetlan,subtropical,NA,NA,NA,N,NA,NA,NA,NA,55,MgC_ha,NA,NA,10,MgC_ha,NA,NA
13,Doughty,2015,1,1,28.33,-31.23,mangrove,Palustrine Forested Wetlan,subtropical,NA,NA,NA,N,NA,NA,NA,NA,86,MgC_ha,NA,NA,12,MgC_ha,NA,NA
13,Doughty,2015,1,1,28.33,-31.23,marsh,Palustrine Emergent Wetlan,subtropical,NA,NA,NA,N,NA,SPAL,DISP,BAMA5,8,MgC_ha,NA,NA,3,MgC_ha,NA,NA
16,Gross,1991,1,1,43,-70.8,marsh,NA,temperate_cold,NA,NA,herb,N,NA,SPAL,NA,NA,266,g_m2,NA,NA,754,g_m2,NA,NA
16,Gross,1991,1,1,33.3,-79.2,marsh,NA,temperate_warm,NA,NA,herb,N,NA,SPAL,NA,NA,323,g_m2,NA,NA,765,g_m2,NA,NA
16,Gross,1991,1,1,38.78,-75.14,marsh,NA,temperate_warm,NA,NA,herb,N,NA,SPAL,NA,NA,356,g_m2,NA,NA,913,g_m2,NA,NA
16,Gross,1991,1,1,37.2,-76.4,marsh,NA,temperate_warm,NA,NA,herb,N,NA,SPAL,NA,NA,398,g_m2,NA,NA,893,g_m2,NA,NA
16,Gross,1991,1,1,31.4,-81.3,marsh,NA,temperate_warm,NA,NA,herb,N,NA,SPAL,NA,NA,651,g_m2,NA,NA,831,g_m2,NA,NA
16,Gross,1991,1,1,38.78,-75.18,marsh,NA,temperate_warm,NA,NA,herb,N,NA,SPAL,NA,NA,1349,g_m2,NA,NA,1044,g_m2,NA,NA
24,Madrid,2012,1,1,30,-93.85,marsh,NA,subtropical,NA,NA,herb,R,created,SPAL,NA,NA,1486.7,g_m2,NA,NA,NA,NA,NA,NA
24,Madrid,2012,1,1,30,-93.85,marsh,NA,subtropical,NA,NA,herb,N,none,SPAL,SPPA,NA,2960,g_m2,NA,NA,NA,NA,NA,NA
29,Neubauer,2005,1,1,38.4,-76.6,marsh,NA,temperate_warm,NA,NA,herb,N,NA,SPAL,SPPA,NA,637,g_m2,NA,NA,60,g_m2,NA,NA
29,Neubauer,2005,1,1,38.78,-76.71,tidal_fresh_marsh,NA,temperate_warm,NA,NA,herb,N,NA,PEVI,POCO14,ZIAQ,468.6,g_m2,NA,NA,40.8,g_m2,NA,NA
33,Patton,2012,3,1,38.42,-76.06,marsh,Palustrine Emergent Wetlan,temperate_warm,NA,NA,herb,N,none,NA,NA,NA,130,g_m2,NA,NA,130,g_m2,NA,NA
36,Ross,2001,1,1,25.42,-80.05,mangrove,NA,subtropical,NA,NA,tree,N,NA,NA,NA,NA,22.28,Mg_ha,8.1,Mg_ha,NA,NA,NA,NA
36,Ross,2001,1,1,25.42,-80.05,mangrove,NA,subtropical,NA,NA,tree,N,NA,NA,NA,NA,56.02,Mg_ha,26.1,Mg_ha,NA,NA,NA,NA
38,Twilley,1992,2,1,18,-67.192383,mangrove,NA,subtropical,NA,NA,tree,N,NA,NA,NA,NA,62.8,Mg_ha,3.07,Mg_ha,NA,NA,NA,NA
41,Wieski,2010,1,1,30.98,-81.46,marsh,NA,subtropical,NA,NA,herb,N,NA,SPAL,JURO,NA,470,gC_m2,NA,NA,NA,NA,NA,NA
41,Wieski,2010,1,1,30.98,-81.46,marsh,NA,subtropical,NA,NA,herb,N,NA,SPAL,SPCY,JURO,743,gC_m2,NA,NA,NA,NA,NA,NA
41,Wieski,2010,1,1,30.98,-81.46,tidal_fresh_marsh,NA,subtropical,NA,NA,herb,N,NA,SPCY,SCTA2,ZIMI,640,gC_m2,NA,NA,NA,NA,NA,NA
49,DeLaune,1986,1,1,29.72,-90.12,tidal_fresh_marsh,NA,subtropical,NA,NA,NA,N,NA,PAHE2,NA,NA,1320,g_m2,NA,NA,NA,NA,NA,NA
82,Birch,1982,1,1,32.1,-81,tidal_fresh_marsh,NA,temperate_warm,NA,NA,herb,N,NA,ZIMI,NA,NA,1039,g_m2,1530,g_m2,782,g_m2,518,g_m2
83,Boyer,2000,1,1,38.8,-75.1,marsh,NA,mediterranean,NA,NA,herb,M,NA,SPFO,NA,NA,90,g_m2,NA,NA,1532,g_m2,NA,NA
83,Boyer,2000,1,1,38.8,-75.1,marsh,NA,mediterranean,NA,NA,herb,M,NA,SPFO,NA,NA,485,g_m2,NA,NA,1005,g_m2,NA,NA
83,Boyer,2000,1,1,38.8,-75.1,marsh,NA,mediterranean,NA,NA,herb,N,NA,SPFO,NA,NA,620,g_m2,NA,NA,1719,g_m2,NA,NA
85,Darby,2008,1,1,29.25,-91.33,marsh,NA,subtropical,meso,0.18,herb,N,NA,SPAL,NA,NA,641,g_m2,NA,NA,1207.7,g_m2,NA,NA
86,Doumlele,1981,1,1,40.55,-79.88,tidal_fresh_marsh,NA,temperate_warm,NA,0.84,herb,N,NA,POCO14,NA,NA,775.74,g_m2,775.74,g_m2,NA,NA,NA,NA
87,Elsey-Quirk,2011,1,1,38.8,-75.1,marsh,NA,temperate_warm,poly,NA,shrub,N,NA,BAHA,NA,NA,3006,g_m2,NA,NA,1004,g_m2,NA,NA
87,Elsey-Quirk,2011,1,1,38.42,-75.07,marsh,NA,temperate_warm,poly,NA,shrub,N,NA,BAHA,NA,NA,5854,g_m2,NA,NA,1955,g_m2,NA,NA
88,Castaneda-Moya,2013,1,1,25.56,-80.48,mangrove,NA,subtropical,NA,NA,NA,N,NA,NA,NA,NA,11.85,Mg_ha,3.32,Mg_ha,44,Mg_ha,4.72,Mg_ha
88,Castaneda-Moya,2013,1,1,25.56,-80.48,mangrove,NA,subtropical,NA,NA,NA,N,NA,NA,NA,NA,14.58,Mg_ha,3.22,Mg_ha,24,Mg_ha,5.93,Mg_ha
88,Castaneda-Moya,2013,1,1,25.37,-81.08,mangrove,NA,subtropical,NA,NA,NA,N,NA,NA,NA,NA,16.03,Mg_ha,3.78,Mg_ha,46.7,Mg_ha,4.07,Mg_ha
88,Castaneda-Moya,2013,1,1,25.56,-80.48,mangrove,NA,subtropical,NA,NA,NA,N,NA,NA,NA,NA,99.67,Mg_ha,9.12,Mg_ha,45,Mg_ha,6.43,Mg_ha
88,Castaneda-Moya,2013,1,1,25.37,-81.08,mangrove,NA,subtropical,NA,NA,NA,N,NA,NA,NA,NA,118.11,Mg_ha,11.68,Mg_ha,31,Mg_ha,4.28,Mg_ha
88,Castaneda-Moya,2013,1,1,25.37,-81.08,mangrove,NA,subtropical,NA,NA,NA,N,NA,NA,NA,NA,172.14,Mg_ha,14.51,Mg_ha,25,Mg_ha,4.31,Mg_ha
89,Morris,1990,1,1,33.33,-79.2,marsh,NA,temperate_warm,meta,NA,herb,N,NA,SPAL,NA,NA,429.5,g_m2,692.75,g_m2,NA,NA,NA,NA
91,Roman,1984,1,1,38.79,-75.16,marsh,NA,temperate_warm,NA,NA,herb,N,NA,SPAL,NA,NA,553,g_m2,553,g_m2,14300,g_m2,5000,g_m2
91,Roman,1984,1,1,39.4,-79.6,marsh,NA,temperate_warm,NA,NA,herb,N,NA,SPAL,NA,NA,652,g_m2,652,g_m2,12225,g_m2,5450,g_m2
91,Roman,1984,1,1,38.79,-75.16,marsh,NA,temperate_warm,NA,NA,herb,N,NA,SPPA,NA,NA,669,g_m2,669,g_m2,3700,g_m2,3300,g_m2
91,Roman,1984,1,1,39.4,-79.6,marsh,NA,temperate_warm,NA,NA,herb,N,NA,SPPA,NA,NA,727,g_m2,727,g_m2,13500,g_m2,5900,g_m2
91,Roman,1984,1,1,38.79,-75.16,marsh,NA,temperate_warm,NA,NA,herb,N,NA,SPAL,NA,NA,1035,g_m2,1035,g_m2,7650,g_m2,6500,g_m2
91,Roman,1984,1,1,39.4,-79.6,marsh,NA,temperate_warm,NA,NA,herb,N,NA,PHAU,NA,NA,1883,g_m2,1883,g_m2,7625,g_m2,5750,g_m2
92,Schubauer,1984,1,1,31.19,-81.22,marsh,NA,temperate_warm,poly,2.4,herb,N,NA,SPAL,NA,NA,2840,g_m2,2840,g_m2,NA,NA,4780,g_m2
92,Schubauer,1984,1,1,31.19,-81.22,marsh,NA,temperate_warm,meso,2.4,herb,N,NA,SPCY,NA,NA,3080,g_m2,3080,g_m2,NA,NA,4628,g_m2
93,Lugo,1974,1,1,25.26,-80.33,mangrove,NA,subtropical,NA,NA,NA,N,NA,NA,NA,NA,7868,kg_ha,NA,NA,NA,NA,NA,NA
93,Lugo,1974,1,1,18,-66,mangrove,NA,subtropical,NA,NA,NA,N,NA,NA,NA,NA,62850,kg_ha,NA,NA,NA,NA,NA,NA
93,Lugo,1974,1,1,25.95,-81.72,mangrove,NA,subtropical,NA,NA,NA,N,NA,NA,NA,NA,86192,kg_ha,NA,NA,NA,NA,NA,NA
93,Lugo,1974,1,1,25.26,-80.33,mangrove,NA,subtropical,NA,NA,NA,N,NA,NA,NA,NA,98218,kg_ha,NA,NA,NA,NA,NA,NA
93,Lugo,1974,1,1,25.95,-81.72,mangrove,NA,subtropical,NA,NA,NA,N,NA,NA,NA,NA,117523,kg_ha,NA,NA,NA,NA,NA,NA
93,Lugo,1974,1,1,25.95,-81.72,mangrove,NA,subtropical,NA,NA,NA,N,NA,NA,NA,NA,119582,kg_ha,NA,NA,NA,NA,NA,NA
93,Lugo,1974,1,1,25.95,-81.72,mangrove,NA,subtropical,NA,NA,NA,N,NA,NA,NA,NA,129643,kg_ha,NA,NA,NA,NA,NA,NA
93,Lugo,1974,1,1,25.95,-81.72,mangrove,NA,subtropical,NA,NA,NA,N,NA,NA,NA,NA,152868,kg_ha,NA,NA,NA,NA,NA,NA
93,Lugo,1974,1,1,25.95,-81.72,mangrove,NA,subtropical,NA,NA,NA,N,NA,NA,NA,NA,173900,kg_ha,NA,NA,NA,NA,NA,NA
94,Smith,1979,1,1,39.6,-74.4,marsh,NA,temperate_cold,NA,NA,herb,N,NA,SPAL,NA,NA,477,g_m2,477,g_m2,11200,g_m2,NA,NA
