PublicationID,First_Author,Year,Publication_Type,Source,Latitude,Longitude,Ecosystem,CCAP_Class,Climate_Zone,Salinity_Regime,Tide_Range,Stature,Management,Activity,Species1,Species2,Species3,AGB,AGBunits,delAGB,delAGBunits,BGB,BGBunits,delBGB,delBGBunits
95,Valiela,1976,1,1,41.56,-70.35,marsh,NA,temperate_cold,NA,NA,herb,N,NA,SPAL,NA,NA,423.7,g_m2,423.7,g_m2,NA,NA,3498,g_m2
95,Valiela,1976,1,1,42.56,-71.35,marsh,NA,temperate_cold,NA,NA,herb,N,NA,SPPA,NA,NA,631.8,g_m2,631.8,g_m2,NA,NA,2520,g_m2
96,Whigham,1978,1,1,38,-75.5,marsh,NA,temperate_warm,NA,NA,herb,N,NA,SPAL,NA,NA,943,g_m2,3500,g_m2,6353,g_m2,NA,NA
96,Whigham,1978,1,1,38,-75.5,tidal_fresh_marsh,NA,temperate_warm,NA,NA,herb,N,NA,PONTE,PELTA,NA,686,g_m2,888,g_m2,2643,g_m2,NA,NA
96,Whigham,1978,1,1,38,-75.5,tidal_fresh_marsh,NA,temperate_warm,NA,NA,herb,N,NA,AMCA2,NA,NA,940,g_m2,1547,g_m2,560,g_m2,NA,NA
96,Whigham,1978,1,1,38,-75.5,tidal_fresh_marsh,NA,temperate_warm,NA,NA,herb,N,NA,TYPHA,NA,NA,1215,g_m2,1420,g_m2,3212,g_m2,NA,NA
96,Whigham,1978,1,1,38,-75.5,tidal_fresh_marsh,NA,temperate_warm,NA,NA,herb,N,NA,ZIAQ,NA,NA,1218,g_m2,1578,g_m2,721,g_m2,NA,NA
96,Whigham,1978,1,1,38,-75.5,tidal_fresh_marsh,NA,temperate_warm,NA,NA,herb,N,NA,POLYG4,LEERS,NA,1425,g_m2,NA,g_m2,507,g_m2,NA,NA
96,Whigham,1978,1,1,38,-75.5,tidal_fresh_marsh,NA,temperate_warm,NA,NA,herb,N,NA,PHAU,NA,NA,1850,g_m2,1872,g_m2,3763.5,g_m2,NA,NA
98,Coronado-Molina,2004,1,1,25.56,-80.48,mangrove,NA,subtropical,NA,NA,NA,N,NA,NA,NA,NA,12.5,Mg_ha,NA,NA,NA,NA,NA,NA
