Core,Depth_cm,Total Pb-210 activity (dpm/g),%C,%LOI
W2,0-1,7.12,16.93,41.83006536
W2,1-2,5.76,20.69,44.87179487
W2,2-3,5.89,24.06,53.15789474
W2,3-4,5.39,28.45,58.62068966
W2,4-5,6.04,21.78,60.9929078
W2,5-6,5.27,27.46,59.50413223
W2,6-7,4.39,26.83,55.79710145
W2,7-8,4.05,26.01,59.13978495
W2,8-9,4.20,29.99,62.96296296
W2,9-10,3.33,34.80,72.15189873
W2,10-11,2.37,31.38,74.28571429
W2,11-12,3.26,33.36,66.99029126
W2,12-13,3.55,31.52,66.30434783
W2,13-14,3.617498591,30.98,59.45945946
W2,14-15,3.36,33.44,54.74452555
W2,15-16,2.36,23.57,58.33333333
W2,16-17,1.900872478,9.33,24.4047619
W2,17-18,1.89,10.27,24.7723133
W2,18-19,1.828920831,7.75,25.46816479
W2,19-20,1.79,11.43,25.67049808
