River,Site,Location,TagNo,Depth,Class,RootProd
Waccamaw,Marsh,5,169,U,Lf,48.077
Waccamaw,Marsh,5,169,U,Lx,1056.226
Waccamaw,Marsh,5,169,U,D,69.926
Waccamaw,Marsh,5,169,M,Lf,30.710
Waccamaw,Marsh,5,169,M,Lx,0.000
Waccamaw,Marsh,5,169,M,D,17.214
Waccamaw,Marsh,5,169,B,Lf,22.816
Waccamaw,Marsh,5,169,B,Lx,0.000
Waccamaw,Marsh,5,169,B,D,76.547
Waccamaw,Marsh,6,171,U,Lf,465.292
Waccamaw,Marsh,6,171,U,Lx,827.807
Waccamaw,Marsh,6,171,U,D,25.719
Waccamaw,Marsh,6,171,M,Lf,87.904
Waccamaw,Marsh,6,171,M,Lx,0.000
Waccamaw,Marsh,6,171,M,D,96.308
Waccamaw,Marsh,6,171,B,Lf,37.026
Waccamaw,Marsh,6,171,B,Lx,0.000
Waccamaw,Marsh,6,171,B,D,49.605
Waccamaw,Marsh,7,173,U,Lf,68.958
Waccamaw,Marsh,7,173,U,Lx,989.712
Waccamaw,Marsh,7,173,U,D,73.287
Waccamaw,Marsh,7,173,M,Lf,29.335
Waccamaw,Marsh,7,173,M,Lx,0.000
Waccamaw,Marsh,7,173,M,D,74.306
Waccamaw,Marsh,7,173,B,Lf,25.668
Waccamaw,Marsh,7,173,B,Lx,0.000
Waccamaw,Marsh,7,173,B,D,23.275
Waccamaw,Marsh,8,175,U,Lf,130.940
Waccamaw,Marsh,8,175,U,Lx,0.000
Waccamaw,Marsh,8,175,U,D,38.655
Waccamaw,Marsh,8,175,M,Lf,34.887
Waccamaw,Marsh,8,175,M,Lx,0.000
Waccamaw,Marsh,8,175,M,D,25.057
Waccamaw,Marsh,8,175,B,Lf,41.864
Waccamaw,Marsh,8,175,B,Lx,0.000
Waccamaw,Marsh,8,175,B,D,0.000
Waccamaw,Marsh,9,177,U,Lf,32.187
Waccamaw,Marsh,9,177,U,Lx,315.457
Waccamaw,Marsh,9,177,U,D,29.692
Waccamaw,Marsh,9,177,M,Lf,44.614
Waccamaw,Marsh,9,177,M,Lx,0.000
Waccamaw,Marsh,9,177,M,D,47.670
Waccamaw,Marsh,9,177,B,Lf,35.956
Waccamaw,Marsh,9,177,B,Lx,15.839
Waccamaw,Marsh,9,177,B,D,54.444
Waccamaw,Marsh,10,179,U,Lf,135.320
Waccamaw,Marsh,10,179,U,Lx,0.000
Waccamaw,Marsh,10,179,U,D,13.904
Waccamaw,Marsh,10,179,M,Lf,56.939
Waccamaw,Marsh,10,179,M,Lx,0.000
Waccamaw,Marsh,10,179,M,D,51.592
Waccamaw,Marsh,10,179,B,Lf,32.187
Waccamaw,Marsh,10,179,B,Lx,0.000
Waccamaw,Marsh,10,179,B,D,82.557
Savannah,Upper,1,201,U,Lf,136.491
Savannah,Upper,1,201,U,Lx,48.383
Savannah,Upper,1,201,U,D,91.317
Savannah,Upper,1,201,M,Lf,146.728
Savannah,Upper,1,201,M,Lx,0.000
Savannah,Upper,1,201,M,D,53.832
Savannah,Upper,1,201,B,Lf,64.782
Savannah,Upper,1,201,B,Lx,0.000
Savannah,Upper,1,201,B,D,91.775
Savannah,Upper,2,203,U,Lf,77.413
Savannah,Upper,2,203,U,Lx,0.000
Savannah,Upper,2,203,U,D,114.693
Savannah,Upper,2,203,M,Lf,2.699
Savannah,Upper,2,203,M,Lx,0.000
Savannah,Upper,2,203,M,D,28.928
Savannah,Upper,2,203,B,Lf,26.789
Savannah,Upper,2,203,B,Lx,0.000
Savannah,Upper,2,203,B,D,103.081
Savannah,Upper,3,205,U,Lf,50.675
Savannah,Upper,3,205,U,Lx,0.000
Savannah,Upper,3,205,U,D,46.244
Savannah,Upper,3,205,M,Lf,36.567
Savannah,Upper,3,205,M,Lx,0.000
Savannah,Upper,3,205,M,D,33.002
Savannah,Upper,3,205,B,Lf,72.371
Savannah,Upper,3,205,B,Lx,0.000
Savannah,Upper,3,205,B,D,30.914
Savannah,Upper,4,207,U,Lf,142.399
Savannah,Upper,4,207,U,Lx,0.000
Savannah,Upper,4,207,U,D,44.207
Savannah,Upper,4,207,M,Lf,29.081
Savannah,Upper,4,207,M,Lx,0.000
Savannah,Upper,4,207,M,D,65.444
Savannah,Upper,4,207,B,Lf,29.386
Savannah,Upper,4,207,B,Lx,0.000
Savannah,Upper,4,207,B,D,82.557
Savannah,Upper,5,209,U,Lf,77.973
Savannah,Upper,5,209,U,Lx,0.000
Savannah,Upper,5,209,U,D,48.077
Savannah,Upper,5,209,M,Lf,56.481
Savannah,Upper,5,209,M,Lx,0.000
Savannah,Upper,5,209,M,D,80.265
Savannah,Upper,5,209,B,Lf,31.627
Savannah,Upper,5,209,B,Lx,0.000
Savannah,Upper,5,209,B,D,58.161
Savannah,Upper,6,211,U,Lf,39.572
Savannah,Upper,6,211,U,Lx,0.000
Savannah,Upper,6,211,U,D,100.229
Savannah,Upper,6,211,M,Lf,31.627
Savannah,Upper,6,211,M,Lx,0.000
Savannah,Upper,6,211,M,D,93.048
Savannah,Upper,6,211,B,Lf,14.158
Savannah,Upper,6,211,B,Lx,0.000
Savannah,Upper,6,211,B,D,67.583
Savannah,Upper,7,213,U,Lf,30.609
Savannah,Upper,7,213,U,Lx,0.000
Savannah,Upper,7,213,U,D,119.837
Savannah,Upper,7,213,M,Lf,15.686
Savannah,Upper,7,213,M,Lx,0.000
Savannah,Upper,7,213,M,D,30.201
Savannah,Upper,7,213,B,Lf,26.178
Savannah,Upper,7,213,B,Lx,0.000
Savannah,Upper,7,213,B,D,21.339
Savannah,Upper,8,215,U,Lf,107.512
Savannah,Upper,8,215,U,Lx,5.551
Savannah,Upper,8,215,U,D,40.336
Savannah,Upper,8,215,M,Lf,32.544
Savannah,Upper,8,215,M,Lx,0.000
Savannah,Upper,8,215,M,D,89.534
Savannah,Upper,8,215,B,Lf,54.393
Savannah,Upper,8,215,B,Lx,0.000
Savannah,Upper,8,215,B,D,38.197
Savannah,Upper,9,217,U,Lf,91.317
Savannah,Upper,9,217,U,Lx,0.000
Savannah,Upper,9,217,U,D,97.835
Savannah,Upper,9,217,M,Lf,21.696
Savannah,Upper,9,217,M,Lx,0.000
Savannah,Upper,9,217,M,D,57.550
Savannah,Upper,9,217,B,Lf,21.339
Savannah,Upper,9,217,B,Lx,0.000
Savannah,Upper,9,217,B,D,61.421
Savannah,Upper,10,219,U,Lf,55.462
Savannah,Upper,10,219,U,Lx,27.807
Savannah,Upper,10,219,U,D,101.553
Savannah,Upper,10,219,M,Lf,45.124
Savannah,Upper,10,219,M,Lx,0.000
Savannah,Upper,10,219,M,D,23.224
Savannah,Upper,10,219,B,Lf,11.103
Savannah,Upper,10,219,B,Lx,0.000
Savannah,Upper,10,219,B,D,8.709
Savannah,Middle,1,221,U,Lf,56.735
Savannah,Middle,1,221,U,Lx,2.343
Savannah,Middle,1,221,U,D,40.081
Savannah,Middle,1,221,M,Lf,39.623
Savannah,Middle,1,221,M,Lx,162.414
Savannah,Middle,1,221,M,D,29.743
Savannah,Middle,1,221,B,Lf,26.025
Savannah,Middle,1,221,B,Lx,23.326
Savannah,Middle,1,221,B,D,30.048
Savannah,Middle,2,223,U,Lf,51.235
Savannah,Middle,2,223,U,Lx,0.000
Savannah,Middle,2,223,U,D,27.757
Savannah,Middle,2,223,M,Lf,88.872
Savannah,Middle,2,223,M,Lx,33.257
Savannah,Middle,2,223,M,D,55.971
Savannah,Middle,2,223,B,Lf,118.666
Savannah,Middle,2,223,B,Lx,0.000
Savannah,Middle,2,223,B,D,65.190
Savannah,Middle,3,225,U,Lf,54.749
Savannah,Middle,3,225,U,Lx,15.024
Savannah,Middle,3,225,U,D,42.526
Savannah,Middle,3,225,M,Lf,78.737
Savannah,Middle,3,225,M,Lx,11.917
Savannah,Middle,3,225,M,D,45.327
Savannah,Middle,3,225,B,Lf,90.654
Savannah,Middle,3,225,B,Lx,0.000
Savannah,Middle,3,225,B,D,58.263
Savannah,Middle,4,227,U,Lf,103.387
Savannah,Middle,4,227,U,Lx,0.000
Savannah,Middle,4,227,U,D,198.472
Savannah,Middle,4,227,M,Lf,44.665
Savannah,Middle,4,227,M,Lx,0.000
Savannah,Middle,4,227,M,D,35.447
Savannah,Middle,4,227,B,Lf,49.809
Savannah,Middle,4,227,B,Lx,0.000
Savannah,Middle,4,227,B,D,39.827
Savannah,Middle,5,229,U,Lf,131.602
Savannah,Middle,5,229,U,Lx,3158.136
Savannah,Middle,5,229,U,D,76.598
Savannah,Middle,5,229,M,Lf,79.043
Savannah,Middle,5,229,M,Lx,0.000
Savannah,Middle,5,229,M,D,88.872
Savannah,Middle,5,229,B,Lf,105.373
Savannah,Middle,5,229,B,Lx,0.000
Savannah,Middle,5,229,B,D,94.933
Savannah,Middle,6,231,U,Lf,88.617
Savannah,Middle,6,231,U,Lx,2.546
Savannah,Middle,6,231,U,D,172.142
Savannah,Middle,6,231,M,Lf,78.584
Savannah,Middle,6,231,M,Lx,49.453
Savannah,Middle,6,231,M,D,52.254
Savannah,Middle,6,231,B,Lf,37.433
Savannah,Middle,6,231,B,Lx,3.769
Savannah,Middle,6,231,B,D,33.155
Savannah,Middle,7,233,U,Lf,96.308
Savannah,Middle,7,233,U,Lx,1889.992
Savannah,Middle,7,233,U,D,49.453
Savannah,Middle,7,233,M,Lf,88.923
Savannah,Middle,7,233,M,Lx,31.373
Savannah,Middle,7,233,M,D,74.051
Savannah,Middle,7,233,B,Lf,56.328
Savannah,Middle,7,233,B,Lx,0.000
Savannah,Middle,7,233,B,D,33.766
Savannah,Middle,8,235,U,Lf,54.240
Savannah,Middle,8,235,U,Lx,40.794
Savannah,Middle,8,235,U,D,71.250
Savannah,Middle,8,235,M,Lf,27.807
Savannah,Middle,8,235,M,Lx,0.000
Savannah,Middle,8,235,M,D,50.369
Savannah,Middle,8,235,B,Lf,68.551
Savannah,Middle,8,235,B,Lx,0.000
Savannah,Middle,8,235,B,D,56.481
Savannah,Middle,9,237,U,Lf,41.355
Savannah,Middle,9,237,U,Lx,0.000
Savannah,Middle,9,237,U,D,135.472
Savannah,Middle,9,237,M,Lf,159.409
Savannah,Middle,9,237,M,Lx,32.238
Savannah,Middle,9,237,M,D,35.752
Savannah,Middle,9,237,B,Lf,121.772
Savannah,Middle,9,237,B,Lx,9.880
Savannah,Middle,9,237,B,D,81.691
Savannah,Middle,10,239,U,Lf,66.565
Savannah,Middle,10,239,U,Lx,0.000
Savannah,Middle,10,239,U,D,101.299
Savannah,Middle,10,239,M,Lf,64.171
Savannah,Middle,10,239,M,Lx,7.130
Savannah,Middle,10,239,M,D,41.457
Savannah,Middle,10,239,B,Lf,101.350
Savannah,Middle,10,239,B,Lx,0.000
Savannah,Middle,10,239,B,D,59.180
Savannah,Lower,1,241,U,Lf,72.422
Savannah,Lower,1,241,U,Lx,0.000
Savannah,Lower,1,241,U,D,65.546
Savannah,Lower,1,241,M,Lf,12.631
Savannah,Lower,1,241,M,Lx,0.000
Savannah,Lower,1,241,M,D,101.604
Savannah,Lower,1,241,B,Lf,9.116
Savannah,Lower,1,241,B,Lx,0.000
Savannah,Lower,1,241,B,D,39.929
Savannah,Lower,2,243,U,Lf,143.723
Savannah,Lower,2,243,U,Lx,362.771
Savannah,Lower,2,243,U,D,45.735
Savannah,Lower,2,243,M,Lf,108.123
Savannah,Lower,2,243,M,Lx,0.000
Savannah,Lower,2,243,M,D,83.473
Savannah,Lower,2,243,B,Lf,42.730
Savannah,Lower,2,243,B,Lx,0.000
Savannah,Lower,2,243,B,D,87.038
Savannah,Lower,3,245,U,Lf,99.822
Savannah,Lower,3,245,U,Lx,0.000
Savannah,Lower,3,245,U,D,57.958
Savannah,Lower,3,245,M,Lf,60.708
Savannah,Lower,3,245,M,Lx,0.000
Savannah,Lower,3,245,M,D,57.499
Savannah,Lower,3,245,B,Lf,34.683
Savannah,Lower,3,245,B,Lx,0.000
Savannah,Lower,3,245,B,D,41.660
Savannah,Lower,4,247,U,Lf,218.335
Savannah,Lower,4,247,U,Lx,1091.011
Savannah,Lower,4,247,U,D,72.524
Savannah,Lower,4,247,M,Lf,86.784
Savannah,Lower,4,247,M,Lx,95.340
Savannah,Lower,4,247,M,D,59.129
Savannah,Lower,4,247,B,Lf,54.036
Savannah,Lower,4,247,B,Lx,0.000
Savannah,Lower,4,247,B,D,36.516
Savannah,Lower,5,249,U,Lf,260.148
Savannah,Lower,5,249,U,Lx,12.478
Savannah,Lower,5,249,U,D,79.043
Savannah,Lower,5,249,M,Lf,114.286
Savannah,Lower,5,249,M,Lx,1115.253
Savannah,Lower,5,249,M,D,107.105
Savannah,Lower,5,249,B,Lf,43.086
Savannah,Lower,5,249,B,Lx,17.061
Savannah,Lower,5,249,B,D,166.336
Savannah,Lower,6,251,U,Lf,205.144
Savannah,Lower,6,251,U,Lx,6.774
