River,Core ID,Depth (cm),Lab ID,Material Dated,14C Age,SE
Waccamaw,11-11-3-1,9-10 ,WW9340,seeds,>Modern,
Waccamaw,11-11-3-1,24-25,WW9341,seeds,185,30
Waccamaw,11-11-3-1,31-32,Beta-353945,"Bulk organic, picked free of roots",220,30
Waccamaw,11-11-3-1,39-40,Beta-352947,"Bulk organic, picked free of roots",40,30
Waccamaw,11-11-3-1,51-52,WW9342,seeds,520,30
Waccamaw,11-11-3-1,74-75,WW9343,seeds,1180,30
Waccamaw,11-11-1-2,20-21,Beta-328784,"Bulk organic, picked free of roots",160,30
Waccamaw,11-11-1-2,49-50,Beta-352949,"Bulk organic, picked free of roots",1170,30
Waccamaw,11-11-1-2,65-66,Beta-328785,"Bulk organic, picked free of roots",1330,30
Waccamaw,11-11-1-2,93-94,Beta-316995,"Bulk organic, picked free of roots",1930,30
Waccamaw,11-11-1-2,103-104,Beta-328786,"Bulk organic, picked free of roots",2150,30
Waccamaw,11-11-2-1,22-23,Beta-348404,"Bulk organic, picked free of roots",30,30
Waccamaw,11-11-2-1,31-32,Beta-352945,"Bulk organic, picked free of roots",220,30
Waccamaw,11-11-2-1,37-38,Beta-348405,"Bulk organic, picked free of roots",1260,30
Waccamaw,11-11-2-1,60-61,Beta-348406,"Bulk organic, picked free of roots",1850,30
Waccamaw,11-11-2-1,72-73,Beta-348407,"Bulk organic, picked free of roots",2180,30
Waccamaw,11-11-2-1,77-78,Beta-344281,"Bulk organic, picked free of roots",2030,30
Waccamaw,11-11-2-3,10-11,Beta-352951,"Bulk organic, picked free of roots",>Modern,
Waccamaw,11-11-2-3,21-22,Beta-238781,"Bulk organic, picked free of roots",970,30
Waccamaw,11-11-2-3,34-36,Beta-352953,"Bulk organic, picked free of roots",1110,30
Waccamaw,11-11-2-3,41-42,Beta-328782,"Bulk organic, picked free of roots",2200,30
Waccamaw,11-11-2-3,83-84,Beta-328783,"Bulk organic, picked free of roots",3850,30
Savannah,12-12-11-1,68-69,Beta-381823,"bulk organic, picked free of roots",590,30
Savannah,12-12-11-1,102-103,Beta-357069,"bulk organic, picked free of roots",1350,30
Savannah,12-12-11-1,197-198,Beta-420004,"bulk organic, picked free of roots",3010,30
Savannah,12-12-11-1,243-244,Beta-357070,"bulk organic, picked free of roots",3940,30
Savannah,12-12-11-1,313-314,Beta-357071,"bulk organic, picked free of roots",4010,30
Savannah,12-12-9-3,20-21,Beta-359264,"bulk organic, picked free of roots",90,30
Savannah,12-12-9-3,42-43,Beta-420003,"bulk organic, picked free of roots",1210,30
Savannah,12-12-9-3,60-61,Beta-359265,"bulk organic, picked free of roots",1100,30
Savannah,12-12-9-3,75-76,Beta-359266,"bulk organic, picked free of roots",930,30
Savannah,12-12-10-2,60-61,Beta-381820,"bulk organic, picked free of roots",80,30
Savannah,12-12-10-2,76-77 ,Beta-357066,"bulk organic, picked free of roots",130,30
Savannah,12-12-10-2,112-113,Beta-381821,"bulk organic, picked free of roots",1060,30
Savannah,12-12-10-2,159-160,Beta-357067,"bulk organic, picked free of roots",1900,30
Savannah,12-12-10-2,297-298,Beta-357068,"bulk organic, picked free of roots",3820,30
Savannah,12-12-10-3,109-110,Beta-381816,"bulk organic, picked free of roots",160,30
Savannah,12-12-10-3,178-180,Beta-381817,"bulk organic, picked free of roots",2010,30
Savannah,12-12-10-3,269-270,Beta-381818,"bulk organic, picked free of roots",3880,30
Savannah,12-12-10-3,346-347,Beta-381820,"bulk organic, picked free of roots",5060,30
