River,Site,Survey,Plot,Tree No.,Species,DBH,Live
Savannah,Lower,2005,1,.,baldcypress,7.40,0
Savannah,Lower,2005,1,.,baldcypress,13.60,0
Savannah,Lower,2005,1,.,baldcypress,15.20,0
Savannah,Lower,2005,1,.,baldcypress,15.40,0
Savannah,Lower,2005,1,.,baldcypress,15.50,0
Savannah,Lower,2005,1,.,baldcypress,16.50,0
Savannah,Lower,2005,1,.,baldcypress,16.70,0
Savannah,Lower,2005,1,.,baldcypress,30.40,0
Savannah,Lower,2005,1,615,baldcypress,6.15,1
Savannah,Lower,2005,1,623,baldcypress,7.45,1
Savannah,Lower,2005,1,616,baldcypress,13.00,1
Savannah,Lower,2005,1,590,baldcypress,13.55,1
Savannah,Lower,2005,1,620,baldcypress,14.15,1
Savannah,Lower,2005,1,628,baldcypress,14.25,1
Savannah,Lower,2005,1,604,baldcypress,14.50,1
Savannah,Lower,2005,1,606,baldcypress,14.80,1
Savannah,Lower,2005,1,614,baldcypress,14.90,1
Savannah,Lower,2005,1,605,baldcypress,15.65,1
Savannah,Lower,2005,1,602,baldcypress,15.80,1
Savannah,Lower,2005,1,588,baldcypress,16.50,1
Savannah,Lower,2005,1,596,baldcypress,16.55,1
Savannah,Lower,2005,1,617,baldcypress,17.00,1
Savannah,Lower,2005,1,597,baldcypress,17.15,1
Savannah,Lower,2005,1,619,baldcypress,17.20,1
Savannah,Lower,2005,1,622,baldcypress,17.20,1
Savannah,Lower,2005,1,608,baldcypress,17.40,1
Savannah,Lower,2005,1,610,baldcypress,17.45,1
Savannah,Lower,2005,1,601,baldcypress,17.70,1
Savannah,Lower,2005,1,613,baldcypress,17.80,1
Savannah,Lower,2005,1,624,baldcypress,17.95,1
Savannah,Lower,2005,1,593,baldcypress,18.10,1
Savannah,Lower,2005,1,632,baldcypress,18.50,1
Savannah,Lower,2005,1,612,baldcypress,18.55,1
Savannah,Lower,2005,1,592,baldcypress,19.00,1
Savannah,Lower,2005,1,603,baldcypress,19.20,1
Savannah,Lower,2005,1,621,baldcypress,19.40,1
Savannah,Lower,2005,1,631,baldcypress,19.40,1
Savannah,Lower,2005,1,598,baldcypress,19.80,1
Savannah,Lower,2005,1,599,baldcypress,20.50,1
Savannah,Lower,2005,1,618,baldcypress,20.90,1
Savannah,Lower,2005,1,627,baldcypress,21.40,1
Savannah,Lower,2005,1,630,baldcypress,21.95,1
