Year,Variable,River,Upper,Middle,Lower,Marsh,,,,,,
2005,Litterfall,Waccamaw,645.87,337.21,97.73,0.00,,,,,,
2006,Litterfall,Waccamaw,732.18,402.53,114.19,0.00,,,,,,
2007,Litterfall,Waccamaw,645.36,358.45,82.99,0.00,,,,,,
2008,Litterfall,Waccamaw,719.54,345.88,64.38,0.00,,,,,,
2009,Litterfall,Waccamaw,688.64,324.36,82.01,0.00,,,,,,
2010,Litterfall,Waccamaw,643.40,261.70,73.70,0.00,,,,,,
2011,Litterfall,Waccamaw,782.10,335.60,65.00,0.00,,,,,,
2012,Litterfall,Waccamaw,631.40,242.80,39.30,0.00,,,,,,
2013,Litterfall,Waccamaw,687.22,409.61,55.54,0.00,,,,,,
2014,Litterfall,Waccamaw,712.23,363.86,58.64,0.00,,,,,,
2015,Litterfall,Waccamaw,643.35,362.98,39.61,0.00,,,,,,
2005,Litterfall,Savannah,618.44,337.70,165.31,0.00,,,,,,
2006,Litterfall,Savannah,504.01,320.00,130.76,0.00,,,,,,
2007,Litterfall,Savannah,613.43,340.73,147.58,0.00,,,,,,
2008,Litterfall,Savannah,551.47,280.26,74.49,0.00,,,,,,
2009,Litterfall,Savannah,527.10,298.00,72.96,0.00,,,,,,
2010,Litterfall,Savannah,594.49,303.39,71.49,0.00,,,,,,
2011,Litterfall,Savannah,403.21,159.87,75.19,0.00,,,,,,
2012,Litterfall,Savannah,562.16,354.32,98.78,0.00,,,,,,
2013,Litterfall,Savannah,572.44,194.50,63.07,0.00,,,,,,
2014,Litterfall,Savannah,712.45,377.52,97.91,0.00,,,,,,
2015,Litterfall,Savannah,584.78,328.43,0.00,0.00,,,,,,
2005,Wood biomass increment,Waccamaw,611.1,277.7,27.5,0.0,,,,,,
2006,Wood biomass increment,Waccamaw,214.6,147.1,108.6,0.0,,,,,,
2007,Wood biomass increment,Waccamaw,518.8,241.2,106.3,0.0,,,,,,
2008,Wood biomass increment,Waccamaw,348.9,162.8,164.8,0.0,,,,,,
2009,Wood biomass increment,Waccamaw,303.8,104.2,104.2,0.0,,,,,,
2010,Wood biomass increment,Waccamaw,354.4,245.5,23.9,0.0,,,,,,
2011,Wood biomass increment,Waccamaw,496.9,142.3,13.1,0.0,,,,,,
2012,Wood biomass increment,Waccamaw,296.2,249.1,23.7,0.0,,,,,,
2013,Wood biomass increment,Waccamaw,606.8,222.4,21.4,0.0,,,,,,
2014,Wood biomass increment,Waccamaw,432.2,216.3,46.7,0.0,,,,,,
2015,Wood biomass increment,Waccamaw,184.7,125.1,62.9,0.0,,,,,,
2005,Wood biomass increment,Savannah,584.7,119.9,72.1,0.0,,,,,,
2006,Wood biomass increment,Savannah,109.5,249.5,108.9,0.0,,,,,,
2007,Wood biomass increment,Savannah,654.8,589.0,103.6,0.0,,,,,,
2008,Wood biomass increment,Savannah,321.5,170.3,20.7,0.0,,,,,,
2009,Wood biomass increment,Savannah,345.8,100.3,60.9,0.0,,,,,,
2010,Wood biomass increment,Savannah,308.1,225.2,30.9,0.0,,,,,,
2011,Wood biomass increment,Savannah,252.2,138.1,47.0,0.0,,,,,,
2012,Wood biomass increment,Savannah,534.7,272.9,47.2,0.0,,,,,,
2013,Wood biomass increment,Savannah,279.1,122.4,1.8,0.0,,,,,,
2014,Wood biomass increment,Savannah,724.5,296.6,8.8,0.0,,,,,,
2015,Wood biomass increment,Savannah,511.1,283.2,6.6,0.0,,,,,,
