PublicationID,First_Author,Year,Publication_Type,Source,Latitude,Longitude,Ecosystem,CCAP_Class,Climate_Zone,delSOC1,delSOC1units,delSOC1method,delSOC2,delSOC2units,delSOC2method
2,Bianchi,2013,1,1,27.93,-97.02,marsh,Palustrine Emergent Wetlan,subtropical,125,gC_m2,1,NA,NA,NA
2,Bianchi,2013,1,1,27.93,-97.02,mangrove,Palustrine Forested Wetlan,subtropical,253,gC_m2,1,NA,NA,NA
2,Bianchi,2013,1,1,27.93,-97.02,marsh,Palustrine Emergent Wetlan,subtropical,NA,NA,NA,101,gC_m2,2
2,Bianchi,2013,1,1,27.93,-97.02,mangrove,Palustrine Forested Wetlan,subtropical,NA,NA,NA,270,gC_m2,2
4,Callaway,2012,1,1,38,-122,marsh,NA,mediterranean,40.4,gC_m2,1,52.3,gC_m2,2
4,Callaway,2012,1,1,38,-122,marsh,NA,mediterranean,48,gC_m2,1,58.7,gC_m2,2
4,Callaway,2012,1,1,38,-122,marsh,NA,mediterranean,52.7,gC_m2,1,89.6,gC_m2,2
4,Callaway,2012,1,1,38,-122,marsh,NA,mediterranean,57.1,gC_m2,1,87.7,gC_m2,2
4,Callaway,2012,1,1,38,-122,marsh,NA,mediterranean,57.5,gC_m2,1,66.2,gC_m2,2
4,Callaway,2012,1,1,38,-122,marsh,NA,mediterranean,62.7,gC_m2,1,96.7,gC_m2,2
4,Callaway,2012,1,1,38,-122,marsh,NA,mediterranean,72,gC_m2,1,79.8,gC_m2,2
4,Callaway,2012,1,1,38,-122,marsh,NA,mediterranean,87.6,gC_m2,1,100.3,gC_m2,2
4,Callaway,2012,1,1,38,-122,marsh,NA,mediterranean,88.9,gC_m2,1,158.4,gC_m2,2
4,Callaway,2012,1,1,38,-122,marsh,NA,mediterranean,90.8,gC_m2,1,87,gC_m2,2
4,Callaway,2012,1,1,38,-122,marsh,NA,mediterranean,91.3,gC_m2,1,117.9,gC_m2,2
4,Callaway,2012,1,1,38,-122,marsh,NA,mediterranean,95.8,gC_m2,1,141.9,gC_m2,2
4,Callaway,2012,1,1,38,-122,marsh,NA,mediterranean,111.2,gC_m2,1,187.5,gC_m2,2
4,Callaway,2012,1,1,38,-122,marsh,NA,mediterranean,116.5,gC_m2,1,151.8,gC_m2,2
4,Callaway,2012,1,1,38,-122,marsh,NA,mediterranean,116.9,gC_m2,1,157.9,gC_m2,2
4,Callaway,2012,1,1,38,-122,marsh,NA,mediterranean,NA,NA,NA,102.5,gC_m2,2
4,Callaway,2012,1,1,38,-122,marsh,NA,mediterranean,NA,NA,NA,117.9,gC_m2,2
4,Callaway,2012,1,1,38,-122,marsh,NA,mediterranean,NA,NA,NA,146.7,gC_m2,2
6,Craft,1993,1,1,35.9,-75.6,marsh,NA,subtropical,NA,NA,NA,21.3,gC_m2,2
6,Craft,1993,1,1,35.9,-75.6,marsh,NA,subtropical,NA,NA,NA,58.9,gC_m2,2
6,Craft,1993,1,1,35.3,-76.8,marsh,NA,subtropical,NA,NA,NA,106.5,gC_m2,2
6,Craft,1993,1,1,35.3,-76.8,marsh,NA,subtropical,NA,NA,NA,145.5,gC_m2,2
7,Craft,2002,1,1,32.25,-76.75,marsh,NA,temperate_warm,NA,NA,NA,118,gC_m2,2
7,Craft,2002,2,1,32.25,-76.75,marsh,NA,temperate_warm,NA,NA,NA,125,gC_m2,2
8,Craft,2003,1,1,34.5,-77,marsh,NA,temperate_warm,NA,NA,NA,1,gC_m2,2
8,Craft,2003,1,1,35,-76.5,marsh,NA,temperate_warm,NA,NA,NA,7.5,gC_m2,2
8,Craft,2003,1,1,34.5,-77,marsh,NA,temperate_warm,NA,NA,NA,18,gC_m2,2
8,Craft,2003,1,1,35,-76.5,marsh,NA,temperate_warm,NA,NA,NA,21,gC_m2,2
8,Craft,2003,1,1,34.5,-77,marsh,NA,temperate_warm,NA,NA,NA,27,gC_m2,2
8,Craft,2003,1,1,34.5,-77,marsh,NA,temperate_warm,NA,NA,NA,30,gC_m2,2
8,Craft,2003,1,1,34,-78,marsh,NA,temperate_warm,NA,NA,NA,33,gC_m2,2
8,Craft,2003,1,1,35,-76.5,marsh,NA,temperate_warm,NA,NA,NA,34,gC_m2,2
8,Craft,2003,1,1,34.5,-77,marsh,NA,temperate_warm,NA,NA,NA,39,gC_m2,2
8,Craft,2003,1,1,35,-76.5,marsh,NA,temperate_warm,NA,NA,NA,39,gC_m2,2
8,Craft,2003,1,1,34.5,-77,marsh,NA,temperate_warm,NA,NA,NA,43,gC_m2,2
8,Craft,2003,1,1,34.5,-77,marsh,NA,temperate_warm,NA,NA,NA,62,gC_m2,2
