plot_name,tree_number,live,genus,species,fia_code,dbh,height,notes,use_for_allometry
Flamingo1_100,1,1,Avicennia,germinans,NA,7.4,9.25,,1
Flamingo1_100,2,1,Avicennia,germinans,NA,13.5,15.11,,1
Flamingo1_100,3,1,Avicennia,germinans,NA,10.7,13.69,,1
Flamingo1_100,4,1,Avicennia,germinans,NA,11.4,15.7,,1
Flamingo1_100,5,1,Avicennia,germinans,NA,11,11.19,,1
Flamingo1_100,6,1,Avicennia,germinans,NA,12.7,15.4,,1
Flamingo1_100,7,1,Laguncularia,racemosa,NA,13.2,17.44,,1
Flamingo1_100,8,1,Rhizophora,mangle,NA,13.7,10.79,,1
Flamingo1_100,9,1,Avicennia,germinans,NA,17.3,14.67,,1
Flamingo1_100,10,1,Avicennia,germinans,NA,20.7,14.5,,1
Flamingo1_100,11,1,Avicennia,germinans,NA,14.1,20.06,,1
Flamingo1_100,12,1,Laguncularia,racemosa,NA,15.1,16.01,,1
Flamingo1_100,13,1,Avicennia,germinans,NA,13.2,16.74,,1
Flamingo1_100,14,1,Laguncularia,racemosa,NA,8.6,11.35,,1
Flamingo1_100,15,1,Laguncularia,racemosa,NA,10.7,18.1,,1
Flamingo1_100,16,1,Laguncularia,racemosa,NA,28.1,17.88,,1
Flamingo1_100,17,1,Rhizophora,mangle,NA,15.8,16,,1
Flamingo1_100,18,1,Laguncularia,racemosa,NA,29.4,19.29,,1
Flamingo1_250,1,1,Laguncularia,racemosa,NA,5.9,10.05,,1
Flamingo1_250,2,1,Rhizophora,mangle,NA,6.7,7.99,,1
Flamingo1_250,3,1,Laguncularia,racemosa,NA,13.5,10.72,,1
Flamingo1_250,4,1,Laguncularia,racemosa,NA,6.8,9.4,,1
Flamingo1_250,5,1,Laguncularia,racemosa,NA,29.2,16.18,,1
Flamingo1_250,6,1,Rhizophora,mangle,NA,27.2,12.56,,1
Flamingo1_250,7,1,Rhizophora,mangle,NA,31.9,20.26,,1
Flamingo1_250,8,1,Laguncularia,racemosa,NA,23.8,18.06,,1
Flamingo1_250,9,1,Avicennia,germinans,NA,51.3,19.48,,1
Flamingo1_400,1,1,Laguncularia,racemosa,NA,16.1,15.43,,1
Flamingo1_400,2,1,Laguncularia,racemosa,NA,34.2,14.19,,1
Flamingo1_400,3,1,Laguncularia,racemosa,NA,9.9,21.63,,1
Flamingo1_400,4,1,Laguncularia,racemosa,NA,18.3,16.27,,1
Flamingo1_400,5,1,Rhizophora,mangle,NA,12.8,15.18,,1
Flamingo1_400,6,1,Laguncularia,racemosa,NA,17.6,15.13,,1
Flamingo1_400,7,1,Laguncularia,racemosa,NA,11.4,17.24,,1
Flamingo1_400,8,1,Laguncularia,racemosa,NA,8.3,10.12,,1
Flamingo1_400,9,1,Laguncularia,racemosa,NA,14.2,11.82,,1
Flamingo1_400,10,1,Laguncularia,racemosa,NA,12.8,12.08,,1
Flamingo1_400,11,1,Laguncularia,racemosa,NA,9,12.29,,1
Flamingo1_400,12,1,Laguncularia,racemosa,NA,9.4,20.68,,1
