site_id,plot_id,tree_id,live_or_dead,genus,species,fia_code,dbh,tree_height,notes,use_for_allometry,study_id,agb
Flamingo1,100,1,live,Avicennia,germinans,NA,7.4,9.25,NA,1,simard_2006,17071.99060309692
Flamingo1,100,2,live,Avicennia,germinans,NA,13.5,15.11,NA,1,simard_2006,72265.17855206826
Flamingo1,100,3,live,Avicennia,germinans,NA,10.7,13.69,NA,1,simard_2006,41366.53096798948
Flamingo1,100,4,live,Avicennia,germinans,NA,11.4,15.7,NA,1,simard_2006,48161.46387375026
Flamingo1,100,5,live,Avicennia,germinans,NA,11,11.19,NA,1,simard_2006,44204.906881624105
Flamingo1,100,6,live,Avicennia,germinans,NA,12.7,15.4,NA,1,simard_2006,62410.399986729906
Flamingo1,100,7,live,Laguncularia,racemosa,NA,13.2,17.44,NA,1,simard_2006,105046.1757404831
Flamingo1,100,8,live,Rhizophora,mangle,NA,13.7,10.79,NA,1,simard_2006,115707.49721800807
Flamingo1,100,9,live,Avicennia,germinans,NA,17.3,14.67,NA,1,simard_2006,131050.50027996748
Flamingo1,100,10,live,Avicennia,germinans,NA,20.7,14.5,NA,1,simard_2006,201584.3742027563
Flamingo1,100,11,live,Avicennia,germinans,NA,14.1,20.06,NA,1,simard_2006,80214.68937170562
Flamingo1,100,12,live,Laguncularia,racemosa,NA,15.1,16.01,NA,1,simard_2006,149014.3484213142
Flamingo1,100,13,live,Avicennia,germinans,NA,13.2,16.74,NA,1,simard_2006,68470.81079338568
Flamingo1,100,14,live,Laguncularia,racemosa,NA,8.6,11.35,NA,1,simard_2006,22188.18415963574
Flamingo1,100,15,live,Laguncularia,racemosa,NA,10.7,18.1,NA,1,simard_2006,60853.53998401058
Flamingo1,100,16,live,Laguncularia,racemosa,NA,28.1,17.88,NA,1,simard_2006,749073.5407824302
Flamingo1,100,17,live,Rhizophora,mangle,NA,15.8,16,NA,1,simard_2006,167647.25671147628
Flamingo1,100,18,live,Laguncularia,racemosa,NA,29.4,19.29,NA,1,simard_2006,842541.0784149825
Flamingo1,250,1,live,Laguncularia,racemosa,NA,5.9,10.05,NA,1,simard_2006,8649.791972690275
Flamingo1,250,2,live,Rhizophora,mangle,NA,6.7,7.99,NA,1,simard_2006,18017.001396369134
Flamingo1,250,3,live,Laguncularia,racemosa,NA,13.5,10.72,NA,1,simard_2006,111366.82112846817
Flamingo1,250,4,live,Laguncularia,racemosa,NA,6.8,9.4,NA,1,simard_2006,12335.248854342064
