study_id,site_id,plot_id,mean_agb_g_m2,vegetation_class
byrd_2018,Sage,1-2,274.32,emergent
byrd_2018,Sage,1-1,262.32,emergent
byrd_2018,Sage,1-3,203.68,emergent
byrd_2018,Sage,2-3,206.8,emergent
byrd_2018,Sage,2-1,232.52,emergent
byrd_2018,Sage,2-2,210.36,emergent
byrd_2018,Sage,3-3,144.64,emergent
byrd_2018,Sage,3-1,357.64,emergent
byrd_2018,Sage,3-2,214.2,emergent
byrd_2018,Sage,4-3,236.48,emergent
byrd_2018,Sage,4-1,248.88,emergent
byrd_2018,Sage,4-2,248.24,emergent
byrd_2018,Sage,5-3,258.64,emergent
byrd_2018,Sage,5-2,268.32,emergent
byrd_2018,Sage,5-1,129.88,emergent
byrd_2018,Sage,6-3,441.76,emergent
byrd_2018,Sage,6-1,967.08,emergent
byrd_2018,Sage,6-2,559.52,emergent
byrd_2018,Sage,7-1,346.92,emergent
byrd_2018,Sage,7-3,644.8,emergent
byrd_2018,Sage,7-2,264.36,emergent
byrd_2018,Sage,8-1,280.92,emergent
byrd_2018,Sage,8-3,628.44,emergent
byrd_2018,Sage,8-2,446.52,emergent
byrd_2018,Sage,9-1,287.48,emergent
byrd_2018,Sage,9-3,673.32,emergent
byrd_2018,Sage,9-2,712.84,emergent
byrd_2018,Scusset,11-1,497.36,emergent
byrd_2018,Scusset,11-3,316.08,emergent
byrd_2018,Scusset,11-2,591.92,emergent
byrd_2018,Scusset,12-2,868.68,emergent
byrd_2018,Scusset,12-3,700.28,emergent
byrd_2018,Scusset,12-1,477,emergent
byrd_2018,Scusset,13-2,748.8,emergent
byrd_2018,Scusset,13-3,863.4,emergent
byrd_2018,Scusset,13-1,788.4,emergent
byrd_2018,Scusset,14-1,467.72,emergent
byrd_2018,Scusset,14-2,399.12,emergent
byrd_2018,Scusset,14-3,566.32,emergent
byrd_2018,Scusset,15-2,839.64,emergent
byrd_2018,Scusset,15-3,544.16,emergent
byrd_2018,Scusset,15-1,651.4,emergent
byrd_2018,Scusset,16-2,837.88,emergent
byrd_2018,Scusset,16-1,497.72,emergent
byrd_2018,Scusset,16-3,484.64,emergent
byrd_2018,Scusset,17-1,1317.67,emergent
byrd_2018,Scusset,17-2,1571.66,emergent
byrd_2018,Scusset,33-2,1342.5,emergent
byrd_2018,Scusset,33-1,703.85,emergent
byrd_2018,Scusset,17-3,1052,emergent
byrd_2018,Scusset,33-3,688.63,emergent
byrd_2018,Scusset,18-2,666.63,emergent
byrd_2018,Scusset,18-3,1306.94,emergent
byrd_2018,Scusset,18-1,1653.25,emergent
byrd_2018,Scusset,19-2,1684.44,emergent
byrd_2018,Scusset,19-1,1359.12,emergent
byrd_2018,Scusset,19-3,1766.9,emergent
byrd_2018,Cheq,20-3,468.96,emergent
byrd_2018,Cheq,20-1,1263.48,emergent
byrd_2018,Cheq,20-2,860.32,emergent
byrd_2018,Cheq,21-1,640.28,emergent
byrd_2018,Cheq,21-3,747.32,emergent
byrd_2018,Cheq,21-2,427.04,emergent
byrd_2018,Cheq,22-2,565.44,emergent
byrd_2018,Cheq,22-1,440.84,emergent
byrd_2018,Cheq,22-3,691.12,emergent
byrd_2018,Cheq,23-1,114.96,emergent
byrd_2018,Cheq,23-3,218.48,emergent
byrd_2018,Cheq,23-2,285.48,emergent
byrd_2018,Cheq,24-1,898.56,emergent
byrd_2018,Cheq,24-2,453.48,emergent
byrd_2018,Cheq,24-3,786.56,emergent
byrd_2018,Cheq,25-1,1424.24,emergent
byrd_2018,Cheq,25-3,703.76,emergent
byrd_2018,Cheq,25-2,601.04,emergent
byrd_2018,OldCty,28-2,527.84,emergent
byrd_2018,OldCty,28-3,999.4,emergent
byrd_2018,OldCty,28-1,1118.2,emergent
byrd_2018,OldCty,29-1,943.4,emergent
byrd_2018,OldCty,29-2,637.04,emergent
byrd_2018,OldCty,29-3,821.2,emergent
byrd_2018,OldCty,30-3,1463.24,emergent
byrd_2018,OldCty,30-2,712.92,emergent
byrd_2018,OldCty,30-1,814.88,emergent
byrd_2018,OldCty,31-2,884.52,emergent
byrd_2018,OldCty,31-3,640.96,emergent
byrd_2018,OldCty,31-1,904.68,emergent
byrd_2018,OldCty,32-2,601.04,emergent
byrd_2018,OldCty,32-1,1096.2,emergent
byrd_2018,OldCty,32-3,1260,emergent
