study_id,site_id,plot_id,tree_id,year,month,day,species_code,genus,species,dbh,tree_height,agb,plot_area_m2
twilley_2016,SRS4,1,741,1995,01,13,C,Conacarpus,erectus,9,NA,25158.691120680433,400
twilley_2016,SRS4,1,742,1995,01,13,C,Conacarpus,erectus,4.5,NA,6602.374451874444,400
twilley_2016,SRS4,1,743,1995,01,13,C,Conacarpus,erectus,4.8,NA,7478.174381578195,400
twilley_2016,SRS4,1,753,1995,01,13,C,Conacarpus,erectus,9.5,NA,27925.860112877053,400
twilley_2016,SRS4,1,755,1995,01,13,C,Conacarpus,erectus,7.4,NA,17243.174334114843,400
twilley_2016,SRS4,1,758,1995,01,13,C,Conacarpus,erectus,5,NA,8091.184575305885,400
twilley_2016,SRS4,1,774,1995,01,13,C,Conacarpus,erectus,8.7,NA,23565.255755602982,400
twilley_2016,SRS4,1,776,1995,01,13,C,Conacarpus,erectus,9.3,NA,26802.301650136462,400
twilley_2016,SRS4,1,784,1995,01,13,C,Conacarpus,erectus,4.3,NA,6047.754026325088,400
twilley_2016,SRS4,1,790,1995,01,13,C,Conacarpus,erectus,5.3,NA,9054.248885684521,400
twilley_2016,SRS4,1,795,1995,01,13,C,Conacarpus,erectus,4.1,NA,5516.617127749099,400
twilley_2016,SRS4,1,800,1995,01,13,C,Conacarpus,erectus,15.3,NA,70057.47193255703,400
twilley_2016,SRS4,1,801,1995,01,13,C,Conacarpus,erectus,4.1,NA,5516.617127749099,400
twilley_2016,SRS4,1,803,1995,01,13,C,Conacarpus,erectus,7.9,NA,19562.31672903139,400
twilley_2016,SRS4,1,804,1995,01,13,C,Conacarpus,erectus,12.5,NA,47428.165329967625,400
twilley_2016,SRS4,1,806,1995,01,13,C,Conacarpus,erectus,17.6,NA,91799.31676344501,400
twilley_2016,SRS4,1,807,1995,01,13,C,Conacarpus,erectus,8.7,NA,23565.255755602982,400
twilley_2016,SRS4,1,840,1995,01,13,C,Conacarpus,erectus,9.7,NA,29071.63431633456,400
twilley_2016,SRS4,1,844,1995,01,13,C,Conacarpus,erectus,4.2,NA,5779.245326429152,400
