study_id,site_id,plot_id,tree_id,live_or_dead,genus,species,dbh,tree_height,agb,tree_area_m2,n,tree_area_m2_to_forest_area_m2,plot_size_m2,agb_m2
simard_2006,Flamingo1,100,1,live,Avicennia,germinans,7.4,9.25,17071.99060309692,0.004300713500000001,18,0.009,0.4778570555555557,35726.14530771981
simard_2006,Flamingo1,100,2,live,Avicennia,germinans,13.5,15.11,72265.17855206826,0.014313459375000002,18,0.009,1.5903843750000004,45438.81321272931
simard_2006,Flamingo1,100,3,live,Avicennia,germinans,10.7,13.69,41366.53096798948,0.008991758374999999,18,0.009,0.9990842638888888,41404.44651482367
simard_2006,Flamingo1,100,4,live,Avicennia,germinans,11.4,15.7,48161.46387375026,0.0102067335,18,0.009,1.1340815000000002,42467.37458793769
simard_2006,Flamingo1,100,5,live,Avicennia,germinans,11,11.19,44204.906881624105,0.0095030375,18,0.009,1.0558930555555557,41864.947069252004
simard_2006,Flamingo1,100,6,live,Avicennia,germinans,12.7,15.4,62410.399986729906,0.012667313375000001,18,0.009,1.407479263888889,44341.96764951898
simard_2006,Flamingo1,100,7,live,Laguncularia,racemosa,13.2,17.44,105046.1757404831,0.013684374,18,0.009,1.520486,69087.23641025508
simard_2006,Flamingo1,100,8,live,Rhizophora,mangle,13.7,10.79,115707.49721800807,0.014740703374999999,18,0.009,1.6378559305555556,70645.71129816066
simard_2006,Flamingo1,100,9,live,Avicennia,germinans,17.3,14.67,131050.50027996748,0.023505488375,18,0.009,2.6117209305555558,50177.834372254656
simard_2006,Flamingo1,100,10,live,Avicennia,germinans,20.7,14.5,201584.3742027563,0.033652533374999995,18,0.009,3.7391703749999996,53911.52421150543
simard_2006,Flamingo1,100,11,live,Avicennia,germinans,14.1,20.06,80214.68937170562,0.015614040375000002,18,0.009,1.7348933750000004,46236.09181267731
simard_2006,Flamingo1,100,12,live,Laguncularia,racemosa,15.1,16.01,149014.3484213142,0.017907335375,18,0.009,1.9897039305555557,74892.72455711897
simard_2006,Flamingo1,100,13,live,Avicennia,germinans,13.2,16.74,68470.81079338568,0.013684374,18,0.009,1.520486,45032.187598824115
simard_2006,Flamingo1,100,14,live,Laguncularia,racemosa,8.6,11.35,22188.18415963574,0.005808633499999999,18,0.009,0.6454037222222222,34378.76695727518
simard_2006,Flamingo1,100,15,live,Laguncularia,racemosa,10.7,18.1,60853.53998401058,0.008991758374999999,18,0.009,0.9990842638888888,60909.31684494861
simard_2006,Flamingo1,100,16,live,Laguncularia,racemosa,28.1,17.88,749073.5407824302,0.06201399537500001,18,0.009,6.890443930555557,108711.94197817592
