plot_name,tree_number,live,genus,species,fia_code,dbh,height,notes,use_for_allometry,biomass_fromard,biomass_day,biomass_smith,biomass_chave,density,treeArea
Flamingo1_100,1,1,Avicennia,germinans,NA,7.4,9.25,NA,1,0.017071991,0.0205489,0.019323872,0.019390232,0.7764,0.00430084
Flamingo1_100,2,1,Avicennia,germinans,NA,13.5,15.11,NA,1,0.072265179,0.082020766,0.061810963,0.086317717,0.7764,0.014313882
Flamingo1_100,3,1,Avicennia,germinans,NA,10.7,13.69,NA,1,0.041366531,0.048029344,0.039430132,0.04841204,0.7764,0.008992024
Flamingo1_100,4,1,Avicennia,germinans,NA,11.4,15.7,NA,1,0.048161464,0.055573587,0.044571165,0.056679551,0.7764,0.010207035
Flamingo1_100,5,1,Avicennia,germinans,NA,11,11.19,NA,1,0.044204907,0.051186421,0.04159618,0.051859678,0.7764,0.009503318
Flamingo1_100,6,1,Avicennia,germinans,NA,12.7,15.4,NA,1,0.0624104,0.071259651,0.054923271,0.074150923,0.7764,0.012667687
Flamingo1_100,9,1,Avicennia,germinans,NA,17.3,14.67,NA,1,0.1310505,0.145181049,0.099857609,0.159736943,0.7764,0.023506182
Flamingo1_100,10,1,Avicennia,germinans,NA,20.7,14.5,NA,1,0.201584374,0.219439555,0.141281939,0.248737586,0.7764,0.033653526
Flamingo1_100,11,1,Avicennia,germinans,NA,14.1,20.06,NA,1,0.080214689,0.090657461,0.067234126,0.096171528,0.7764,0.015614501
Flamingo1_100,13,1,Avicennia,germinans,NA,13.2,16.74,NA,1,0.068470811,0.077884987,0.059182047,0.081626253,0.7764,0.013684778
Flamingo1_250,9,1,Avicennia,germinans,NA,51.3,19.48,NA,1,1.779957824,1.773207653,0.817272685,2.183097818,0.7764,0.206692449
Flamingo1_400,15,1,Avicennia,germinans,NA,24,17.79,NA,1,0.287498124,0.308472696,0.188073905,0.357522671,0.7764,0.045238934
Flamingo1_400,16,1,Avicennia,germinans,NA,24.7,10.7,NA,1,0.308035467,0.329581315,0.198827251,0.383530612,0.7764,0.047916357
Flamingo1_400,18,1,Avicennia,germinans,NA,38.6,19.08,NA,1,0.899368281,0.921205111,0.471476279,1.123212573,0.7764,0.117021185
