"","perPixelScaler","scalerSE","scalerCI","originalArea","estimatedArea","estimatedAreaSE","estimatedAreaCI","producer_accuracy","se","ci","user_accuracy","se","ci"
"No.Change",0.985883924593653,0.00212585845223012,0.00416668256637103,2189207770,2158304748.03852,4653945.84154235,9121733.849423,0.988584563878895,0.000342532974491158,0.00067136463000267,0.97462962962963,0.0021400629337839,0.00419452335021645
"Change",1.36095489094326,0.0107498851609225,0.0210697749154081,85614637,116517658.961481,920347.515844066,1803881.13105437,0.523325370268953,0.0213305117235264,0.0418078029781117,0.712222222222222,0.00871434892220019,0.0170801238875124
