genus,species,species_code
Carya,spp,CASP
Carya,spp,CATO
Carya,spp,CAAQ
Celtis,spp,CELA
Celtis,spp,CEOC
Fraxinus,spp,FRPE
Fraxinus,spp,FRSP
Liquidambar,styraciflua,LIST
Lireodendron,tulipfera,LITU
Nyssa,aquatica,NYAQ
Nyssa,sylvatica,NYSY
Pinus,taeda,PITA
Quercus,alba,QUAL
Quercus,laurifolia,QULA
Quercus,lyrata,QULY
Quercus,nigra,QUNI
Quercus,nuttalli,QUNU
Acer,rubrum,ACRU
Quercus,spp,QUPA
Quercus,spp,QUPH
Quercus,spp,QUSP
Quercus,spp,QUVE
Quercus,spp,QUMI
Salix,nigra,SANI
Taxodium,distichum,TADI
