study_id,site_id,plot_id,mean_agb_g_m2,vegetation_class
megonigal_1997,BARAT,01-A,9817.91850305726,forest
megonigal_1997,BARAT,02-A,8654.900421921573,forest
megonigal_1997,BARAT,N1,25209.12918034888,forest
megonigal_1997,BARAT,N2,23160.773410537124,forest
megonigal_1997,BARAT,O1,12961.291518860453,forest
megonigal_1997,BARAT,O2,6467.484679779326,forest
megonigal_1997,BARAT,P1,14054.642406065857,forest
megonigal_1997,BARAT,P1-2,14403.748203763878,forest
megonigal_1997,BARAT,P2,20580.839004923957,forest
megonigal_1997,BARAT,P2-2,21588.454096886926,forest
megonigal_1997,MB,1,16390.72884733977,forest
megonigal_1997,MB,2,17236.367770429555,forest
megonigal_1997,MB,3,24100.970258765396,forest
megonigal_1997,MB,4,24945.65850046432,forest
megonigal_1997,MB,5,14967.262646849551,forest
megonigal_1997,MB,6,18889.538794720305,forest
megonigal_1997,PEARL,A1,19477.835728428618,forest
megonigal_1997,PEARL,A2,11769.841068046242,forest
megonigal_1997,PEARL,B1,25973.543034486625,forest
megonigal_1997,PEARL,B2,23787.795832748907,forest
megonigal_1997,PEARL,C1,22058.58109382794,forest
megonigal_1997,PEARL,C2,26445.02037963416,forest
megonigal_1997,SR,1,17658.97463844407,forest
megonigal_1997,SR,2,20517.181848308075,forest
megonigal_1997,SR,3,26006.076062427466,forest
megonigal_1997,SR,4,19757.033354109324,forest
megonigal_1997,SR,5,18328.607489111902,forest
megonigal_1997,SR,6,25878.455050417615,forest
megonigal_1997,UTR,1,31375.59288439215,forest
megonigal_1997,UTR,2,23639.278175350297,forest
megonigal_1997,UTR,3,11508.644965661191,forest
megonigal_1997,UTR,4,22615.18770875091,forest
megonigal_1997,VERRET,F1,14276.980511491132,forest
megonigal_1997,VERRET,F2,14207.572702376652,forest
megonigal_1997,VERRET,R1,18402.925615079468,forest
megonigal_1997,VERRET,R2,18615.1998102802,forest
megonigal_1997,VERRET,T1,17818.478145452096,forest
megonigal_1997,VERRET,T2,13267.35958517861,forest
