study_id,site_id,plot_id,year_1987,year_1988
megonigal_1997,BARAT,01-A,NA,NA
megonigal_1997,BARAT,02-A,NA,NA
megonigal_1997,BARAT,N1,486,487
megonigal_1997,BARAT,N2,484,493
megonigal_1997,BARAT,O1,514,561
megonigal_1997,BARAT,O2,185,138
megonigal_1997,BARAT,P1,NA,NA
megonigal_1997,BARAT,P1-2,NA,NA
megonigal_1997,BARAT,P2,NA,NA
megonigal_1997,BARAT,P2-2,NA,NA
megonigal_1997,MB,1,713,644
megonigal_1997,MB,2,837,972
megonigal_1997,MB,3,625,713
megonigal_1997,MB,4,654,652
megonigal_1997,MB,5,799,792
megonigal_1997,MB,6,832,794
megonigal_1997,PEARL,A1,745,680
megonigal_1997,PEARL,A2,767,709
megonigal_1997,PEARL,B1,741,855
megonigal_1997,PEARL,B2,707,737
megonigal_1997,PEARL,C1,665,672
megonigal_1997,PEARL,C2,779,709
megonigal_1997,SR,1,501,453
megonigal_1997,SR,2,482,314
megonigal_1997,SR,3,767,737
megonigal_1997,SR,4,680,629
megonigal_1997,SR,5,668,634
megonigal_1997,SR,6,607,638
megonigal_1997,UTR,1,690,700
megonigal_1997,UTR,2,776,768
megonigal_1997,UTR,3,593,686
megonigal_1997,UTR,4,581,695
megonigal_1997,VERRET,F1,556,592
megonigal_1997,VERRET,F2,551,558
megonigal_1997,VERRET,R1,339,361
megonigal_1997,VERRET,R2,316,317
megonigal_1997,VERRET,T1,529,598
megonigal_1997,VERRET,T2,504,582
