analysis_description,sum_mapped_pixel_count_million_ha
Estuarine Losses,0.00187596
Estuarine Stable and Gains,0.058184190000000004
Farmed ,0.35978121
Palustrine Losses,0.00391725
Palustrine Stable and Gains,0.23807034
