class_2006,abbrev_2006,class_2010,abbrev_2010,class,abbrev,mapped_med,mapped_min,mapped_max,mapped_ci,estima_med,estima_min,estima_max,estima_ci,total_med,total_min,total_max,total_ci,soil_med,soil_min,soil_max,soil_ci,bmass_med,bmass_min,bmass_max,bmass_ci,ch4_med,ch4_min,ch4_max,ch4_ci
Bare Land,BAR,Estuarine Emergent Wetland,EEM,Bare Land to Estuarine Emergent Wetland,BAR_EEM,8574,8574,8574,0,11404.26657987725,10286.039175919568,12581.40365091403,1118.2274039576823,1.9649632485380186,1.2545556444096213,2.657153728402545,1.4025980839929237,1.6259229818766348,1.3293844105282056,1.958414167728961,0.6290297572007555,1.1896186369822495,1.0626238334184528,1.3285152245628788,0.26589139114442606,-0.8593349076378582,-1.4352847384407859,-0.28181538524323935,1.1534693531975466
Bare Land,BAR,Estuarine Forested Wetland,EFW,Bare Land to Estuarine Forested Wetland,BAR_EFW,22,22,22,0,28.6793094376233,25.23190750643419,31.439261587505467,3.447401931189109,60.67766285795065,47.827645725266265,75.5875152178323,27.75986949256604,1.5863674798763734,1.2696731029342037,1.9298327992905449,0.6601596963563412,59.93048310987474,47.44965557946454,74.98799755751588,27.538341978051342,-0.838828571507767,-1.4008272690850159,-0.2854928510994229,1.115334417985593
Bare Land,BAR,Estuarine Scrub/Shrub Wetland,ESS,Bare Land to Estuarine Scrub/Shrub Wetland,BAR_ESS,745,745,745,0,835.9149806564675,640.9487210749832,1148.0265258774666,194.96625958148434,19.933951008374716,7.16211467100507,82.96707158864825,75.80495691764318,1.3522360882528623,0.9785085629262952,1.9698042287639927,0.9912956658376976,19.308598249315274,6.654037929196246,82.41280124211171,75.75876331291546,-0.7181421298707932,-1.3437785406643812,-0.22214288214399258,1.1216356585203886
Bare Land,BAR,Palustrine Emergent Wetland,PEM,Bare Land to Palustrine Emergent Wetland,BAR_PEM,1403.5,1375,1432,57,2193.8778153460453,1965.4757413283687,2436.4869174289697,228.40207401767657,-2.7997495126158523,-21.916782995808436,1.0416572828710406,22.958440278679475,1.8995014771012255,1.552052904002482,2.326947046975344,0.7748941429728622,1.3965789587841875,1.2316268133274872,1.5680326813570897,0.3364058680296025,-6.082017621217917,-25.314636696487675,-2.253387369819571,23.061249326668104
Bare Land,BAR,Palustrine Forested Wetland,PFW,Bare Land to Palustrine Forested Wetland,BAR_PFW,87,79,96,17,118.379325803565,103.86202672392842,134.2391885673415,14.517299079636572,57.904702687913286,39.456879942262255,72.93699341911682,33.48011347685456,1.6556187482381177,1.3694597082374844,1.9880159668338526,0.6185562585963682,62.297635159859674,50.32830380035709,77.13327487954074,26.804971079183645,-5.286739227201751,-21.67892610098032,-1.9640024293719507,19.714923671608368
Bare Land,BAR,Palustrine Scrub/Shrub Wetland,PSS,Bare Land to Palustrine Scrub/Shrub Wetland,BAR_PSS,541,527,553.025,26.024999999999977,762.364174716242,682.9064721119169,841.9426457346457,79.45770260432516,19.720385284219113,-3.6732899446005005,95.64411206532759,99.31740200992809,1.7222470168310284,1.3994888653871067,2.101390151624502,0.7019012862373954,24.11073888071698,8.786667059228348,99.84811759166791,91.06145053243957,-5.544156298424161,-23.022610074707753,-2.020056239355084,21.002553835352668
Cultivated,CULT,Estuarine Emergent Wetland,EEM,Cultivated to Estuarine Emergent Wetland,CULT_EEM,2612,2612,2612,0,3474.217903736795,3133.5589371940605,3832.823225587539,340.65896654273456,0.7700696551828413,0.10836962268877982,1.4409584877578876,1.3325888650691078,1.6259229818766379,1.3293844105282089,1.9584141677289557,0.6290297572007468,0,0,0,0,-0.8593349076378568,-1.4352847384407883,-0.28181538524323985,1.1534693531975484
Cultivated,CULT,Estuarine Forested Wetland,EFW,Cultivated to Estuarine Forested Wetland,CULT_EFW,1,1,1,0,1.303604974437425,1.1469048866561018,1.4290573448866122,0.15670008778132316,59.480528518878636,46.75285474947701,74.32458500355557,27.57173025407856,1.5863674798763776,1.2696731029342039,1.9298327992905397,0.6601596963563359,58.772565633736725,46.33313335107215,73.81601275359154,27.482879402519387,-0.8388285715077672,-1.400827269085015,-0.28549285109942335,1.1153344179855917
Cultivated,CULT,Estuarine Scrub/Shrub Wetland,ESS,Cultivated to Estuarine Scrub/Shrub Wetland,CULT_ESS,115,115,115,0,129.033856074488,98.93839318607117,177.2121482898106,30.095462888416833,18.891277394109878,6.278601348592546,81.80339511987935,75.52479377128681,1.35223608825286,0.9785085629262938,1.9698042287639914,0.9912956658376976,18.38351390724242,5.713750475380881,81.24912477334284,75.53537429796197,-0.7181421298707948,-1.3437785406643763,-0.2221428821439935,1.1216356585203828
Cultivated,CULT,Palustrine Emergent Wetland,PEM,Cultivated to Palustrine Emergent Wetland,CULT_PEM,2033,2025,2041,16,3176.42959766443,2858.8173619777485,3523.4209848266555,317.6122356866813,-4.184716166922993,-23.341492077103645,-0.37246685978146393,22.96902521732218,1.8995014771012246,1.5520529040024826,2.3269470469753415,0.7748941429728589,0,0,0,0,-6.082017621217922,-25.31463669648766,-2.2533873698195723,23.06124932666809
Cultivated,CULT,Palustrine Forested Wetland,PFW,Cultivated to Palustrine Forested Wetland,CULT_PFW,376,357,393,36,509.287046622768,466.80258540209957,557.1230585682281,42.484461220668436,56.7112130365483,38.23089818617305,71.70012939427693,33.46923120810388,1.6556187482381186,1.3694597082374873,1.9880159668338464,0.6185562585963591,61.10407438543024,49.13924665456188,75.96002967741467,26.820783022852787,-5.286739227201737,-21.678926100980362,-1.9640024293719516,19.71492367160841
Cultivated,CULT,Palustrine Scrub/Shrub Wetland,PSS,Cultivated to Palustrine Scrub/Shrub Wetland,CULT_PSS,1801,1774,1829,55,2539.2104117324297,2284.7718165728465,2806.57957715506,254.4385951595832,18.468647814602765,-4.914140018460535,94.34211265407906,99.25625267253959,1.722247016831032,1.399488865387107,2.1013901516245026,0.7019012862373957,22.821135244905168,7.486067017530407,98.51025539917597,91.02418838164557,-5.544156298424159,-23.022610074707774,-2.0200562393550814,21.002553835352693
Deciduous Forest,DEC,Estuarine Emergent Wetland,EEM,Deciduous Forest to Estuarine Emergent Wetland,DEC_EEM,236,236,236,0,313.90330217530004,283.12400810788574,346.30408929504546,30.7792940674143,-59.41357754106757,-74.40116013282355,-47.297822569368854,27.103337563454694,1.6259229818766392,1.3293844105282084,1.9584141677289544,0.6290297572007459,-60.173078754929705,-75.126145406251,-48.10767945088398,27.01846595536702,-0.8593349076378569,-1.4352847384407874,-0.2818153852432398,1.1534693531975475
Deciduous Forest,DEC,Palustrine Emergent Wetland,PEM,Deciduous Forest to Palustrine Emergent Wetland,DEC_PEM,72,67,78,11,113.1522029760405,99.18096677337921,129.03713577170956,13.971236202661288,-75.72681489261288,-102.12865908151795,-59.74638278114589,42.38227630037206,1.8995014771012229,1.552052904002484,2.326947046975355,0.7748941429728708,-70.57153796819549,-88.22775309823548,-56.08952283830842,32.13823025992706,-6.082017621217908,-25.31463669648761,-2.253387369819563,23.061249326668047
Deciduous Forest,DEC,Palustrine Forested Wetland,PFW,Deciduous Forest to Palustrine Forested Wetland,DEC_PFW,118,106,130,24,159.513312524545,139.54523690329543,180.8249002879385,19.968075621249568,-3.6494228474053187,-20.140972477268377,-0.3203736830006138,19.820598794267763,1.6556187482381204,1.3694597082374915,1.9880159668338495,0.618556258596358,0,0,0,0,-5.286739227201741,-21.67892610098044,-1.9640024293719542,19.714923671608485
Deciduous Forest,DEC,Palustrine Scrub/Shrub Wetland,PSS,Deciduous Forest to Palustrine Scrub/Shrub Wetland,DEC_PSS,52,46,59,13,73.9183651518198,62.88126973412795,86.190455336368,11.037095417691852,-44.74723358034936,-75.18693389043803,27.794891926507958,102.98182581694599,1.7222470168310284,1.3994888653871083,2.1013901516245013,0.701901286237393,-40.158959145537516,-64.7662806044849,32.746386632157815,97.51266723664273,-5.544156298424159,-23.02261007470777,-2.020056239355082,21.00255383535269
Developed Open Space,OSD,Estuarine Emergent Wetland,EEM,Developed Open Space to Estuarine Emergent Wetland,OSD_EEM,447,447,447,0,594.5541358998271,536.2560662043427,655.9234233681582,58.2980696954844,1.9649632485380133,1.2545556444096222,2.657153728402539,1.4025980839929166,1.6259229818766388,1.3293844105282075,1.9584141677289577,0.6290297572007502,1.1896186369822495,1.062623833418456,1.3285152245628837,0.26589139114442784,-0.8593349076378567,-1.435284738440788,-0.2818153852432404,1.1534693531975477
Developed Open Space,OSD,Estuarine Forested Wetland,EFW,Developed Open Space to Estuarine Forested Wetland,OSD_EFW,5,5,5,0,6.51802487218711,5.734524433280491,7.145286724433061,0.7835004389066187,60.67766285795068,47.82764572526628,75.58751521783236,27.759869492566082,1.5863674798763752,1.2696731029342037,1.9298327992905449,0.6601596963563412,59.93048310987477,47.44965557946449,74.98799755751588,27.538341978051392,-0.838828571507768,-1.4008272690850172,-0.2854928510994229,1.1153344179855944
Developed Open Space,OSD,Estuarine Scrub/Shrub Wetland,ESS,Developed Open Space to Estuarine Scrub/Shrub Wetland,OSD_ESS,44,44,44,0,49.369475367630244,37.85468956684462,67.80290891088396,11.514785800785624,19.93395100837469,7.162114671005063,82.96707158864835,75.8049569176433,1.3522360882528623,0.9785085629262954,1.9698042287639885,0.9912956658376931,19.30859824931527,6.654037929196248,82.4128012421118,75.75876331291555,-0.7181421298707926,-1.3437785406643763,-0.22214288214399266,1.1216356585203837
Developed Open Space,OSD,Palustrine Emergent Wetland,PEM,Developed Open Space to Palustrine Emergent Wetland,OSD_PEM,122,112,131,19,190.69341746094898,166.25122749456608,215.29462319383197,24.442189966382898,-2.7997495126158576,-21.916782995808465,1.0416572828710409,22.958440278679504,1.899501477101222,1.5520529040024833,2.326947046975347,0.7748941429728635,1.3965789587841866,1.2316268133274875,1.5680326813570868,0.3364058680295994,-6.0820176212179184,-25.314636696487714,-2.253387369819564,23.06124932666815
Developed Open Space,OSD,Palustrine Forested Wetland,PFW,Developed Open Space to Palustrine Forested Wetland,OSD_PFW,71,64,79,15,96.60712795629935,85.47834173307986,109.40062193223788,11.128786223219493,57.90470268791317,39.45687994226212,72.93699341911682,33.4801134768547,1.655618748238116,1.3694597082374886,1.9880159668338448,0.6185562585963562,62.29763515985965,50.3283038003572,77.13327487954064,26.80497107918344,-5.286739227201744,-21.67892610098037,-1.9640024293719465,19.714923671608425
