analysis_description,median_sum_total_MillionTonnesCO2,lower_sum_total_MillionTonnesCO2,upper_sum_total_MillionTonnesCO2,salinity,stability
Total NGGI,-112.0299644926317,-431.62869275229684,-23.9014298364322,NA,NA
Estuarine Losses,-40.18021647135694,-65.65791660866041,-21.514640364391806,Estuarine,Losses
Estuarine Stable and Gains,27.190830396008394,2.8506366858472645,50.87751631925673,Estuarine,Stable and Gains
Palustrine Losses,-13.185456019281313,-20.11685604408986,-7.986411426266124,Palustrine,Losses
Palustrine Stable and Gains,-80.33164191449438,-418.2314080276526,-10.392313101346893,Palustrine,Stable and Gains
