analysis_description,iteration_number,sum_total_MillionTonnesCO2
Total NGGI,1,-68.57618578115222
Total NGGI,2,-146.4066613308237
Total NGGI,3,-59.923995376928346
Total NGGI,4,-259.4186213068045
Total NGGI,5,-123.69413398269673
Total NGGI,6,-65.24235711413303
Total NGGI,7,-192.0837528341701
Total NGGI,8,-108.96728332148649
Total NGGI,9,-611.3411164984572
Total NGGI,10,-51.224268445685
Total NGGI,11,-138.95314394031945
Total NGGI,12,-224.94320040233737
Total NGGI,13,-112.11769392113533
Total NGGI,14,-198.5111686050698
Total NGGI,15,-133.51110766974892
Total NGGI,16,-62.768593247983496
Total NGGI,17,-696.6243053258909
Total NGGI,18,-216.4760032441791
Total NGGI,19,-69.67661885443802
Total NGGI,20,-424.49378118906014
Total NGGI,21,-493.2601203280931
Total NGGI,22,-149.21955784444214
Total NGGI,23,-36.13275462602796
Total NGGI,24,-110.94680857224861
Total NGGI,25,-63.73655800992078
Total NGGI,26,-86.0994960285464
Total NGGI,27,-81.0155227101751
Total NGGI,28,-223.30438114343485
Total NGGI,29,-69.61612962243977
Total NGGI,30,-91.17146099036744
Total NGGI,31,-97.59905307129922
Total NGGI,32,-41.852479909685115
Total NGGI,33,-72.89391510388009
Total NGGI,34,-40.95228173568586
Total NGGI,35,-176.0909862693272
Total NGGI,36,-137.3503982427467
Total NGGI,37,-108.5370335073405
Total NGGI,38,-135.86328469528183
Total NGGI,39,-151.34842213728078
Total NGGI,40,-63.063959708916386
Total NGGI,41,-351.00792255168807
Total NGGI,42,-880.1688075264118
Total NGGI,43,-123.49687394191824
Total NGGI,44,-117.1446683258256
Total NGGI,45,-78.79831649971273
Total NGGI,46,-70.37121258021315
Total NGGI,47,-142.76294966733826
Total NGGI,48,-169.24689005903778
Total NGGI,49,-128.68362788224658
Total NGGI,50,-95.06551586765781
Total NGGI,51,-127.28991278908619
Total NGGI,52,-110.58867240346925
Total NGGI,53,-59.87937994472621
Total NGGI,54,-137.51390927950914
Total NGGI,55,-55.769367580859374
Total NGGI,56,-35.39434081526552
Total NGGI,57,-182.31679756590324
Total NGGI,58,-135.47743182160693
Total NGGI,59,-69.68844797412264
Total NGGI,60,-75.3951220352464
Total NGGI,61,-194.5409515699459
Total NGGI,62,-364.42450102295237
Total NGGI,63,-85.79580522215328
Total NGGI,64,-135.81537215976402
Total NGGI,65,-152.81082550299828
Total NGGI,66,-127.5341891583436
Total NGGI,67,-56.72214429029655
Total NGGI,68,-66.03583641409362
Total NGGI,69,-105.30754340471034
Total NGGI,70,-74.43990462733908
Total NGGI,71,-165.64222276059886
Total NGGI,72,-821.4378280319154
Total NGGI,73,-56.605157878992
Total NGGI,74,-237.17238098716356
Total NGGI,75,-137.72350133917803
Total NGGI,76,-53.213023424712084
Total NGGI,77,-166.62223748046202
Total NGGI,78,-232.51095669574391
Total NGGI,79,-11.31701544579606
Total NGGI,80,-88.18488588763118
Total NGGI,81,-157.46600372839413
Total NGGI,82,-160.39999935240218
Total NGGI,83,-247.81589429753137
Total NGGI,84,-49.40733474234945
Total NGGI,85,-97.24594803824924
Total NGGI,86,-172.48030550436815
Total NGGI,87,-143.0752106850422
Total NGGI,88,-89.16807914908107
Total NGGI,89,-250.4199324801902
Total NGGI,90,-70.57866342420641
Total NGGI,91,-238.9522479144779
Total NGGI,92,-196.27098798793344
Total NGGI,93,-56.369433686812506
Total NGGI,94,-382.92770992890587
Total NGGI,95,-342.18495268711223
Total NGGI,96,-88.3697174281889
Total NGGI,97,-47.29034960808464
Total NGGI,98,-129.90182307159768
Total NGGI,99,-240.52676047702178
Total NGGI,100,-424.39561862186144
Total NGGI,101,-229.60542316903445
Total NGGI,102,-99.90115450915013
Total NGGI,103,-54.72647681708347
Total NGGI,104,-29.741458242387875
Total NGGI,105,-137.62080236055294
Total NGGI,106,-248.89949383187573
Total NGGI,107,-133.26420004423835
Total NGGI,108,-90.79288710724175
Total NGGI,109,-250.19098598257636
Total NGGI,110,-55.91714548616443
Total NGGI,111,-124.03851567232186
Total NGGI,112,-170.38195671258725
Total NGGI,113,-92.02095737975154
Total NGGI,114,-88.37296596989381
Total NGGI,115,-30.812867310034086
Total NGGI,116,-205.1985241302432
Total NGGI,117,-104.52878033198259
Total NGGI,118,-20.11493221822487
Total NGGI,119,-92.75158919558139
Total NGGI,120,-32.45899252141801
Total NGGI,121,-260.1455919184386
Total NGGI,122,-36.23113347110816
Total NGGI,123,-119.36443124729941
Total NGGI,124,-260.1110955386838
Total NGGI,125,-36.89041773216193
Total NGGI,126,-118.69708369167783
Total NGGI,127,-141.99489137108415
Total NGGI,128,-31.63745385280461
Total NGGI,129,-80.32368764978854
Total NGGI,130,-85.16355031135024
Total NGGI,131,-133.19717661398366
Total NGGI,132,-37.109209887281004
Total NGGI,133,-139.34365515321065
Total NGGI,134,-156.09111965152903
Total NGGI,135,-88.91214047889619
Total NGGI,136,-160.6077549897619
Total NGGI,137,-200.42818911612542
Total NGGI,138,-126.46584884188033
Total NGGI,139,-132.22630607712952
Total NGGI,140,-70.57543078264473
Total NGGI,141,-130.32063466599578
Total NGGI,142,-43.83226571820966
Total NGGI,143,-201.38044502925453
Total NGGI,144,-42.804558538091605
Total NGGI,145,-170.5164413546612
Total NGGI,146,-284.15586551708645
Total NGGI,147,-129.39380330917402
Total NGGI,148,-401.6524180989033
Total NGGI,149,-81.25750866513215
Total NGGI,150,-34.87374850055125
Total NGGI,151,-81.88947312151842
Total NGGI,152,-247.44013253153827
Total NGGI,153,-87.54535234159967
Total NGGI,154,-84.0187186508942
Total NGGI,155,-234.78703160087974
Total NGGI,156,-124.33961016715791
Total NGGI,157,-83.67788135894594
Total NGGI,158,-98.40470900263747
