analysis_description,iteration_number,sum_total_MillionTonnesCO2
Total NGGI,159,-129.91998428753405
Total NGGI,160,-168.3671867493573
Total NGGI,161,-173.19364717203234
Total NGGI,162,-73.21746975096698
Total NGGI,163,-338.51292835442786
Total NGGI,164,-114.510468960513
Total NGGI,165,-310.5580995746353
Total NGGI,166,-128.51801656551078
Total NGGI,167,-37.25275823672301
Total NGGI,168,-44.66500963834612
Total NGGI,169,-53.376901295162014
Total NGGI,170,-101.79824719890821
Total NGGI,171,-203.55643336475597
Total NGGI,172,-176.4281205928772
Total NGGI,173,-100.76449565493844
Total NGGI,174,-136.53195560284118
Total NGGI,175,-138.2878050616885
Total NGGI,176,-151.1373902558627
Total NGGI,177,-113.93380747943813
Total NGGI,178,-111.24559472829793
Total NGGI,179,-85.19545992413283
Total NGGI,180,-165.7822172050094
Total NGGI,181,-62.474944587650945
Total NGGI,182,-106.38031635145215
Total NGGI,183,-55.857048209912875
Total NGGI,184,-123.13260003861267
Total NGGI,185,-62.68256793476236
Total NGGI,186,-103.60676968084067
Total NGGI,187,-138.4111471737533
Total NGGI,188,-125.40829905011492
Total NGGI,189,-189.37254457797667
Total NGGI,190,-87.05604703366019
Total NGGI,191,-136.36769406044226
Total NGGI,192,-65.22439129668109
Total NGGI,193,-89.77350137641102
Total NGGI,194,-162.6103845974988
Total NGGI,195,-210.93077901131792
Total NGGI,196,-139.4856120711306
Total NGGI,197,-81.51805953002578
Total NGGI,198,-98.35973102592416
Total NGGI,199,-123.20466408513965
Total NGGI,200,-80.82989132493407
Total NGGI,201,-57.09009270997534
Total NGGI,202,-139.79415165519293
Total NGGI,203,-430.4778853768846
Total NGGI,204,-153.57061687947842
Total NGGI,205,-116.71758348219555
Total NGGI,206,-94.00366516073066
Total NGGI,207,-110.38884825229127
Total NGGI,208,-56.864544038028285
Total NGGI,209,-83.10939432173092
Total NGGI,210,-166.3517234458265
Total NGGI,211,-77.6841248844101
Total NGGI,212,-98.57585696904275
Total NGGI,213,-51.36055073972636
Total NGGI,214,-409.04166828176454
Total NGGI,215,-15.70000212174904
Total NGGI,216,-161.24686526880518
Total NGGI,217,-98.2064954118227
Total NGGI,218,-79.02987572451072
Total NGGI,219,-50.91413748744935
Total NGGI,220,-140.05921352119975
Total NGGI,221,-89.17986310950269
Total NGGI,222,-28.34022009736404
Total NGGI,223,-70.88848505995257
Total NGGI,224,-348.68074138920406
Total NGGI,225,-82.30679362780222
Total NGGI,226,-118.74852369530254
Total NGGI,227,-144.3505228441357
Total NGGI,228,-105.7250371859779
Total NGGI,229,-186.2560951781269
Total NGGI,230,-90.49208766122788
Total NGGI,231,-61.913163294655384
Total NGGI,232,-207.55829356290388
Total NGGI,233,-567.8170545756943
Total NGGI,234,-201.39139034269425
Total NGGI,235,-106.02232299946276
Total NGGI,236,-23.963664202410982
Total NGGI,237,-130.49559255583608
Total NGGI,238,-95.83078648801636
Total NGGI,239,-72.92148899242127
Total NGGI,240,-47.376896788543284
Total NGGI,241,-709.2792558487029
Total NGGI,242,-4.6528821035723515
Total NGGI,243,-74.5548620146425
Total NGGI,244,-76.59720536967522
Total NGGI,245,-81.52491900612475
Total NGGI,246,-119.31233234740012
Total NGGI,247,-117.8785393803
Total NGGI,248,-98.70872334839069
Total NGGI,249,-73.47197697794984
Total NGGI,250,-119.59999856718056
Total NGGI,251,-140.90291063974033
Total NGGI,252,-146.87457561956123
Total NGGI,253,-65.97319644737355
Total NGGI,254,-19.204577984437243
Total NGGI,255,-451.835212706982
Total NGGI,256,-201.18805187283584
Total NGGI,257,-262.43864202959065
Total NGGI,258,-128.63410317094653
Total NGGI,259,-144.05673341818581
Total NGGI,260,-13.494619185225547
Total NGGI,261,-162.56389241785917
Total NGGI,262,-149.616153857403
Total NGGI,263,-165.961589965377
Total NGGI,264,-84.23516809673222
Total NGGI,265,-186.55508027681728
Total NGGI,266,-38.976135606722515
Total NGGI,267,-167.20123230318904
Total NGGI,268,-91.48399761791154
Total NGGI,269,-81.22807949641191
Total NGGI,270,-287.4551375506252
Total NGGI,271,1.8943540282001203
Total NGGI,272,-106.8465497140031
Total NGGI,273,-46.75875745309384
Total NGGI,274,-148.26039717470076
Total NGGI,275,-30.810083354098172
Total NGGI,276,-90.60575034507127
Total NGGI,277,-56.61049720549374
Total NGGI,278,-54.8025396525449
Total NGGI,279,-166.23926085168353
Total NGGI,280,-227.89369915192512
Total NGGI,281,-93.59502581536059
Total NGGI,282,-125.83131576176784
Total NGGI,283,-28.065241950089558
Total NGGI,284,-84.33255845875057
Total NGGI,285,-128.97947890827007
Total NGGI,286,-177.78538712280084
Total NGGI,287,-219.89895980369016
Total NGGI,288,-61.84014443965063
Total NGGI,289,-30.46832890558931
Total NGGI,290,-142.34141932443407
Total NGGI,291,-200.44800683512148
Total NGGI,292,-206.1420394538573
Total NGGI,293,-1051.3261387732373
Total NGGI,294,-30.56540742593584
Total NGGI,295,-82.08012153235615
Total NGGI,296,-61.84470960964589
Total NGGI,297,-93.41975969953977
Total NGGI,298,-104.66138996919851
Total NGGI,299,-135.18591632324978
Total NGGI,300,-65.29682266161667
Total NGGI,301,-117.28513369054265
Total NGGI,302,-209.9585644048266
Total NGGI,303,-114.4906033498835
Total NGGI,304,-57.81039440969672
Total NGGI,305,-58.09256570109379
Total NGGI,306,-128.01298688822158
Total NGGI,307,-167.84640174707934
Total NGGI,308,-63.28310393254424
Total NGGI,309,-43.2431108400333
Total NGGI,310,-58.49600270627983
Total NGGI,311,-95.71119715171947
Total NGGI,312,-149.84410451143546
Total NGGI,313,-136.3626827316484
Total NGGI,314,-114.26231402236729
Total NGGI,315,-267.90732716735175
Total NGGI,316,-195.65113338821115
Total NGGI,317,-101.83859152396063
Total NGGI,318,-115.32745886219271
Total NGGI,319,-112.83132672878841
Total NGGI,320,-115.90414023766478
Total NGGI,321,-53.165841252941156
Total NGGI,322,-208.00504272644787
Total NGGI,323,-101.32998812567642
Total NGGI,324,-64.26141718653493
Total NGGI,325,-457.7452835920654
Total NGGI,326,-90.86059660812043
Total NGGI,327,-28.511410851859107
Total NGGI,328,-38.56463509888591
Total NGGI,329,-187.24720899385127
Total NGGI,330,-117.59728476565923
Total NGGI,331,-89.04454412420057
Total NGGI,332,-190.45355858943333
Total NGGI,333,-110.44011677914489
Total NGGI,334,-87.43096501091398
Total NGGI,335,-184.7775451544283
Total NGGI,336,-160.01639648415892
Total NGGI,337,-18.459164483966553
Total NGGI,338,-212.25403212874602
Total NGGI,339,-27.50934472576301
Total NGGI,340,-204.52912984630012
Total NGGI,341,-64.80810694415626
Total NGGI,342,-139.95878784337515
Total NGGI,343,-80.31390941408496
Total NGGI,344,-124.8178503661994
Total NGGI,345,-182.23143130967728
Total NGGI,346,-36.926774092653474
Total NGGI,347,-122.73942151337351
Total NGGI,348,-9.89261672314746
Total NGGI,349,-180.07500047615943
Total NGGI,350,-172.03631912548002
Total NGGI,351,-868.6860751751766
Total NGGI,352,-170.41605919865535
Total NGGI,353,-194.8245579709624
Total NGGI,354,-104.52647437191284
Total NGGI,355,-78.14291931133238
Total NGGI,356,-413.21597444942125
Total NGGI,357,-114.03809051170576
Total NGGI,358,-65.42738751034412
Total NGGI,359,-103.0488086606273
Total NGGI,360,-304.462056608915
Total NGGI,361,-81.18802685802787
Total NGGI,362,-126.31997550258487
Total NGGI,363,-70.43804528200418
Total NGGI,364,-137.30752999454555
Total NGGI,365,-164.45792778684407
Total NGGI,366,-129.48959689364455
Total NGGI,367,-36.9613836383785
Total NGGI,368,-165.56420975355533
Total NGGI,369,-177.60686123411276
Total NGGI,370,-217.46061953922185
Total NGGI,371,-57.36726924771055
Total NGGI,372,-117.69853717597712
Total NGGI,373,-52.33718051346178
Total NGGI,374,-76.3293847794159
Total NGGI,375,-75.49020597336623
Total NGGI,376,-165.78275714897714
Total NGGI,377,-17.077690006598093
Total NGGI,378,-190.59497870613723
Total NGGI,379,-105.48666304182186
Total NGGI,380,-85.13923488983775
Total NGGI,381,-115.53076920660689
Total NGGI,382,-110.687352575699
Total NGGI,383,-107.22698924178528
Total NGGI,384,-58.394106401249246
Total NGGI,385,-64.56276394054439
Total NGGI,386,-92.25664918395124
Total NGGI,387,-90.31163494879257
Total NGGI,388,-50.68338719041707
Total NGGI,389,-202.1022369806893
Total NGGI,390,-98.31165286066353
Total NGGI,391,-222.11986490489127
Total NGGI,392,-97.07681948502515
Total NGGI,393,-152.91761429040344
Total NGGI,394,-64.94605175287359
Total NGGI,395,-38.45357797859509
Total NGGI,396,-180.96401531842926
Total NGGI,397,-68.08889465593184
Total NGGI,398,-124.88840533815099
Total NGGI,399,-327.4870597814231
Total NGGI,400,-66.78552165898695
Total NGGI,401,-75.31605575644299
Total NGGI,402,-111.49832468158388
Total NGGI,403,-136.6848719023655
Total NGGI,404,-65.32674368512892
Total NGGI,405,-35.68192399231144
Total NGGI,406,-121.76259592853349
Total NGGI,407,-112.49495628294848
Total NGGI,408,-43.820459262899796
Total NGGI,409,-138.9327944680243
Total NGGI,410,-129.60483434599615
Total NGGI,411,-248.0800586561189
Total NGGI,412,-172.14736146456536
Total NGGI,413,-80.92096088405594
Total NGGI,414,-68.60233182986073
Total NGGI,415,-109.24002713900448
Total NGGI,416,-102.84352743774856
Total NGGI,417,-104.87253808530694
Total NGGI,418,-133.00377759434335
Total NGGI,419,-82.38642029674838
Total NGGI,420,-65.77402257633847
Total NGGI,421,-114.60891394384218
Total NGGI,422,-92.35517518785218
Total NGGI,423,-107.58570715612711
Total NGGI,424,-62.338401326012196
Total NGGI,425,-51.09120884166593
Total NGGI,426,-1.9463962643272028
Total NGGI,427,-225.0609565847487
Total NGGI,428,-43.65467612187889
Total NGGI,429,-166.10063082412333
Total NGGI,430,-63.67842988024403
Total NGGI,431,-142.13455615834013
Total NGGI,432,-119.74670743790699
Total NGGI,433,-106.9764857340922
Total NGGI,434,-240.35455391818496
Total NGGI,435,-19.429892596134124
Total NGGI,436,-224.24525703499856
Total NGGI,437,-43.971887885025815
Total NGGI,438,-117.07461070461572
Total NGGI,439,-380.81000486457094
Total NGGI,440,-62.841365519944034
Total NGGI,441,-41.897560585363564
Total NGGI,442,-51.87671474562505
Total NGGI,443,-238.09146550396792
Total NGGI,444,-229.30441616002145
Total NGGI,445,-119.99678662958443
Total NGGI,446,-60.73820752641106
Total NGGI,447,-167.6976229768911
Total NGGI,448,-136.32633419142306
Total NGGI,449,-70.20188239673944
Total NGGI,450,-123.45837562621028
Total NGGI,451,-156.60232909384484
Total NGGI,452,-54.47174677589554
Total NGGI,453,-121.33625790126142
Total NGGI,454,-154.24934336849685
Total NGGI,455,-63.414910980891264
Total NGGI,456,-36.91091616359511
Total NGGI,457,-133.09552950630885
Total NGGI,458,-211.69805672393963
Total NGGI,459,-190.6112091885819
Total NGGI,460,-143.95300986442626
Total NGGI,461,-197.28125895892424
Total NGGI,462,-30.855743751932838
Total NGGI,463,0.2306685235416213
Total NGGI,464,-151.48320726321612
Total NGGI,465,-68.79017944396857
Total NGGI,466,-162.79299598282498
Total NGGI,467,-185.48095447028086
Total NGGI,468,-172.9916760940354
Total NGGI,469,-277.37399638160866
Total NGGI,470,-242.76298873082695
Total NGGI,471,-250.54379510356628
Total NGGI,472,-161.6217538566716
Total NGGI,473,-96.61287653842045
Total NGGI,474,-80.31791872702755
Total NGGI,475,-149.81493027287584
Total NGGI,476,-105.85993611180683
Total NGGI,477,-375.50285139982225
Total NGGI,478,-92.77658151359384
Total NGGI,479,-148.02738464742498
Total NGGI,480,-232.54000833312986
Total NGGI,481,-552.0343374051416
Total NGGI,482,-57.04715620033118
Total NGGI,483,-54.09614735702049
Total NGGI,484,-298.67895651824006
Total NGGI,485,-275.61357444322886
Total NGGI,486,-76.33341563437827
Total NGGI,487,-64.63524284400366
Total NGGI,488,-340.3799056092617
Total NGGI,489,-176.90324688237328
Total NGGI,490,-291.2457543278018
Total NGGI,491,-95.15231620817475
Total NGGI,492,-106.35156097549476
Total NGGI,493,-180.1825587533142
Total NGGI,494,-265.878545233549
Total NGGI,495,-442.54123529985327
Total NGGI,496,-102.53116523367434
Total NGGI,497,-116.08191037789192
Total NGGI,498,-196.10601182288357
Total NGGI,499,-77.6126050009192
Total NGGI,500,-95.28117413443624
Total NGGI,501,-179.91261346316483
Total NGGI,502,-34.60280549872628
Total NGGI,503,-32.24414384091519
Total NGGI,504,-39.22187343105522
Total NGGI,505,-109.2098381316595
Total NGGI,506,-71.93650295269079
Total NGGI,507,-128.64010867224368
Total NGGI,508,-167.3767716934779
Total NGGI,509,-65.24195875027652
Total NGGI,510,-145.86379203774496
Total NGGI,511,-53.79994879790259
Total NGGI,512,-140.30093181102686
Total NGGI,513,-35.51263232528686
Total NGGI,514,-116.41107897745805
Total NGGI,515,-85.49971952205586
Total NGGI,516,-281.04073709495907
Total NGGI,517,-89.2866167040942
Total NGGI,518,-123.10051243743578
Total NGGI,519,-128.27219005774148
Total NGGI,520,-69.35252386276117
Total NGGI,521,-116.44615152292793
Total NGGI,522,-58.90655952502791
Total NGGI,523,-208.7468229024035
Total NGGI,524,-101.15001606313807
Total NGGI,525,-86.59325516796753
Total NGGI,526,-19.931900211594506
Total NGGI,527,-66.4479588333404
Total NGGI,528,-116.738983102448
Total NGGI,529,-226.8813061379073
Total NGGI,530,-189.93205531305142
Total NGGI,531,-160.73823672088807
Total NGGI,532,-115.92427978207942
Total NGGI,533,-75.2672212226353
Total NGGI,534,-96.06016574582688
Total NGGI,535,-114.01166551297203
Total NGGI,536,-56.04565411979234
Total NGGI,537,-122.7515624528957
Total NGGI,538,-37.5394253728815
Total NGGI,539,-55.01551548805496
Total NGGI,540,-381.91618022863446
Total NGGI,541,-103.51748367865494
Total NGGI,542,-276.4268126157049
Total NGGI,543,-194.98645899874347
Total NGGI,544,-116.16943719412085
Total NGGI,545,-85.22271904734382
Total NGGI,546,-153.80042605568312
Total NGGI,547,-111.4850392861958
Total NGGI,548,-102.12973674791317
Total NGGI,549,-134.938927485898
Total NGGI,550,-233.62004710948278
Total NGGI,551,-83.47502677846157
Total NGGI,552,-134.58110505969267
Total NGGI,553,-108.57220200080283
Total NGGI,554,-431.62452291924393
Total NGGI,555,-63.97791304395396
Total NGGI,556,-172.4867073477137
Total NGGI,557,-57.331175528885204
Total NGGI,558,-100.07568850252687
Total NGGI,559,-91.43261484047417
Total NGGI,560,-129.67757086530574
Total NGGI,561,-80.97075296134145
Total NGGI,562,-34.51559026310252
Total NGGI,563,-56.62863452727506
Total NGGI,564,-237.20752721756418
Total NGGI,565,-111.94223506412807
Total NGGI,566,-127.05424988948586
Total NGGI,567,-234.22411860171385
Total NGGI,568,-56.65785606751698
Total NGGI,569,-185.63724125954545
Total NGGI,570,-164.69609620975663
Total NGGI,571,-84.9924790814677
Total NGGI,572,-47.65504985486768
Total NGGI,573,-43.10375383480261
Total NGGI,574,-59.735892178494076
Total NGGI,575,-137.40757332134189
Total NGGI,576,-248.54403168818834
Total NGGI,577,-69.51978055341314
Total NGGI,578,-238.03175927634734
Total NGGI,579,-115.3584130437493
Total NGGI,580,-124.12303322906891
Total NGGI,581,-93.60344924991195
Total NGGI,582,-259.78221304619905
Total NGGI,583,-111.56131266285036
Total NGGI,584,-70.06231552925586
Total NGGI,585,-133.61282837048398
Total NGGI,586,-39.60294397758769
Total NGGI,587,-72.62674610049552
Total NGGI,588,-340.3181712740866
Total NGGI,589,-359.9203402926992
Total NGGI,590,-97.28381267232075
Total NGGI,591,-66.65128718189703
Total NGGI,592,-90.31956638990418
Total NGGI,593,-95.63807404409917
Total NGGI,594,-215.16535493410748
Total NGGI,595,-53.93176729703189
Total NGGI,596,-101.9511168697908
Total NGGI,597,-70.43638223635342
Total NGGI,598,-495.5400027246652
Total NGGI,599,-175.06346656228794
Total NGGI,600,-134.141576359662
Total NGGI,601,-71.53515383175267
Total NGGI,602,-224.2848057190199
Total NGGI,603,-57.7650737572753
Total NGGI,604,-419.7250444028781
Total NGGI,605,-92.9389948157506
Total NGGI,606,-68.39584274364915
Total NGGI,607,-181.8877728929279
Total NGGI,608,-199.36924012733294
Total NGGI,609,-78.78703332573423
Total NGGI,610,-72.77444694301353
Total NGGI,611,-47.99795265378838
Total NGGI,612,-296.8540337517337
Total NGGI,613,-87.72734201536403
Total NGGI,614,-295.7363987694546
Total NGGI,615,-114.10209211383375
Total NGGI,616,-63.43621108483946
Total NGGI,617,-54.30888468199927
Total NGGI,618,-81.1656007468913
Total NGGI,619,-75.05516148241004
Total NGGI,620,-52.64543143886642
Total NGGI,621,-90.13454004227796
Total NGGI,622,-93.93455000138563
Total NGGI,623,-52.140587023694614
Total NGGI,624,-1013.2252546333436
Total NGGI,625,-45.232668070755516
Total NGGI,626,-131.1386496487682
Total NGGI,627,-63.43309642315353
Total NGGI,628,-37.00929641712493
Total NGGI,629,-172.0325533848323
Total NGGI,630,-257.8217401287278
Total NGGI,631,-100.26828422711182
Total NGGI,632,-81.32349471134667
Total NGGI,633,-133.0757750310281
Total NGGI,634,-61.64465857072221
Total NGGI,635,-75.00836606288543
Total NGGI,636,-88.74357533284675
Total NGGI,637,-172.94020386313875
Total NGGI,638,-100.59465144224696
Total NGGI,639,-252.94941847153882
Total NGGI,640,-357.84657195392384
Total NGGI,641,-86.09600128440808
Total NGGI,642,-142.58584954159312
Total NGGI,643,-34.2563398441062
Total NGGI,644,-400.85890123312953
Total NGGI,645,-75.5487280872138
Total NGGI,646,-39.818160610528665
Total NGGI,647,-21.42696922013336
Total NGGI,648,-154.13156825747356
Total NGGI,649,-157.5775217962545
Total NGGI,650,-582.419303110639
Total NGGI,651,-67.29825348524886
Total NGGI,652,-73.2663368157877
Total NGGI,653,-163.80258964198688
Total NGGI,654,-95.39214127339518
Total NGGI,655,-129.79250486331748
Total NGGI,656,-200.37700574280282
Total NGGI,657,-96.51944471006892
Total NGGI,658,-65.54351669203453
Total NGGI,659,-214.20232698608004
Total NGGI,660,-125.90265752525288
Total NGGI,661,-169.79502089827957
Total NGGI,662,-30.13992275879256
Total NGGI,663,-99.50005087379101
Total NGGI,664,-97.4890213213917
Total NGGI,665,-117.47123323075944
Total NGGI,666,-111.22148921379588
Total NGGI,667,-162.37684342671784
Total NGGI,668,-70.38492931812894
Total NGGI,669,-73.30777474669773
Total NGGI,670,-57.75853091957121
Total NGGI,671,-354.5349435585296
Total NGGI,672,-122.88167513575603
Total NGGI,673,-114.12270015344338
Total NGGI,674,-32.465861600304876
Total NGGI,675,-116.71460612532265
Total NGGI,676,-78.45876591147886
Total NGGI,677,-56.38588958053522
Total NGGI,678,-97.4258402756681
Total NGGI,679,-93.6568030884955
Total NGGI,680,-86.20602900469612
Total NGGI,681,-98.20014882482143
Total NGGI,682,-524.0234007878022
Total NGGI,683,-92.9139726076481
Total NGGI,684,-68.37518658607102
Total NGGI,685,-176.6699214981865
Total NGGI,686,-88.61418426128522
Total NGGI,687,-124.7185642270857
Total NGGI,688,-234.2121538790179
Total NGGI,689,-59.679789777858
Total NGGI,690,-91.06436750787928
Total NGGI,691,-105.2040738604481
Total NGGI,692,-135.46530677673417
Total NGGI,693,-51.63063655570329
Total NGGI,694,-80.59178288509817
Total NGGI,695,-120.22265479919409
Total NGGI,696,-234.47427734836918
Total NGGI,697,-65.08375450963658
Total NGGI,698,-131.7028446834242
Total NGGI,699,-99.48814825647042
Total NGGI,700,-215.8263367932531
Total NGGI,701,-40.83121521031297
Total NGGI,702,-62.41034318575784
Total NGGI,703,-97.27731799334653
Total NGGI,704,-2177.907809798803
Total NGGI,705,-40.09176052728623
Total NGGI,706,-79.49832387175661
Total NGGI,707,-91.50103314734241
Total NGGI,708,-182.44945067988579
Total NGGI,709,-83.24505686029654
Total NGGI,710,-86.93165640838421
Total NGGI,711,-120.41090089918706
Total NGGI,712,-142.11731250844585
Total NGGI,713,-65.20265685637774
Total NGGI,714,-101.92742419126111
Total NGGI,715,-359.31345825343567
Total NGGI,716,-274.07502612494665
Total NGGI,717,-61.25686595309503
Total NGGI,718,-284.53622410181185
Total NGGI,719,-58.85128225396932
Total NGGI,720,-252.7348894080993
Total NGGI,721,-44.265488635481404
Total NGGI,722,-294.6543735817187
Total NGGI,723,-66.71431642760196
Total NGGI,724,-128.63957140085225
Total NGGI,725,-28.48938839484603
Total NGGI,726,-91.06510870307237
Total NGGI,727,-62.04751400805723
Total NGGI,728,-100.45305873908136
Total NGGI,729,-189.2424655478055
Total NGGI,730,-393.94303027025705
Total NGGI,731,-229.95589509343236
Total NGGI,732,-98.49277128419463
Total NGGI,733,-165.28707323466566
Total NGGI,734,-108.22742789669347
Total NGGI,735,-18.79001641984464
Total NGGI,736,-119.96733943019618
Total NGGI,737,-54.25767789085061
Total NGGI,738,-50.72462851032357
Total NGGI,739,-21.474289563257507
Total NGGI,740,-60.98401459512232
Total NGGI,741,-200.2589533380125
Total NGGI,742,-77.76550429754177
Total NGGI,743,-90.58059141355028
Total NGGI,744,-98.97377959043058
Total NGGI,745,-37.91706861210204
Total NGGI,746,-174.1787656540256
Total NGGI,747,-65.05578531777896
Total NGGI,748,-113.62946818802354
Total NGGI,749,-40.28494030311972
Total NGGI,750,-153.54423994910533
Total NGGI,751,-150.44997332373651
Total NGGI,752,-101.7641630421431
Total NGGI,753,-94.69475113403921
Total NGGI,754,-161.69513854842407
Total NGGI,755,-216.34979384305046
Total NGGI,756,-165.6640430583635
Total NGGI,757,-69.49599509169995
Total NGGI,758,-207.95468612602767
Total NGGI,759,-48.397286699843676
Total NGGI,760,-140.72817520836193
Total NGGI,761,-176.2242343525358
Total NGGI,762,-474.58960516482773
Total NGGI,763,-96.51216431123758
Total NGGI,764,-120.59879420614095
Total NGGI,765,-26.127855509714422
Total NGGI,766,-100.85719484656411
Total NGGI,767,9.877571841761931
Total NGGI,768,-114.56955852855832
Total NGGI,769,-191.28381535500466
Total NGGI,770,-72.16752157896477
Total NGGI,771,-71.86744968892161
Total NGGI,772,-41.84490091708086
Total NGGI,773,-131.07768296750746
Total NGGI,774,-114.47682507532998
Total NGGI,775,-136.13024695777938
