Site_ID,Date,Plot_ID ,Basket_ID,Ag_leaves,Rm_leaves,Lr_leaves,Ce_leaves,Rm_stipules,Ag_flower,Rm_flower,Lr_flower,Ce_flower,Ag_propagules,Rm_propagules,Lr_propagules,Ce_propagules,Wood,Miscellaneous,Rm_fruit_embryo,Total_weight
SRS4,2001-01-25,1,1,0.00,3.45,1.22,1.90,0.17,0.00,0.98,0.00,0.06,0.00,0.00,0.00,0.00,1.93,0.29,0.00,10.00
SRS4,2001-01-25,1,2,0.00,9.03,0.00,2.04,0.33,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.09,0.46,0.00,11.97
SRS4,2001-01-25,1,3,0.00,1.82,0.00,3.88,0.10,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,3.25,0.78,0.00,10.28
SRS4,2001-01-25,1,4,0.00,2.67,0.00,0.73,0.10,0.00,0.96,0.00,0.04,0.00,0.00,0.00,0.02,0.38,0.81,0.00,5.71
SRS4,2001-01-25,1,5,0.00,2.59,0.00,1.99,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.65,0.00,5.87
SRS4,2001-01-25,1,6,0.00,0.00,0.47,4.66,0.07,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.50,4.26,0.00,10.05
SRS4,2001-01-25,1,7,0.00,8.63,0.00,1.87,0.64,0.00,1.54,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.09,0.00,13.60
SRS4,2001-01-25,1,8,0.00,3.95,0.00,1.88,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.08,0.00,6.15
SRS4,2001-01-25,1,9,0.00,3.84,0.00,1.46,0.23,0.00,0.93,0.00,0.01,0.00,0.00,0.00,0.00,0.09,1.26,0.00,7.82
SRS4,2001-01-25,1,10,0.00,2.05,1.03,0.91,0.00,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.28,0.00,7.75
SRS5,2001-01-25,1,1,0.00,1.18,0.00,0.00,0.32,0.00,1.03,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,2.67
SRS5,2001-01-25,1,2,0.00,3.38,0.00,0.00,0.38,0.00,3.99,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,8.15
SRS5,2001-01-25,1,3,0.00,4.23,1.96,0.00,0.29,0.00,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.41,0.00,7.50
SRS5,2001-01-25,1,4,0.55,5.52,0.00,0.00,0.36,0.00,0.94,0.00,0.00,0.00,0.00,0.00,0.00,1.12,0.22,0.00,8.71
SRS5,2001-01-25,1,5,0.00,5.28,1.51,0.00,0.21,0.00,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.31,0.00,7.73
SRS5,2001-01-25,1,6,0.00,4.01,0.00,0.00,0.22,0.00,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.64
SRS5,2001-01-25,1,7,0.00,4.49,0.32,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,5.05
SRS5,2001-01-25,1,8,0.00,5.30,0.00,0.00,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,5.80
SRS5,2001-01-25,1,9,0.00,2.56,0.00,0.00,0.14,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.00,3.22
SRS5,2001-01-25,1,10,0.00,5.56,0.00,0.00,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,6.13
SRS6,2001-01-25,1,1,5.85,0.00,2.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.28,0.00,8.78
SRS6,2001-01-25,1,2,3.22,2.59,2.71,0.00,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.58,0.92,0.00,11.65
SRS6,2001-01-25,1,3,4.64,1.58,4.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.31,0.00,0.00,12.67
SRS6,2001-01-25,1,4,2.13,2.03,2.99,0.00,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.54,0.00,8.43
SRS6,2001-01-25,1,5,1.28,3.51,3.12,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.11,0.48,0.00,9.72
SRS6,2001-01-25,1,6,1.95,0.00,3.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.83,0.00,0.00,7.47
SRS6,2001-01-25,1,7,3.55,4.44,1.50,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.56,0.00,10.44
SRS6,2001-01-25,1,8,3.90,0.33,4.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.64,0.75,0.00,10.31
SRS6,2001-01-25,1,9,1.07,4.88,3.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,1.42,0.00,10.80
SRS6,2001-01-25,1,10,1.10,4.21,2.26,0.00,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.47,0.00,8.92
SRS4,2001-02-28,1,1,0.00,7.58,2.63,0.93,0.08,0.00,0.44,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.14,0.00,11.83
SRS4,2001-02-28,1,2,0.00,11.05,0.00,0.27,0.16,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.06,0.00,11.59
SRS4,2001-02-28,1,3,0.00,3.40,0.17,2.97,0.43,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.01,0.33,0.00,0.00,7.36
SRS4,2001-02-28,1,4,0.00,4.87,0.00,0.44,0.22,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.29,0.15,0.00,6.03
