Site_ID,Date,Plot_ID ,Basket_ID,Ag_leaves,Rm_leaves,Lr_leaves,Ce_leaves,Rm_stipules,Ag_flower,Rm_flower,Lr_flower,Ce_flower,Ag_propagules,Rm_propagules,Lr_propagules,Ce_propagules,Wood,Miscellaneous,Rm_fruit_embryo,Total_weight
SRS4,2001-02-28,1,5,0.00,11.03,0.00,2.62,0.10,0.00,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,14.35
SRS4,2001-02-28,1,6,0.00,3.02,0.00,3.97,0.32,0.00,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.08,4.05,0.00,12.50
SRS4,2001-02-28,1,7,0.00,7.40,0.28,1.87,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,9.95
SRS4,2001-02-28,1,8,0.00,3.58,0.00,1.30,0.09,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.63,0.00,5.76
SRS4,2001-02-28,1,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SRS4,2001-02-28,1,10,0.00,4.49,0.00,1.26,0.22,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.03,0.90,0.00,6.96
SRS5,2001-02-28,1,1,0.00,13.08,0.00,0.00,0.25,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.39
SRS5,2001-02-28,1,2,0.10,12.58,0.80,0.00,0.24,0.00,1.51,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,15.37
SRS5,2001-02-28,1,3,0.00,3.58,7.38,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,11.21
SRS5,2001-02-28,1,4,0.33,10.68,0.00,0.00,0.67,0.00,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,12.25
SRS5,2001-02-28,1,5,0.00,4.33,6.18,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.00,10.99
SRS5,2001-02-28,1,6,0.00,6.60,0.07,0.00,0.16,0.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,7.29
SRS5,2001-02-28,1,7,0.00,10.09,0.01,0.00,0.25,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.00,10.72
SRS5,2001-02-28,1,8,0.00,11.04,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.21
SRS5,2001-02-28,1,9,0.00,7.55,0.00,0.00,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.83
SRS5,2001-02-28,1,10,0.00,11.46,0.00,0.00,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.93
SRS6,2001-02-28,1,1,9.26,2.72,3.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.60,0.00,16.02
SRS6,2001-02-28,1,2,6.49,6.73,3.44,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,16.97
SRS6,2001-02-28,1,3,4.78,2.87,4.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.00,0.00,12.73
SRS6,2001-02-28,1,4,3.39,4.94,3.38,0.00,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.00,12.38
SRS6,2001-02-28,1,5,0.38,2.07,10.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.88,0.00,13.79
SRS6,2001-02-28,1,6,1.78,0.62,7.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.00,10.09
SRS6,2001-02-28,1,7,4.75,5.25,3.35,0.00,0.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.20,0.00,14.45
SRS6,2001-02-28,1,8,1.03,1.24,10.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.46,0.30,0.00,14.72
SRS6,2001-02-28,1,9,1.53,9.86,8.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.00,20.93
SRS6,2001-02-28,1,10,0.34,3.78,5.20,0.00,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.23,0.00,10.23
SRS4,2001-03-23,1,1,0.00,2.94,0.42,1.51,0.03,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.73,0.15,0.00,6.23
SRS4,2001-03-23,1,2,0.00,3.74,0.00,0.52,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,4.95
SRS4,2001-03-23,1,3,0.00,2.23,0.00,2.30,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.50,0.00,5.41
SRS4,2001-03-23,1,4,0.00,1.61,0.24,0.69,0.23,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.21,0.18,0.00,3.19
SRS4,2001-03-23,1,5,0.00,2.13,0.00,1.36,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.12,0.00,4.20
SRS4,2001-03-23,1,6,0.00,1.56,0.00,3.09,0.24,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.12,0.43,0.00,5.46
SRS4,2001-03-23,1,7,0.00,4.22,0.19,0.72,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.12,0.11,0.00,6.92
SRS4,2001-03-23,1,8,0.00,3.60,0.45,0.29,0.63,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.11,0.84,0.00,5.98
SRS4,2001-03-23,1,9,0.00,3.97,0.14,0.29,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.31,0.00,5.07
SRS4,2001-03-23,1,10,0.00,1.70,0.00,0.04,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.05,0.17,0.00,1.97
SRS5,2001-03-23,1,1,0.00,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.64
SRS5,2001-03-23,1,2,0.00,4.32,0.58,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.38
SRS5,2001-03-23,1,3,0.06,1.74,3.08,0.00,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.00,0.00,1.14,0.07,0.00,6.35
SRS5,2001-03-23,1,4,0.00,0.74,0.00,0.00,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.82,0.00,0.00,8.91
SRS5,2001-03-23,1,5,0.00,4.97,1.38,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.36,0.00,0.00,7.76
SRS5,2001-03-23,1,6,0.00,3.88,0.17,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,4.73
SRS5,2001-03-23,1,7,0.00,2.51,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,2.64
SRS5,2001-03-23,1,8,0.00,1.54,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,2.15
SRS5,2001-03-23,1,9,0.00,3.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,3.20
SRS5,2001-03-23,1,10,0.00,2.93,0.00,0.00,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,3.57
SRS6,2001-03-23,1,1,2.61,0.59,2.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,0.18,0.00,7.38
SRS6,2001-03-23,1,2,2.09,0.77,4.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.41,0.17,0.00,9.37
SRS6,2001-03-23,1,3,4.28,0.57,5.10,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.48,0.14,0.00,11.80
SRS6,2001-03-23,1,4,2.05,0.87,5.48,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.16,0.00,0.00,12.78
SRS6,2001-03-23,1,5,0.74,1.96,6.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.21,0.04,0.00,10.43
SRS6,2001-03-23,1,6,0.39,0.00,3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.32,0.00,4.41
SRS6,2001-03-23,1,7,2.08,2.41,1.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.09,0.00,6.58
SRS6,2001-03-23,1,8,0.60,1.17,2.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.06,0.14,0.00,5.53
SRS6,2001-03-23,1,9,1.57,2.93,4.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.31,0.38,0.00,12.45
SRS6,2001-03-23,1,10,0.53,1.45,3.82,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.24,0.00,0.00,8.43
SRS4,2001-04-07,1,1,0.00,7.20,2.82,0.16,1.03,0.00,0.37,0.00,0.02,0.00,0.00,0.00,0.00,0.12,0.50,0.00,12.22
SRS4,2001-04-07,1,2,0.00,7.64,0.00,0.82,1.61,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.56,0.88,0.00,11.52
SRS4,2001-04-07,1,3,0.00,2.13,0.54,4.45,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.19,0.00,8.42
SRS4,2001-04-07,1,4,0.00,5.77,0.00,0.87,1.35,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.66,0.00,8.90
SRS4,2001-04-07,1,5,0.00,11.90,0.00,8.10,2.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,22.36
SRS4,2001-04-07,1,6,0.00,4.29,0.01,17.24,1.50,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.42,0.94,0.00,24.41
SRS4,2001-04-07,1,7,0.00,6.42,0.84,0.60,2.91,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.31,0.00,11.35
SRS4,2001-04-07,1,8,0.00,5.27,0.11,0.76,1.88,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.40,0.38,0.00,8.82
SRS4,2001-04-07,1,9,0.00,10.39,0.00,1.05,3.17,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.31,0.26,0.00,15.19
SRS4,2001-04-07,1,10,0.00,4.36,0.01,0.64,0.51,0.05,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.07,1.90,0.00,7.71
SRS5,2001-04-07,1,1,0.00,6.30,0.00,0.00,1.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.15
SRS5,2001-04-07,1,2,0.42,10.78,0.55,0.00,2.27,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.12,0.00,14.20
SRS5,2001-04-07,1,3,0.00,1.82,2.74,0.00,0.65,0.00,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.16,0.00,6.44
SRS5,2001-04-07,1,4,0.27,6.84,0.00,0.00,1.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,8.81
SRS5,2001-04-07,1,5,0.00,6.64,1.23,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.26,0.00,9.60
SRS5,2001-04-07,1,6,0.00,9.11,0.00,0.00,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.81
SRS5,2001-04-07,1,7,0.00,3.61,0.00,0.00,1.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,5.03
SRS5,2001-04-07,1,8,0.00,4.42,0.00,0.00,1.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,5.53
SRS5,2001-04-07,1,9,0.00,2.97,0.00,0.00,0.87,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.90
SRS5,2001-04-07,1,10,0.00,7.04,0.00,0.00,1.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.61,0.00,0.00,11.18
SRS6,2001-04-07,1,1,5.13,1.33,4.22,0.00,0.13,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.89,0.00,11.99
SRS6,2001-04-07,1,2,3.83,1.82,7.50,0.00,1.39,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.70,0.00,15.32
SRS6,2001-04-07,1,3,5.73,1.60,4.53,0.00,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.62,0.00,13.75
SRS6,2001-04-07,1,4,2.34,3.82,1.36,0.00,3.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.76,0.00,11.79
SRS6,2001-04-07,1,5,2.92,2.68,6.36,0.00,1.43,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.36,0.00,17.13
SRS6,2001-04-07,1,6,0.67,0.00,9.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,1.11,0.00,11.49
SRS6,2001-04-07,1,7,0.91,5.34,7.23,0.00,1.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.49,0.79,0.00,17.40
SRS6,2001-04-07,1,8,1.11,0.09,6.92,0.00,0.21,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.92,1.03,0.00,10.32
SRS6,2001-04-07,1,9,3.92,3.05,9.39,0.00,1.29,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,1.89,0.00,19.99
SRS6,2001-04-07,1,10,0.43,3.33,7.78,0.00,1.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.86,1.12,0.00,15.46
SRS4,2001-05-23,1,1,0.00,3.47,0.00,0.04,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.00,4.42
SRS4,2001-05-23,1,2,0.00,4.60,0.00,0.39,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,5.68
SRS4,2001-05-23,1,3,0.00,1.21,0.04,1.19,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.00,2.72
SRS4,2001-05-23,1,4,0.00,5.90,0.11,0.29,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.35,0.00,7.54
SRS4,2001-05-23,1,5,0.00,6.84,0.00,3.67,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,10.96
SRS4,2001-05-23,1,6,0.00,4.31,0.37,7.64,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.55,0.00,13.60
SRS4,2001-05-23,1,7,0.00,2.69,0.17,0.46,0.53,0.00,0.00,0.00,0.00,0.00,0.78,0.00,0.00,0.04,0.04,0.00,4.71
SRS4,2001-05-23,1,8,0.00,5.12,0.00,0.01,0.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.14,0.00,5.94
SRS4,2001-05-23,1,9,0.00,7.65,0.31,0.19,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,8.84
SRS4,2001-05-23,1,10,0.00,0.39,0.02,1.28,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,2.03
SRS5,2001-05-23,1,1,0.00,4.40,0.00,0.00,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.17
SRS5,2001-05-23,1,2,0.00,4.67,0.00,0.00,1.32,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.15,0.00,6.26
SRS5,2001-05-23,1,3,0.00,0.85,0.16,0.00,1.05,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.19,0.00,2.52
SRS5,2001-05-23,1,4,0.00,9.57,0.00,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,10.61
SRS5,2001-05-23,1,5,0.00,4.76,0.00,0.00,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.12,0.00,6.11
SRS5,2001-05-23,1,6,0.00,5.28,0.07,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.65
SRS5,2001-05-23,1,7,0.00,8.07,0.00,0.00,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.75
SRS5,2001-05-23,1,8,0.00,3.97,0.00,0.00,0.89,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.87
SRS5,2001-05-23,1,9,0.00,1.11,0.00,0.00,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.58
SRS5,2001-05-23,1,10,0.00,6.62,0.00,0.00,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.03
SRS6,2001-05-23,1,1,1.64,0.00,3.06,0.00,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,5.12
SRS6,2001-05-23,1,2,0.38,0.33,3.91,0.00,0.68,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.14,0.00,5.81
SRS6,2001-05-23,1,3,0.31,0.67,2.26,0.00,0.09,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.16,0.00,4.03
SRS6,2001-05-23,1,4,1.30,1.34,1.41,0.00,0.85,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,5.34
SRS6,2001-05-23,1,5,1.61,3.71,3.45,0.00,1.16,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.00,10.21
SRS6,2001-05-23,1,6,0.00,0.00,7.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.00,8.14
SRS6,2001-05-23,1,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SRS6,2001-05-23,1,8,0.33,0.00,2.89,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.12,0.00,3.54
SRS6,2001-05-23,1,9,0.43,2.14,2.77,0.00,0.83,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.28,0.00,7.04
SRS6,2001-05-23,1,10,0.00,0.80,6.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.24,0.00,7.90
SRS4,2001-06-26,1,1,0.00,9.19,6.54,0.67,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.13,0.94,0.00,21.20
SRS4,2001-06-26,2,2,0.00,21.09,0.00,1.56,0.49,0.00,0.00,0.00,0.00,0.00,1.92,0.00,0.01,0.72,0.13,0.00,25.92
SRS4,2001-06-26,1,3,0.00,6.77,0.00,4.20,0.18,0.00,0.07,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.42,0.00,11.70
SRS4,2001-06-26,2,4,0.00,12.52,0.03,0.74,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.73,0.00,14.43
SRS4,2001-06-26,1,5,0.00,18.31,0.00,4.65,2.44,0.00,0.00,0.00,0.06,0.00,0.89,0.00,0.00,0.06,0.28,0.00,26.69
SRS4,2001-06-26,2,6,0.00,7.02,0.28,18.92,0.39,0.02,0.00,0.00,2.05,0.00,0.00,0.00,0.00,0.38,3.15,0.00,32.21
SRS4,2001-06-26,1,7,0.00,16.31,14.39,1.55,1.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,1.16,0.00,35.13
SRS4,2001-06-26,2,8,0.00,14.46,0.99,0.60,0.85,0.00,0.15,0.00,0.16,0.00,0.89,0.00,0.00,0.00,0.84,0.00,18.94
SRS4,2001-06-26,1,9,0.00,14.20,0.63,0.27,0.78,0.00,0.00,0.00,0.41,0.00,0.00,0.00,0.00,0.13,0.26,0.00,16.68
SRS4,2001-06-26,2,10,0.00,7.34,0.00,1.53,0.39,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.25,0.00,9.57
SRS5,2001-06-26,1,1,0.00,13.00,0.00,0.00,1.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.69,0.00,0.00,15.25
SRS5,2001-06-26,2,2,1.67,35.23,2.62,0.00,2.69,1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.44,0.91,0.00,76.88
