"HID_PFW","HID_PSS","HID_PEM","MID_PFW","MID_PSS","MID_PEM","LID_PFW","LID_PSS","LID_PEM","OSD_PFW","OSD_PSS","OSD_PEM","CULT_PFW","CULT_PSS","CULT_PEM","PAST_PFW","PAST_PSS","PAST_PEM","GRS_PFW","GRS_PSS","GRS_PEM","DEC_PFW","DEC_PSS","DEC_PEM","EVR_PFW","EVR_PSS","EVR_PEM","MIX_PFW","MIX_PSS","MIX_PEM","SS_PFW","SS_PSS","SS_PEM","PFW_HID","PFW_MID","PFW_LID","PFW_OSD","PFW_CULT","PFW_PAST","PFW_GRS","PFW_DEC","PFW_EVR","PFW_MIX","PFW_SS","PFW_PFW","PFW_PSS","PFW_PEM","PFW_UCS","PFW_BAR","PFW_OW","PFW_PAB","PFW_EAB","PFW_SNOW","PSS_HID","PSS_MID","PSS_LID","PSS_OSD","PSS_CULT","PSS_PAST","PSS_GRS","PSS_DEC","PSS_EVR","PSS_MIX","PSS_SS","PSS_PFW","PSS_PSS","PSS_PEM","PSS_UCS","PSS_BAR","PSS_OW","PSS_PAB","PSS_EAB","PSS_SNOW","PEM_HID","PEM_MID","PEM_LID","PEM_OSD","PEM_CULT","PEM_PAST","PEM_GRS","PEM_DEC","PEM_EVR","PEM_MIX","PEM_SS","PEM_PFW","PEM_PSS","PEM_PEM","PEM_UCS","PEM_BAR","PEM_OW","PEM_PAB","PEM_EAB","PEM_SNOW","UCS_PFW","UCS_PSS","UCS_PEM","BAR_PFW","BAR_PSS","BAR_PEM","OW_PFW","OW_PSS","OW_PEM","PAB_PFW","PAB_PSS","PAB_PEM","EAB_PFW","EAB_PSS","EAB_PEM","SNOW_PFW","SNOW_PSS","SNOW_PEM"
0,1,14,2,11,48,64,52,157,70,135,128,368,1786,2032,27,669,656,46,208,153,123,55,76,159,80,96,40,77,54,104,26,68,388,1225,1843,1739,180,17,1225,0,7,0,223,7646177,72694,35084,129,5292,4648,192,1378,0,101,304,528,683,30,9,252,0,2,0,0,8928,1114065,17158,313,1120,4487,52,239,0,459,1047,1669,1937,250,24,76,2,8,0,4,2098,25929,5321485,3567,5518,102451,4627,317,0,461,496,15595,85,547,1387,889,6909,87510,931,1236,7052,0,0,6,0,0,0
0,2,14,2,11,44,65,48,161,73,136,132,384,1807,2032,24,667,656,55,209,151,111,54,70,157,75,96,31,70,52,122,27,62,379,1215,1800,1712,192,19,1242,0,7,2,227,7644258,72790,34999,135,5325,4687,195,1368,0,97,301,535,694,35,9,261,0,4,0,0,8801,1113753,17119,307,1128,4531,52,244,0,456,1051,1671,1910,247,22,79,2,6,0,6,2108,25936,5321548,3617,5476,102510,4585,320,0,443,479,15586,86,541,1414,884,6827,87349,924,1245,7054,0,0,7,0,0,0
0,2,13,2,9,43,63,59,159,73,137,126,375,1816,2038,28,669,658,56,214,156,129,55,71,150,86,97,35,72,58,116,23,73,369,1192,1806,1697,194,20,1236,0,6,3,232,7642516,72737,34979,132,5326,4654,188,1367,0,99,291,539,698,28,9,251,0,2,0,0,8963,1114494,17103,323,1140,4520,49,244,0,468,1060,1629,1908,254,24,78,2,7,0,4,2057,26021,5321368,3570,5509,102435,4609,318,0,422,508,15584,93,541,1419,868,6858,87483,933,1243,7048,0,0,7,0,0,0
0,2,13,3,11,44,66,56,158,71,137,134,381,1803,2033,26,680,655,57,208,162,106,57,72,160,78,100,34,70,60,108,18,65,374,1219,1823,1728,185,18,1231,0,2,0,247,7645250,72921,34943,134,5267,4670,196,1366,0,100,297,518,699,31,7,257,0,3,0,1,8846,1114821,17236,316,1133,4580,52,240,0,462,1049,1661,1927,256,20,78,2,9,0,3,2102,25981,5322282,3566,5506,102430,4618,316,0,438,495,15601,79,540,1408,887,6902,87270,933,1248,7072,0,0,7,0,0,0
0,1,13,2,10,45,65,52,161,73,137,116,389,1782,2040,34,679,657,59,211,165,111,52,71,157,82,97,38,67,58,110,19,64,357,1195,1825,1744,197,21,1230,0,3,3,230,7642995,72538,34978,131,5295,4709,201,1372,0,100,281,546,692,39,8,248,0,2,0,1,8840,1114769,17094,314,1152,4538,54,239,0,449,1046,1661,1944,245,23,76,2,7,0,5,2094,25951,5323949,3592,5465,102443,4626,318,0,442,497,15567,84,537,1432,890,6923,87283,919,1256,7050,0,0,7,0,0,0
0,2,13,2,12,43,70,57,162,70,131,116,380,1822,2033,29,664,659,51,208,156,124,54,72,143,73,92,40,79,49,123,23,63,380,1209,1823,1737,185,22,1239,0,4,2,230,7643695,72565,35081,129,5313,4659,203,1355,0,103,292,546,673,35,9,243,0,2,0,0,8871,1114377,17048,311,1135,4544,54,239,0,461,1053,1694,1926,262,21,73,2,3,0,4,2136,26015,5318614,3614,5465,102498,4614,314,0,445,498,15620,81,536,1377,877,6879,87384,928,1234,7073,0,0,7,0,0,0
0,2,13,2,12,46,64,53,166,74,135,126,384,1786,2028,25,666,661,63,207,158,121,55,70,153,74,97,32,68,63,103,23,65,384,1202,1792,1733,181,21,1241,0,6,2,209,7644704,72771,34974,130,5306,4654,181,1380,0,102,315,555,670,38,8,256,0,4,0,1,8850,1114025,17053,314,1108,4550,50,244,0,447,1054,1695,1890,264,27,76,2,7,0,5,2114,25938,5320771,3595,5466,102476,4615,317,0,437,505,15622,84,535,1374,869,6930,87504,930,1238,7080,0,0,7,0,0,0
0,2,14,3,11,42,68,58,161,71,136,128,381,1791,2041,33,669,664,58,200,159,125,56,68,170,71,100,37,71,62,105,27,61,379,1187,1832,1696,200,21,1246,0,6,2,223,7643528,72622,34970,126,5301,4670,188,1368,0,96,303,516,679,40,9,252,0,1,0,1,8854,1113643,17163,311,1107,4495,51,242,0,465,1049,1674,1934,260,24,76,2,6,0,5,2113,25952,5321832,3593,5550,102391,4623,321,0,452,509,15626,83,531,1424,880,6898,87420,919,1237,7080,0,0,6,0,0,0
0,2,13,3,11,44,62,54,165,70,137,117,374,1820,2027,34,660,661,50,205,152,118,50,70,154,85,96,33,66,52,117,29,60,361,1215,1831,1723,186,21,1236,0,3,1,231,7640666,72809,35110,134,5289,4655,193,1367,0,97,300,537,720,33,10,256,0,2,0,0,8886,1114170,17213,327,1116,4568,50,243,0,461,1052,1691,1886,235,24,77,2,7,0,4,2093,25939,5319849,3598,5471,102315,4652,317,0,437,493,15569,82,540,1398,887,6871,87417,939,1250,7114,0,0,7,0,0,0
0,2,13,2,11,46,62,52,168,67,136,128,364,1810,2036,35,669,662,53,207,161,114,53,70,149,60,95,39,76,51,106,24,60,388,1223,1802,1713,180,24,1238,0,6,2,213,7640574,72770,35064,129,5296,4688,189,1367,0,101,288,542,671,38,9,253,0,3,0,1,8832,1114382,17167,317,1124,4510,51,242,0,461,1050,1666,1938,241,21,77,2,4,0,4,2074,25989,5321142,3607,5538,102520,4585,323,0,448,503,15576,86,539,1406,892,6860,87413,936,1242,7029,0,0,7,0,0,0
