class_2006,abbrev_2006,class_2010,abbrev_2010,class,abbrev,mapped_med,mapped_min,mapped_max,mapped_ci,estima_med,estima_min,estima_max,estima_ci,total_med,total_min,total_max,total_ci,soil_med,soil_min,soil_max,soil_ci,bmass_med,bmass_min,bmass_max,bmass_ci,ch4_med,ch4_min,ch4_max,ch4_ci
Bare Land,BAR,Estuarine Emergent Wetland,EEM,Bare Land to Estuarine Emergent Wetland,BAR_EEM,8574,8574,8574,0,11404.26658,10286.03918,12581.40365,1118.227404,1.024515749,0.393845667,1.648810197,1.25496453,1.190957796,0.985849465,1.418165035,0.43231557,0.692630254,0.619152735,0.764620907,0.145468172,-0.859334908,-1.435284738,-0.281815385,1.153469353
Bare Land,BAR,Estuarine Forested Wetland,EFW,Bare Land to Estuarine Forested Wetland,BAR_EFW,22,22,22,0,28.67930944,25.23190751,31.43926159,3.447401931,45.93445813,37.30598615,55.96660382,18.66061767,1.159834993,0.946211223,1.403492855,0.457281632,45.60532068,36.87559869,55.42892899,18.5533303,-0.838828572,-1.400827269,-0.285492851,1.115334418
Bare Land,BAR,Estuarine Scrub/Shrub Wetland,ESS,Bare Land to Estuarine Scrub/Shrub Wetland,BAR_ESS,745,745,745,0,835.9149807,640.9487211,1148.026526,194.9662596,3.956158574,1.798270083,8.358777927,6.560507843,0.994422184,0.730141179,1.436811906,0.706670727,3.698052881,1.661156266,7.758946978,6.097790713,-0.71814213,-1.343778541,-0.222142882,1.121635659
Bare Land,BAR,Palustrine Emergent Wetland,PEM,Bare Land to Palustrine Emergent Wetland,BAR_PEM,1403.5,1375,1432,57,2193.877815,1965.475741,2436.486917,228.402074,0.615316364,-1.040054403,1.498250866,2.538305269,1.393237,1.167740788,1.681045816,0.513305028,0.810942273,0.723037185,0.9080202,0.184983015,-1.603633283,-3.299907954,-0.767442635,2.532465319
Bare Land,BAR,Palustrine Forested Wetland,PFW,Bare Land to Palustrine Forested Wetland,BAR_PFW,87,79,96,17,118.3793258,103.8620267,134.2391886,14.51729908,47.01534538,39.00952454,56.74811924,17.7385947,1.211166755,1.025803499,1.435611676,0.409808177,47.20451788,39.2826657,56.84936241,17.56669672,-1.391969435,-2.813135338,-0.659840195,2.153295143
Bare Land,BAR,Palustrine Scrub/Shrub Wetland,PSS,Bare Land to Palustrine Scrub/Shrub Wetland,BAR_PSS,541,527,553.025,26.025,762.3641747,682.9064721,841.9426457,79.4577026,4.367067765,1.54671086,9.314793951,7.768083091,1.259849686,1.051732474,1.527500509,0.475768035,4.577911452,2.275880432,9.291318494,7.015438061,-1.442899145,-2.94025629,-0.675538829,2.264717461
Cultivated,CULT,Estuarine Emergent Wetland,EEM,Cultivated to Estuarine Emergent Wetland,CULT_EEM,2612,2612,2612,0,3474.217904,3133.558937,3832.823226,340.6589665,0.330644788,-0.288339457,0.939974584,1.228314041,1.190957796,0.985849465,1.418165035,0.43231557,0,0,0,0,-0.859334908,-1.435284738,-0.281815385,1.153469353
Cultivated,CULT,Estuarine Forested Wetland,EFW,Cultivated to Estuarine Forested Wetland,CULT_EFW,1,1,1,0,1.303604974,1.146904887,1.429057345,0.156700088,45.26164187,36.70657159,55.18944332,18.48287173,1.159834993,0.946211223,1.403492855,0.457281632,44.93532815,36.27764916,54.69872667,18.42107751,-0.838828572,-1.400827269,-0.285492851,1.115334418
Cultivated,CULT,Estuarine Scrub/Shrub Wetland,ESS,Cultivated to Estuarine Scrub/Shrub Wetland,CULT_ESS,115,115,115,0,129.0338561,98.93839319,177.2121483,30.09546289,3.378607277,1.292672748,7.397580983,6.104908235,0.994422184,0.730141179,1.436811906,0.706670727,3.099217574,1.140698033,7.076245935,5.935547902,-0.71814213,-1.343778541,-0.222142882,1.121635659
Cultivated,CULT,Palustrine Emergent Wetland,PEM,Cultivated to Palustrine Emergent Wetland,CULT_PEM,2033,2025,2041,16,3176.429598,2858.817362,3523.420985,317.6122357,-0.184134284,-1.887263371,0.685713083,2.572976454,1.393237,1.167740788,1.681045816,0.513305028,0,0,0,0,-1.603633283,-3.299907954,-0.767442635,2.532465319
