analysis_description,iteration_number,sum_total_MillionTonnesCO2
Total NGGI,184,-45.11144474485015
Total NGGI,185,-59.32409176594039
Total NGGI,186,-26.35721239865126
Total NGGI,187,-55.08570307903234
Total NGGI,188,-19.19308864327793
Total NGGI,189,-28.98110176643705
Total NGGI,190,-73.54845220642574
Total NGGI,191,-40.28941309487694
Total NGGI,192,-52.476613373549235
Total NGGI,193,-16.487990718774714
Total NGGI,194,-31.79307121620492
Total NGGI,195,-20.871015695541463
Total NGGI,196,-48.15811996642815
Total NGGI,197,-77.85258396741001
Total NGGI,198,-42.82314339523071
Total NGGI,199,-52.76662842716481
Total NGGI,200,-57.443365207520564
Total NGGI,201,-9.997995208669105
Total NGGI,202,1.9775800736788374
Total NGGI,203,-68.72153649623814
Total NGGI,204,-61.35681539236355
Total NGGI,205,-72.64138966573847
Total NGGI,206,-29.387776996329038
Total NGGI,207,-70.98994154763281
Total NGGI,208,-58.37094983184686
Total NGGI,209,-32.961833152273094
Total NGGI,210,-21.141809900147607
Total NGGI,211,-14.40083161174839
Total NGGI,212,-46.920775382403484
Total NGGI,213,-29.779644278445033
Total NGGI,214,-50.31582241302199
Total NGGI,215,-27.52917312153951
Total NGGI,216,-29.453644936620794
Total NGGI,217,-80.38866716545623
Total NGGI,218,-61.13529174748451
Total NGGI,219,-39.63550942212252
Total NGGI,220,-59.26026667122472
Total NGGI,221,-22.853546300772265
Total NGGI,222,-45.50313980467387
Total NGGI,223,-15.645628017927933
Total NGGI,224,-27.458620838239483
Total NGGI,225,-48.05845828016011
Total NGGI,226,-79.25925444851961
Total NGGI,227,-108.09772428434951
Total NGGI,228,-44.88263461441524
Total NGGI,229,-83.5077218396183
Total NGGI,230,-15.016195453244055
Total NGGI,231,-66.14570723797561
Total NGGI,232,-66.44115974149466
Total NGGI,233,-52.314044125359395
Total NGGI,234,-69.2638618621999
Total NGGI,235,-54.77388332448531
Total NGGI,236,-33.898839428085495
Total NGGI,237,-43.853279244151096
Total NGGI,238,-14.486624625540962
Total NGGI,239,-28.245775258104228
Total NGGI,240,-44.710316288016735
Total NGGI,241,-4.171258569841858
Total NGGI,242,-57.33568290617384
Total NGGI,243,-84.47953588205343
Total NGGI,244,-88.43304103934112
Total NGGI,245,-43.97927460656364
Total NGGI,246,-91.86678376068177
Total NGGI,247,-67.02760350684247
Total NGGI,248,-46.80059416654715
Total NGGI,249,-66.66282523666729
Total NGGI,250,-51.952823168692696
Total NGGI,251,-60.18994771431824
Total NGGI,252,-64.41292598134125
Total NGGI,253,-23.668768275074445
Total NGGI,254,-4.019466845740972
Total NGGI,255,-68.15435570030121
Total NGGI,256,-39.583969227832284
Total NGGI,257,-33.061226541369614
Total NGGI,258,-34.47960273628088
Total NGGI,259,0.7326388857940408
Total NGGI,260,-62.318069392259915
Total NGGI,261,-71.29186943884159
Total NGGI,262,-82.81744779752005
Total NGGI,263,-72.65491454876364
Total NGGI,264,-44.72395371628115
Total NGGI,265,-57.82947600960267
Total NGGI,266,-75.20582338196833
Total NGGI,267,-28.772227266467088
Total NGGI,268,-41.915296934339615
Total NGGI,269,-54.29230539724758
Total NGGI,270,-3.889523985237882
Total NGGI,271,-72.29121280027529
Total NGGI,272,-34.47015685602955
Total NGGI,273,-32.32379786726477
Total NGGI,274,-38.9650151957946
Total NGGI,275,-37.060859109145056
Total NGGI,276,-52.26812023744531
Total NGGI,277,-9.694303195563196
Total NGGI,278,-82.96348878022486
Total NGGI,279,-44.11782728537436
Total NGGI,280,-70.5671232104658
Total NGGI,281,-64.17994598165059
Total NGGI,282,-37.91828324508731
Total NGGI,283,-9.121973148489184
Total NGGI,284,-65.70428954597314
Total NGGI,285,-95.49136439403668
Total NGGI,286,-37.026017655149786
Total NGGI,287,-19.210585531121524
Total NGGI,288,-40.75192302704302
Total NGGI,289,-65.19500489358607
Total NGGI,290,-54.46206508866097
Total NGGI,291,-47.80699936241183
Total NGGI,292,-14.293098936971015
Total NGGI,293,-24.055092894991947
Total NGGI,294,-42.77150976448143
Total NGGI,295,-1.163715763209965
Total NGGI,296,-73.08565429685181
Total NGGI,297,-54.42615540366057
Total NGGI,298,-43.94857062009421
Total NGGI,299,-18.126093963399594
Total NGGI,300,-26.67870025107526
Total NGGI,301,-77.90281574187205
Total NGGI,302,-44.33726981129112
Total NGGI,303,-81.30923889199036
Total NGGI,304,-70.96540296635716
Total NGGI,305,-14.634844885613317
Total NGGI,306,-60.128998122021734
Total NGGI,307,-76.66571681608224
Total NGGI,308,-45.249501534574534
Total NGGI,309,-62.5568977050941
Total NGGI,310,-80.8432693968447
Total NGGI,311,-98.08725623096477
Total NGGI,312,-78.4726672544145
Total NGGI,313,-81.33623013128951
Total NGGI,314,-68.90812614871807
Total NGGI,315,-26.87199206710437
Total NGGI,316,-68.93046407237726
Total NGGI,317,-58.7741197116767
Total NGGI,318,-81.57249188181055
Total NGGI,319,-70.60685217861588
Total NGGI,320,-44.00813597928575
Total NGGI,321,-82.33678382246457
Total NGGI,322,-52.170935558697
Total NGGI,323,-57.427672553761305
Total NGGI,324,-18.206207132727208
Total NGGI,325,-39.659843807648365
Total NGGI,326,-11.530363655895101
Total NGGI,327,-84.56601703313767
Total NGGI,328,-69.0896480269971
Total NGGI,329,-65.75748222859757
Total NGGI,330,-42.175723357354904
Total NGGI,331,-71.59846701232674
Total NGGI,332,-65.97614248255194
Total NGGI,333,-68.774367037287
Total NGGI,334,-50.133511035656156
Total NGGI,335,-42.91745810708337
Total NGGI,336,-16.54796075499167
Total NGGI,337,-27.997590826726572
Total NGGI,338,-65.02201886522134
Total NGGI,339,-66.69644504171207
Total NGGI,340,-46.510040893745185
Total NGGI,341,-99.9701059341616
Total NGGI,342,-75.64924081945581
Total NGGI,343,-23.46110605598177
Total NGGI,344,-25.385362165333667
Total NGGI,345,-25.74854061928403
Total NGGI,346,-38.20464201998187
Total NGGI,347,-33.32812670719894
Total NGGI,348,-62.20717520011493
Total NGGI,349,-90.03256715106384
Total NGGI,350,-62.65976932691878
Total NGGI,351,-64.28060710348642
Total NGGI,352,-0.867640681711314
Total NGGI,353,-18.973068745759726
Total NGGI,354,-50.2674868901117
Total NGGI,355,-36.301144046434466
Total NGGI,356,-56.424192134458174
Total NGGI,357,-51.531757964673524
Total NGGI,358,-59.15262086517607
Total NGGI,359,-80.62334813140822
Total NGGI,360,-32.50753181529927
Total NGGI,361,-78.16322828823256
Total NGGI,362,-34.54217385836305
Total NGGI,363,-51.09263627231175
Total NGGI,364,-8.909628739090895
Total NGGI,365,-28.099153485936938
Total NGGI,366,-48.14615657642395
Total NGGI,367,-29.331370352600043
Total NGGI,368,-94.87734637926292
Total NGGI,369,-54.34301921589342
Total NGGI,370,-15.603684736355383
Total NGGI,371,-73.15185322186355
Total NGGI,372,-13.761736994255369
Total NGGI,373,-38.475023394534325
Total NGGI,374,-33.24451317410561
Total NGGI,375,-75.5941659167561
Total NGGI,376,-27.190205937878712
Total NGGI,377,-69.89978294219652
Total NGGI,378,-73.85234465291653
Total NGGI,379,-62.32776022408594
Total NGGI,380,-54.38145099127335
Total NGGI,381,-62.843650444949304
Total NGGI,382,-33.99908520440411
Total NGGI,383,-59.18418728211464
Total NGGI,384,-40.4259597860687
Total NGGI,385,-38.80225646388818
Total NGGI,386,-35.16824426033702
Total NGGI,387,-39.16383837198549
Total NGGI,388,-90.87604842620995
Total NGGI,389,-87.37756547415619
Total NGGI,390,-69.06169621824971
Total NGGI,391,-37.53346630614717
Total NGGI,392,-25.75902077674928
Total NGGI,393,-39.5422195396365
Total NGGI,394,-17.12962184323238
Total NGGI,395,-44.78080540317122
Total NGGI,396,-11.5031228206398
Total NGGI,397,-47.78671980640082
Total NGGI,398,-27.298711836404014
Total NGGI,399,-30.048243968635497
Total NGGI,400,-42.26520817959865
Total NGGI,401,-41.33757300701875
Total NGGI,402,-78.77746795350403
Total NGGI,403,-43.978846010924165
Total NGGI,404,-48.478668400373394
Total NGGI,405,-95.27684515102796
Total NGGI,406,-85.56614868586118
Total NGGI,407,-60.89009103936216
Total NGGI,408,-70.70749610068603
Total NGGI,409,-39.99630638660849
Total NGGI,410,-74.60901598972201
Total NGGI,411,-61.53043089463665
Total NGGI,412,-79.41355472329059
Total NGGI,413,-37.562536181271575
Total NGGI,414,-94.33397006386032
Total NGGI,415,-30.909023665866776
Total NGGI,416,-73.27364277193101
Total NGGI,417,-64.17825346920958
Total NGGI,418,-50.03472705261331
Total NGGI,419,-74.85472470487855
Total NGGI,420,-67.28443704006266
Total NGGI,421,-80.69867409474591
Total NGGI,422,-60.663176252675335
Total NGGI,423,-83.67411497400359
Total NGGI,424,-37.86564860210544
Total NGGI,425,-9.349642221032772
Total NGGI,426,-62.86490341560154
Total NGGI,427,-28.742774967511693
Total NGGI,428,-50.80065218454546
Total NGGI,429,-31.872535685924966
Total NGGI,430,-59.46894060737442
Total NGGI,431,-10.786398340647604
Total NGGI,432,-71.67798772160783
Total NGGI,433,-87.82990570781874
Total NGGI,434,-13.375400502450532
Total NGGI,435,-57.98659728455578
Total NGGI,436,-80.63725846168275
Total NGGI,437,-65.54535145624013
Total NGGI,438,-27.77310947465082
Total NGGI,439,-65.67324541321535
Total NGGI,440,-36.923645843753825
Total NGGI,441,-40.54575880818703
Total NGGI,442,-25.870441770831818
Total NGGI,443,-35.68009316188657
Total NGGI,444,-71.42979452260336
Total NGGI,445,-71.00198526427909
Total NGGI,446,-86.1872567740149
Total NGGI,447,-53.27350627294337
Total NGGI,448,-29.56074497275876
Total NGGI,449,-102.58550017430615
Total NGGI,450,-13.023624660621026
Total NGGI,451,-19.3869982947522
Total NGGI,452,-82.54253858991791
Total NGGI,453,-16.09516154546952
Total NGGI,454,-60.51492962727778
Total NGGI,455,-25.569041054763474
Total NGGI,456,-36.985859577077285
Total NGGI,457,-29.773392100726365
Total NGGI,458,-30.974830077494282
Total NGGI,459,-50.297161780449215
Total NGGI,460,-93.11368911709685
Total NGGI,461,-29.146770162187387
Total NGGI,462,-16.048903274947367
Total NGGI,463,-28.626538791155056
Total NGGI,464,-35.69450805511234
Total NGGI,465,-45.098471293844185
Total NGGI,466,-58.911960028081765
Total NGGI,467,-48.54316101314293
Total NGGI,468,-68.70694393096393
Total NGGI,469,-79.04644759476686
Total NGGI,470,-53.30172280678096
Total NGGI,471,-58.44814485129748
Total NGGI,472,-32.4043264440878
Total NGGI,473,-29.87977014853155
Total NGGI,474,-35.40836788653119
Total NGGI,475,-51.21543632925223
Total NGGI,476,-64.68827667908307
Total NGGI,477,-44.52565214736785
Total NGGI,478,-85.4711399464567
Total NGGI,479,-28.369048319745442
Total NGGI,480,-47.70528758754955
Total NGGI,481,-37.93220603202451
Total NGGI,482,-26.137259818838046
Total NGGI,483,-30.06703102120692
Total NGGI,484,-70.2200820432004
Total NGGI,485,-50.89211926790623
Total NGGI,486,-59.265375000766284
Total NGGI,487,-37.23686792331979
Total NGGI,488,-44.545969958045056
Total NGGI,489,-97.66915795787212
Total NGGI,490,-47.701947401810095
Total NGGI,491,-32.183849290176134
Total NGGI,492,-76.26706560861211
Total NGGI,493,-74.06649317940007
Total NGGI,494,-30.983809774523724
Total NGGI,495,-79.96177313692077
Total NGGI,496,-68.665131349823
Total NGGI,497,-79.71471271756003
Total NGGI,498,-41.80752779372381
Total NGGI,499,-10.359194341226516
Total NGGI,500,-69.21040570520897
Total NGGI,501,-44.988517154526164
Total NGGI,502,-19.95892608278821
Total NGGI,503,-41.82008525080081
Total NGGI,504,-59.814937499897326
Total NGGI,505,-12.93829753783643
Total NGGI,506,-45.410468802460066
Total NGGI,507,-90.96973929935986
Total NGGI,508,-14.345952622628298
Total NGGI,509,-64.35062387142094
Total NGGI,510,-86.50735232207737
Total NGGI,511,-43.98809603318366
Total NGGI,512,-45.670252665881115
Total NGGI,513,-52.26339656699336
Total NGGI,514,-60.130609598811105
Total NGGI,515,-31.1655877339703
Total NGGI,516,-96.03186436341277
Total NGGI,517,-85.80203751392885
Total NGGI,518,-43.58082220688043
Total NGGI,519,-67.10657552584217
Total NGGI,520,-27.965351911797303
Total NGGI,521,-59.12989077592241
Total NGGI,522,-79.80273284678923
Total NGGI,523,-59.940895375649916
Total NGGI,524,-28.540700122951044
Total NGGI,525,-40.5920678931176
Total NGGI,526,-52.2977598145721
Total NGGI,527,-52.75310302654219
Total NGGI,528,-35.68516975121313
Total NGGI,529,-60.55888970290379
Total NGGI,530,-55.61283651656564
Total NGGI,531,-43.565960769044445
Total NGGI,532,-28.879058255680047
Total NGGI,533,-36.94760285520202
Total NGGI,534,-64.23835558042397
Total NGGI,535,-55.18522330462266
Total NGGI,536,-55.031444139924595
Total NGGI,537,-34.022958433509174
Total NGGI,538,-26.60269759722232
Total NGGI,539,-36.40066959623605
Total NGGI,540,-35.060627884191675
Total NGGI,541,-50.5498541706976
Total NGGI,542,-117.29317493135737
Total NGGI,543,-35.550603407383065
Total NGGI,544,-41.55839480235184
Total NGGI,545,-68.38751261490025
Total NGGI,546,-49.88147527131862
Total NGGI,547,-59.791513532959364
Total NGGI,548,-99.16895252873576
Total NGGI,549,-49.09875479313636
Total NGGI,550,-82.97550271527714
Total NGGI,551,-103.85832817401524
Total NGGI,552,-61.502880565921714
Total NGGI,553,-51.22546852612596
Total NGGI,554,-29.473513853409422
Total NGGI,555,-44.59568060349872
Total NGGI,556,-29.203863588080416
Total NGGI,557,-27.300491552852534
Total NGGI,558,-27.13902497568996
Total NGGI,559,-49.59513497005399
Total NGGI,560,-68.0813602256359
Total NGGI,561,-29.747570734834202
Total NGGI,562,-16.425591747269348
Total NGGI,563,-62.70647061294172
Total NGGI,564,-42.612785850035664
Total NGGI,565,-46.76086135221168
Total NGGI,566,-77.1049563814196
Total NGGI,567,-31.484455622919842
Total NGGI,568,-25.08958470231356
Total NGGI,569,-97.3178354247148
Total NGGI,570,-71.40481238633481
Total NGGI,571,-36.57496563534656
Total NGGI,572,-95.72011732632924
Total NGGI,573,-54.90228051787215
Total NGGI,574,-36.63504411121558
Total NGGI,575,-38.1833383426909
Total NGGI,576,-72.1233588156919
Total NGGI,577,-78.6176954777647
Total NGGI,578,-35.337044474698146
Total NGGI,579,-49.32595867744341
Total NGGI,580,-64.53299935670901
Total NGGI,581,1.3414167186739334
Total NGGI,582,-21.528720817217486
Total NGGI,583,-41.305833788579264
Total NGGI,584,-48.72588658366782
Total NGGI,585,1.2751733585431155
Total NGGI,586,-48.56975262495675
Total NGGI,587,-49.35697758133626
Total NGGI,588,-44.56397063712917
Total NGGI,589,-52.48120073550019
Total NGGI,590,-62.616638751432816
Total NGGI,591,-36.45858866117646
Total NGGI,592,-46.893830890592035
Total NGGI,593,-44.79480309950209
Total NGGI,594,1.300823033593909
Total NGGI,595,-20.573199088948606
Total NGGI,596,-33.77347810514686
Total NGGI,597,-66.4100827113725
Total NGGI,598,-70.01771415871154
Total NGGI,599,-20.425126732011442
Total NGGI,600,-46.88427822220158
Total NGGI,601,-44.462846325622436
Total NGGI,602,-32.6688808744477
Total NGGI,603,-36.519561907700606
Total NGGI,604,-95.55742678954613
Total NGGI,605,-64.40273413146959
Total NGGI,606,-18.387063080508902
Total NGGI,607,-51.70249365566405
Total NGGI,608,-60.30351306870322
Total NGGI,609,-86.44394902390547
Total NGGI,610,-46.95380067219635
Total NGGI,611,-27.02769193445826
Total NGGI,612,-16.681065567241557
Total NGGI,613,-22.732985301845538
Total NGGI,614,-45.493728589796206
Total NGGI,615,-63.064617729054476
Total NGGI,616,-93.26600686463729
Total NGGI,617,-65.6719704633738
Total NGGI,618,-58.44835181084373
Total NGGI,619,-40.1945302875473
Total NGGI,620,-43.098318326545936
Total NGGI,621,-47.014904134725036
Total NGGI,622,-49.612392986692065
Total NGGI,623,-64.30466624066798
Total NGGI,624,-21.353365720826083
Total NGGI,625,-47.40849353315639
Total NGGI,626,-27.2158837913131
Total NGGI,627,-15.864058802236954
Total NGGI,628,-39.13815564565501
Total NGGI,629,-65.26488987651263
Total NGGI,630,-38.777859862908876
Total NGGI,631,-64.83021560594246
Total NGGI,632,-43.14375781497828
Total NGGI,633,-59.92743383019759
Total NGGI,634,-52.70204792765712
Total NGGI,635,-64.01684477556383
Total NGGI,636,-34.71308930914897
Total NGGI,637,-32.53951638521922
Total NGGI,638,-48.63909285106961
Total NGGI,639,-68.57864278892359
Total NGGI,640,-11.464492767534882
Total NGGI,641,-63.36244302739481
Total NGGI,642,-42.33686389708377
Total NGGI,643,-100.47850870565213
Total NGGI,644,-17.530790678334483
Total NGGI,645,-39.539062065008444
Total NGGI,646,-32.41565025833391
Total NGGI,647,-23.879534632349678
Total NGGI,648,-65.29981539135372
Total NGGI,649,-48.97110944192555
Total NGGI,650,-39.063139702640775
Total NGGI,651,-45.06181272938677
Total NGGI,652,-78.46208361515882
Total NGGI,653,-31.62252133166411
Total NGGI,654,-54.20561043472049
Total NGGI,655,-96.16550608599856
Total NGGI,656,-76.32304162398185
Total NGGI,657,-79.34602748994308
Total NGGI,658,-42.39806478914158
Total NGGI,659,-32.834194416477025
Total NGGI,660,-61.862578686128366
Total NGGI,661,-25.067803272007882
Total NGGI,662,-19.302214905232947
Total NGGI,663,-42.318783668659414
Total NGGI,664,-50.794592381332734
Total NGGI,665,-51.38558183334789
Total NGGI,666,-50.53396637740855
Total NGGI,667,-80.71437354034809
Total NGGI,668,-22.13572997313823
Total NGGI,669,-52.839901974147274
Total NGGI,670,-40.88045929048706
Total NGGI,671,-84.50628214387648
Total NGGI,672,-64.36657627279412
Total NGGI,673,-34.41323535947519
Total NGGI,674,-85.94462145251786
Total NGGI,675,-29.441931800246284
Total NGGI,676,-37.599859499755034
Total NGGI,677,-68.99694081470255
Total NGGI,678,-78.48888678047526
Total NGGI,679,-41.723892596237036
Total NGGI,680,-70.4453464273497
Total NGGI,681,-103.40491887085575
Total NGGI,682,-97.57319348453174
Total NGGI,683,-61.75208720431395
Total NGGI,684,-41.99882551974091
Total NGGI,685,-39.78498078114471
Total NGGI,686,-42.59383070922136
Total NGGI,687,-80.13477912085999
Total NGGI,688,-55.09066904041365
Total NGGI,689,-93.3251650359265
Total NGGI,690,-51.420591846166545
Total NGGI,691,-39.108478897896255
Total NGGI,692,-52.08820444486636
Total NGGI,693,-68.65054953900264
Total NGGI,694,-63.871187434433736
Total NGGI,695,-64.78074637217254
Total NGGI,696,-61.543790711910574
Total NGGI,697,-98.68519593059986
Total NGGI,698,-64.41501546742874
Total NGGI,699,-48.77257235547301
Total NGGI,700,-44.358648532011834
Total NGGI,701,-41.144475551722415
Total NGGI,702,-83.93069799204103
Total NGGI,703,-74.5417783840629
Total NGGI,704,-47.18575285588534
Total NGGI,705,-53.28091927939744
Total NGGI,706,-82.88212035079486
Total NGGI,707,-50.852804080070584
Total NGGI,708,-23.73227377488888
Total NGGI,709,-29.123883747741772
Total NGGI,710,-78.43081346312532
Total NGGI,711,-45.2939000687505
Total NGGI,712,-26.675657986920303
Total NGGI,713,-18.448947547528626
Total NGGI,714,-8.43209239719382
Total NGGI,715,-33.17385993404927
Total NGGI,716,-25.02773111999484
Total NGGI,717,-67.73780707495426
Total NGGI,718,-66.30751470351726
Total NGGI,719,-53.02029683250049
Total NGGI,720,-39.78959003538313
Total NGGI,721,-42.15441995454482
Total NGGI,722,-53.225850517782945
Total NGGI,723,-51.89156847354828
Total NGGI,724,-6.5237166719581285
Total NGGI,725,-60.51430530986999
Total NGGI,726,-67.05878005891933
Total NGGI,727,-113.94848783374727
Total NGGI,728,-43.515836874930734
Total NGGI,729,-86.0424658992676
Total NGGI,730,-81.16743741014628
Total NGGI,731,-60.270637366988176
Total NGGI,732,-61.82762657587099
Total NGGI,733,-44.0228762532427
Total NGGI,734,-20.37808806683181
Total NGGI,735,-56.57333360014556
Total NGGI,736,-27.38578077849751
Total NGGI,737,-56.4090977853521
Total NGGI,738,-26.834786588540986
Total NGGI,739,-55.99593651866903
Total NGGI,740,-77.57695588986839
Total NGGI,741,-35.43318306014134
Total NGGI,742,-61.31065716464767
Total NGGI,743,-41.45575934107056
Total NGGI,744,-25.885462213884846
Total NGGI,745,-78.74787197300618
Total NGGI,746,-80.66111092643246
Total NGGI,747,-69.96943348969222
Total NGGI,748,-36.633705368811334
Total NGGI,749,-86.29508840744968
Total NGGI,750,-86.44189080649893
Total NGGI,751,-60.779949596872754
Total NGGI,752,-52.701600193422905
Total NGGI,753,-97.13729437883512
Total NGGI,754,-22.075754306944653
Total NGGI,755,-56.54509443775811
Total NGGI,756,-50.05230394682428
Total NGGI,757,-56.59091296876309
Total NGGI,758,-20.910203026580618
Total NGGI,759,-77.91356493776131
Total NGGI,760,-74.4823786276351
Total NGGI,761,-43.61199737819215
Total NGGI,762,1.6956291577233842
Total NGGI,763,-53.507141131463904
Total NGGI,764,-41.922378950553174
Total NGGI,765,-78.53579251572957
Total NGGI,766,5.251128228805993
Total NGGI,767,-71.0664091906892
Total NGGI,768,-33.48242586429076
Total NGGI,769,-35.51968011600368
Total NGGI,770,-76.74282369864967
Total NGGI,771,-45.24479885554522
Total NGGI,772,-72.0079965937001
Total NGGI,773,-96.78397274991802
Total NGGI,774,-49.222720178438145
