analysis_description,iteration_number,sum_total_MillionTonnesCO2
Total NGGI,1,-17.397227387099896
Total NGGI,2,-10.985503997234591
Total NGGI,3,-37.46965310565701
Total NGGI,4,-51.929022967398296
Total NGGI,5,-26.699707546634603
Total NGGI,6,-9.121480816559531
Total NGGI,7,-74.76902409673993
Total NGGI,8,-33.73891756264012
Total NGGI,9,-33.95764359108859
Total NGGI,10,-74.60611069618969
Total NGGI,11,-32.1338116876624
Total NGGI,12,-72.93687371267465
Total NGGI,13,-17.689830634057387
Total NGGI,14,-71.25506728207742
Total NGGI,15,-42.97154061516413
Total NGGI,16,-30.275166388775855
Total NGGI,17,-43.09030161785374
Total NGGI,18,-59.06288281949959
Total NGGI,19,-46.68928957223457
Total NGGI,20,-80.42842858513912
Total NGGI,21,-44.37453918266935
Total NGGI,22,-48.499055967704585
Total NGGI,23,-23.418324369599375
Total NGGI,24,1.1739947520751355
Total NGGI,25,-30.40690791124772
Total NGGI,26,-84.12119624437453
Total NGGI,27,-19.30272614710946
Total NGGI,28,-76.44148591203492
Total NGGI,29,-56.334261849493195
Total NGGI,30,-48.94878435028901
Total NGGI,31,-57.14203609351332
Total NGGI,32,-52.19010407649186
Total NGGI,33,-15.661121215155488
Total NGGI,34,-64.56125966331179
Total NGGI,35,-34.159271336286935
Total NGGI,36,-35.720101109777204
Total NGGI,37,-65.03122274690956
Total NGGI,38,-41.20403831265826
Total NGGI,39,-80.79751907840237
Total NGGI,40,-13.253146342155636
Total NGGI,41,-79.56351045556742
Total NGGI,42,-47.734587065488164
Total NGGI,43,-51.408093031389264
Total NGGI,44,-57.019923343433774
Total NGGI,45,-68.88192896412218
Total NGGI,46,-9.428805203450327
Total NGGI,47,-47.03649437899648
Total NGGI,48,-63.80730575097483
Total NGGI,49,-41.13465928933546
Total NGGI,50,-48.69657479798997
Total NGGI,51,-41.96965619470692
Total NGGI,52,-63.87932466728017
Total NGGI,53,-75.77938623443505
Total NGGI,54,-34.98211352608248
Total NGGI,55,-99.7267112566935
Total NGGI,56,-58.07256146823104
Total NGGI,57,-98.95302249987303
Total NGGI,58,-46.461850511737396
Total NGGI,59,-41.770506043965675
Total NGGI,60,-78.30450868439952
Total NGGI,61,-49.781760790246835
Total NGGI,62,-91.60761970448996
Total NGGI,63,-71.97165466732383
Total NGGI,64,-27.673915118622098
Total NGGI,65,-61.70571817277776
Total NGGI,66,-69.32416657579489
Total NGGI,67,-36.807373703079655
Total NGGI,68,-52.32694481108669
Total NGGI,69,-72.45723455117812
Total NGGI,70,-76.48359770980444
Total NGGI,71,-62.37180811858579
Total NGGI,72,-59.776124598583856
Total NGGI,73,-37.15724892132054
Total NGGI,74,-60.106672051547214
Total NGGI,75,-4.006147085184266
Total NGGI,76,-40.08737660003493
Total NGGI,77,-32.40542206579806
Total NGGI,78,-52.33132963125825
Total NGGI,79,-30.403483404617052
Total NGGI,80,-38.06885185834279
Total NGGI,81,-78.21739100282625
Total NGGI,82,-75.15728214187237
Total NGGI,83,-105.69742329244072
Total NGGI,84,-74.57105830216508
Total NGGI,85,-56.47414004526021
Total NGGI,86,-46.17010766565131
Total NGGI,87,-95.9490462293941
Total NGGI,88,-59.10785216784246
Total NGGI,89,-44.04230963682383
Total NGGI,90,-74.31566246564628
Total NGGI,91,-80.02633519650281
Total NGGI,92,-64.37448854515088
Total NGGI,93,-60.8289566835533
Total NGGI,94,-53.377420132831574
Total NGGI,95,-54.29069411020936
Total NGGI,96,-60.24425753894297
Total NGGI,97,-36.85372316104683
Total NGGI,98,-75.3040007108564
Total NGGI,99,-74.53521279986859
Total NGGI,100,-37.72962455181122
Total NGGI,101,-73.32958302850783
Total NGGI,102,-72.3793996256467
Total NGGI,103,-46.70762266389275
Total NGGI,104,-41.17769793395773
Total NGGI,105,-22.56071928440461
Total NGGI,106,-45.950239273129036
Total NGGI,107,-76.70618199728527
Total NGGI,108,-81.02088832381297
Total NGGI,109,-74.2455687961743
Total NGGI,110,-52.08376348893985
Total NGGI,111,-12.462147696245033
Total NGGI,112,-93.60977998492855
Total NGGI,113,-79.2211020056321
Total NGGI,114,-32.29264372984474
Total NGGI,115,-44.75360997589994
Total NGGI,116,-65.68149762094463
Total NGGI,117,-100.99292363385234
Total NGGI,118,-58.810987832550985
Total NGGI,119,-34.78204234123702
Total NGGI,120,-46.01899065331771
Total NGGI,121,-31.175125936810307
Total NGGI,122,-72.35423035410784
Total NGGI,123,-82.76500315033577
Total NGGI,124,-36.97640756292707
Total NGGI,125,-77.46103996556529
Total NGGI,126,-82.80294726456562
Total NGGI,127,-81.31089282044745
Total NGGI,128,-55.64238994487828
Total NGGI,129,-26.559507298926064
Total NGGI,130,-38.47857374736925
Total NGGI,131,-30.226205863176066
Total NGGI,132,-70.52185691382229
Total NGGI,133,-12.686951707458151
Total NGGI,134,-65.8642361097353
Total NGGI,135,-48.11749912278699
Total NGGI,136,-65.21037299769334
Total NGGI,137,-89.31364033837264
Total NGGI,138,-39.443649082472355
Total NGGI,139,-66.54534891050429
Total NGGI,140,-132.4753639758796
Total NGGI,141,-47.38231034290917
Total NGGI,142,-10.40372560732291
Total NGGI,143,-53.06516700397883
Total NGGI,144,-67.91984928967369
Total NGGI,145,-32.3036977809076
Total NGGI,146,-88.37968452790908
Total NGGI,147,-45.03577274950015
Total NGGI,148,-57.08871774617954
Total NGGI,149,-53.765458093899724
Total NGGI,150,-19.390565930259186
Total NGGI,151,-41.29824216724588
Total NGGI,152,-69.50727046246664
Total NGGI,153,-108.24616434772025
Total NGGI,154,-59.87329031839271
Total NGGI,155,-63.9720207100923
Total NGGI,156,-54.15093690683771
Total NGGI,157,-25.595851948092328
Total NGGI,158,-19.105710359444622
Total NGGI,159,-53.21963121720669
Total NGGI,160,-61.862885351431615
Total NGGI,161,-82.07721789075859
Total NGGI,162,-95.51254090041245
Total NGGI,163,-70.59155698709772
Total NGGI,164,-102.10797942908553
Total NGGI,165,-31.383568327430513
Total NGGI,166,-41.03270020955536
Total NGGI,167,-54.17542571048272
Total NGGI,168,-96.44930141243178
Total NGGI,169,-43.23463779906087
Total NGGI,170,-56.22783729403427
Total NGGI,171,-75.19791854831868
Total NGGI,172,-73.98514199449504
Total NGGI,173,-38.5659975510114
Total NGGI,174,-63.14047960288212
Total NGGI,175,-47.18973875705647
Total NGGI,176,-34.22805358218454
Total NGGI,177,-28.71586402368778
Total NGGI,178,-77.63565848711967
Total NGGI,179,-101.6275260742669
Total NGGI,180,-29.320347179503464
Total NGGI,181,-17.57836876490201
Total NGGI,182,-56.09963872369708
Total NGGI,183,-28.30166664428139
