analysis_description,median_sum_total_MillionTonnesCO2,lower_sum_total_MillionTonnesCO2,upper_sum_total_MillionTonnesCO2
Total NGGI,-50.54191027405307,-98.69189159483169,-8.764233123087674
Estuarine Losses,-39.86486904081054,-65.46810406943635,-20.786141124386525
Estuarine Stable and Gains,11.242145276330636,-11.280263073328813,34.016524102928955
Palustrine Losses,-11.740159153602889,-18.847112668306544,-6.679438958211472
Palustrine Stable and Gains,-8.054103289528298,-37.871589870037205,7.793195408319633
