PublicationID,First_Author,Year,Publication_Type,Source,Latitude,Longitude,Ecosystem,CCAP_Class,Climate_Zone,Salinity_Regime,Elevation,Tide_Range,MHW,Stature,Soil_Order,Management,Disturbance,Activity,Activity_Time,Current_Land_Use,Previous_Land_Use,CH4,N2O,NEE,DOC,CO2,Salinity_in_Soil,Salinity_in_Water,Species1,Species2,Species3,BD,LOI,C,AGB,AGBunits,delAGB,delAGBunits,BGB,BGBunits,delBGB,delBGBunits,Unit_Source,Deadwood,Litter,SOC1,SOC1units,SOC1depth,Roots,CalculationMethod,delSOC1Pb,delSOC1units,delSOC2Cs,delSOC2units,delSOC3Marker,delSOC3units,delSOC4SET,delSOC4units,delSOC5RadioC,delSOC5units
1,Baldwin,2013,1,1,38.32,-75.46,tidal_fresh_marsh,Estuarine Emergent Wetland,temperate_warm,oligo,NA,0.7,NA,herb,NA,N,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,POAR6,ACCA4,TYPHA,NA,NA,NA,485,g_m2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Baldwin,2013,1,1,38.32,-75.46,tidal_fresh_marsh,Estuarine Emergent Wetland,temperate_warm,oligo,NA,0.7,NA,herb,NA,N,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,POAR6,ZIAQ,NA,NA,NA,NA,90,g_m2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Bianchi,2013,1,1,27.93,-97.02,marsh,Palustrine Emergent Wetlan,subtropical,>18,NA,NA,NA,herb,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,gC_m2,NA,NA,NA,NA,NA,NA
2,Bianchi,2013,1,1,27.93,-97.02,marsh,Palustrine Emergent Wetlan,subtropical,>18,NA,NA,NA,herb,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,gC_m2,NA,NA,NA,NA,NA,NA,NA,NA
2,Bianchi,2013,1,1,27.93,-97.02,mangrove,Palustrine Forested Wetlan,subtropical,>18,NA,NA,NA,tree,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270,gC_m2,NA,NA,NA,NA,NA,NA
2,Bianchi,2013,1,1,27.93,-97.02,mangrove,Palustrine Forested Wetlan,subtropical,>18,NA,NA,NA,tree,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,253,gC_m2,NA,NA,NA,NA,NA,NA,NA,NA
3,Bouillon,2008,2,1,25.42,-80.05,mangrove,NA,subtropical,NA,NA,NA,NA,tree,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,695,gC_m2,13.9,Mg_ha,NA,NA,NA,NA,1,NA,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Bouillon,2008,2,1,26.1,-81.8,mangrove,NA,subtropical,NA,NA,NA,NA,tree,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365.5,gC_m2,7.31,Mg_ha,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Bouillon,2008,2,1,25.8,-81.4,mangrove,NA,subtropical,NA,NA,NA,NA,tree,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,666.5,gC_m2,13.33,Mg_ha,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Bouillon,2008,2,1,25.2,-80.6,mangrove,NA,subtropical,NA,NA,NA,NA,tree,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,628.5,gC_m2,12.57,Mg_ha,NA,NA,NA,NA,1,NA,8.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Bouillon,2008,2,1,25.2,-80.6,mangrove,NA,subtropical,NA,NA,NA,NA,tree,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200.5,gC_m2,4.01,Mg_ha,NA,NA,NA,NA,1,NA,8.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Bouillon,2008,2,1,25,-80.7,mangrove,NA,subtropical,NA,NA,NA,NA,tree,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,595,gC_m2,11.9,Mg_ha,NA,NA,NA,NA,1,NA,10.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Callaway,2012,1,1,38,-122,marsh,NA,mediterranean,oligo,NA,NA,NA,herb,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03529469,OCg_cc,20,NA,C,88.9,gC_m2,158.4,gC_m2,NA,NA,NA,NA,NA,NA
4,Callaway,2012,1,1,38,-122,marsh,NA,mediterranean,oligo,NA,NA,NA,herb,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.038535211,OCg_cc,20,NA,C,116.9,gC_m2,157.9,gC_m2,NA,NA,NA,NA,NA,NA
4,Callaway,2012,1,1,38,-122,marsh,NA,mediterranean,oligo,NA,NA,NA,herb,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.042990856,OCg_cc,20,NA,C,116.5,gC_m2,151.8,gC_m2,NA,NA,NA,NA,NA,NA
4,Callaway,2012,1,1,38,-122,marsh,NA,mediterranean,meso,NA,NA,NA,herb,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.028772816,OCg_cc,20,NA,C,62.7,gC_m2,96.7,gC_m2,NA,NA,NA,NA,NA,NA
4,Callaway,2012,1,1,38,-122,marsh,NA,mediterranean,meso,NA,NA,NA,herb,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047770089,OCg_cc,20,NA,C,91.3,gC_m2,117.9,gC_m2,NA,NA,NA,NA,NA,NA
4,Callaway,2012,1,1,38,-122,marsh,NA,mediterranean,meso,NA,NA,NA,herb,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036260352,OCg_cc,20,NA,C,87.6,gC_m2,100.3,gC_m2,NA,NA,NA,NA,NA,NA
4,Callaway,2012,1,1,38,-122,marsh,NA,mediterranean,poly,NA,NA,NA,herb,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0316157,OCg_cc,20,NA,C,111.2,gC_m2,187.5,gC_m2,NA,NA,NA,NA,NA,NA
4,Callaway,2012,1,1,38,-122,marsh,NA,mediterranean,poly,NA,NA,NA,herb,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.032490772,OCg_cc,20,NA,C,40.4,gC_m2,52.3,gC_m2,NA,NA,NA,NA,NA,NA
4,Callaway,2012,1,1,38,-122,marsh,NA,mediterranean,poly,NA,NA,NA,herb,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025747627,OCg_cc,20,NA,C,52.7,gC_m2,89.6,gC_m2,NA,NA,NA,NA,NA,NA
4,Callaway,2012,1,1,38,-122,marsh,NA,mediterranean,poly,NA,NA,NA,herb,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020027208,OCg_cc,20,NA,C,57.1,gC_m2,87.7,gC_m2,NA,NA,NA,NA,NA,NA
4,Callaway,2012,1,1,38,-122,marsh,NA,mediterranean,poly,NA,NA,NA,herb,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02406267,OCg_cc,20,NA,C,57.5,gC_m2,66.2,gC_m2,NA,NA,NA,NA,NA,NA
4,Callaway,2012,1,1,38,-122,marsh,NA,mediterranean,poly,NA,NA,NA,herb,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023536607,OCg_cc,20,NA,C,48,gC_m2,58.7,gC_m2,NA,NA,NA,NA,NA,NA
4,Callaway,2012,1,1,38,-122,marsh,NA,mediterranean,poly,NA,NA,NA,herb,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021980393,OCg_cc,20,NA,C,95.8,gC_m2,141.9,gC_m2,NA,NA,NA,NA,NA,NA
4,Callaway,2012,1,1,38,-122,marsh,NA,mediterranean,poly,NA,NA,NA,herb,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021463851,OCg_cc,20,NA,C,72,gC_m2,79.8,gC_m2,NA,NA,NA,NA,NA,NA
4,Callaway,2012,1,1,38,-122,marsh,NA,mediterranean,poly,NA,NA,NA,herb,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.028580603,OCg_cc,20,NA,C,90.8,gC_m2,87,gC_m2,NA,NA,NA,NA,NA,NA
4,Callaway,2012,1,1,38,-122,marsh,NA,mediterranean,poly,NA,NA,NA,herb,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017289409,OCg_cc,20,NA,C,NA,NA,146.7,gC_m2,NA,NA,NA,NA,NA,NA
4,Callaway,2012,1,1,38,-122,marsh,NA,mediterranean,poly,NA,NA,NA,herb,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021010392,OCg_cc,20,NA,C,NA,NA,117.9,gC_m2,NA,NA,NA,NA,NA,NA
4,Callaway,2012,1,1,38,-122,marsh,NA,mediterranean,poly,NA,NA,NA,herb,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018840166,OCg_cc,20,NA,C,NA,NA,102.5,gC_m2,NA,NA,NA,NA,NA,NA
4,Callaway,2012,1,1,38,-122,marsh,NA,mediterranean,poly,NA,NA,NA,herb,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017442812,OCg_cc,20,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
