analysis_description,salinity,stability,scaled_up_using,median_sum_total_MillionTonnesCO2PerYear,lower_ci_sum_total_MillionTonnesCO2PerYear,upper_ci_sum_total_MillionTonnesCO2PerYear,lower_99_sum_total_MillionTonnesCO2PerYear,upper_99_sum_total_MillionTonnesCO2PerYear,min_sum_total_MillionTonnesCO2PerYear,max_sum_total_MillionTonnesCO2PerYear
Estuarine Losses,Estuarine,Losses,logmean,-8.120116739337144,-13.289899196338522,-4.058136059009093,-13.931319081819213,-3.770824780399753,-15.694692198122144,-3.2920513281540016
Estuarine Losses,Estuarine,Losses,mean,-8.212858658356994,-13.266125833815165,-4.199994575677306,-13.91467974477223,-3.882353512559159,-15.528905905761182,-3.2478502932339266
Estuarine Stable and Gains,Estuarine,Stable and Gains,logmean,2.233288731308396,-2.317250302368731,6.6927621579241965,-3.1364929790787954,7.590148477143577,-5.837178306847884,10.18591260033595
Estuarine Stable and Gains,Estuarine,Stable and Gains,mean,5.250945759347432,0.5208464494731088,10.144681029100582,-0.3004956233439637,11.196972144250436,-3.9041388139265245,14.952156483614223
Palustrine Losses,Palustrine,Losses,logmean,-2.3953240755709047,-3.778880052202449,-1.3048184855074394,-3.9619033307462184,-1.2260755108358914,-4.514205268474575,-1.0582560007586872
Palustrine Losses,Palustrine,Losses,mean,-2.6880666919062963,-4.106093700322161,-1.558955527120894,-4.341734148829464,-1.4704542405596743,-6.708716519419869,-1.2184937517879826
Palustrine Stable and Gains,Palustrine,Stable and Gains,logmean,-1.5382561498846796,-9.614530389637833,2.0579937923275677,-12.327723047836832,2.475130976826781,-29.217293364092694,4.202922240390207
Palustrine Stable and Gains,Palustrine,Stable and Gains,mean,-15.97200156240685,-80.4054271656413,-1.6781600566728208,-120.89069801218979,-0.1335578067073055,-468.19150336781166,16.270037267455166
