analysis_description,scaled_up_using,median_sum_total_MillionTonnesCO2PerYear,lower_sum_total_MillionTonnesCO2PerYear,upper_sum_total_MillionTonnesCO2PerYear,salinity,stability,median_sum_total_MillionTonnesCO2,lower_sum_total_MillionTonnesCO2,upper_sum_total_MillionTonnesCO2
Total NGGI,logmean,-10.186835183027338,-21.278060749308874,-1.2783311173093508,NA,NA,NA,NA,NA
Total NGGI,mean,-22.405992898526343,-86.32573855045938,-4.78028596728644,NA,NA,NA,NA,NA
Estuarine Losses,logmean,NA,NA,NA,Estuarine,Losses,-7.993675821771795,-13.405670079342555,-4.0620534861128625
Estuarine Losses,mean,NA,NA,NA,Estuarine,Losses,-8.036043294271387,-13.131583321732082,-4.302928072878361
Estuarine Stable and Gains,logmean,NA,NA,NA,Estuarine,Stable and Gains,2.183926055048219,-2.4785500090981043,6.822005269250896
Estuarine Stable and Gains,mean,NA,NA,NA,Estuarine,Stable and Gains,5.438166079201679,0.5701273371694527,10.175503263851347
Palustrine Losses,logmean,NA,NA,NA,Palustrine,Losses,-2.359168273830385,-3.8020302518972158,-1.3020835263197996
Palustrine Losses,mean,NA,NA,NA,Palustrine,Losses,-2.6370912038562624,-4.023371208817972,-1.597282285253225
Palustrine Stable and Gains,logmean,NA,NA,NA,Palustrine,Stable and Gains,-1.5317554813409355,-9.77574942647438,1.9049034178349091
Palustrine Stable and Gains,mean,NA,NA,NA,Palustrine,Stable and Gains,-16.066328382898877,-83.64628160553052,-2.078462620269379
