study_id,site_id,plot_id,mean_agb_g_m2,vegetation_class,mean_tree_height,g_co2_m2,study
byrd_2018,Sage,1-2,274.32,emergent,NA,482.80758912,Byrd 2018
byrd_2018,Sage,1-1,262.32,emergent,NA,461.68739711999996,Byrd 2018
byrd_2018,Sage,1-3,203.68,emergent,NA,358.48005888,Byrd 2018
byrd_2018,Sage,2-3,206.8,emergent,NA,363.9713088,Byrd 2018
byrd_2018,Sage,2-1,232.52,emergent,NA,409.23892032000003,Byrd 2018
byrd_2018,Sage,2-2,210.36,emergent,NA,370.23696576000003,Byrd 2018
byrd_2018,Sage,3-3,144.64,emergent,NA,254.56871423999996,Byrd 2018
byrd_2018,Sage,3-1,357.64,emergent,NA,629.45212224,Byrd 2018
byrd_2018,Sage,3-2,214.2,emergent,NA,376.99542719999994,Byrd 2018
byrd_2018,Sage,4-3,236.48,emergent,NA,416.20858367999995,Byrd 2018
byrd_2018,Sage,4-1,248.88,emergent,NA,438.03278207999995,Byrd 2018
byrd_2018,Sage,4-2,248.24,emergent,NA,436.90637183999996,Byrd 2018
byrd_2018,Sage,5-3,258.64,emergent,NA,455.21053823999995,Byrd 2018
byrd_2018,Sage,5-2,268.32,emergent,NA,472.24749312,Byrd 2018
byrd_2018,Sage,5-1,129.88,emergent,NA,228.59087808,Byrd 2018
byrd_2018,Sage,6-3,441.76,emergent,NA,777.5046681599999,Byrd 2018
byrd_2018,Sage,6-1,967.08,emergent,NA,1702.07627328,Byrd 2018
byrd_2018,Sage,6-2,559.52,emergent,NA,984.76415232,Byrd 2018
byrd_2018,Sage,7-1,346.92,emergent,NA,610.58475072,Byrd 2018
byrd_2018,Sage,7-3,644.8,emergent,NA,1134.8583167999998,Byrd 2018
byrd_2018,Sage,7-2,264.36,emergent,NA,465.27782976000003,Byrd 2018
byrd_2018,Sage,8-1,280.92,emergent,NA,494.42369472,Byrd 2018
byrd_2018,Sage,8-3,628.44,emergent,NA,1106.06445504,Byrd 2018
byrd_2018,Sage,8-2,446.52,emergent,NA,785.8823443199999,Byrd 2018
byrd_2018,Sage,9-1,287.48,emergent,NA,505.96939968,Byrd 2018
byrd_2018,Sage,9-3,673.32,emergent,NA,1185.0539731200001,Byrd 2018
byrd_2018,Sage,9-2,712.84,emergent,NA,1254.6098054400002,Byrd 2018
byrd_2018,Scusset,11-1,497.36,emergent,NA,875.36155776,Byrd 2018
byrd_2018,Scusset,11-3,316.08,emergent,NA,556.3058572799999,Byrd 2018
byrd_2018,Scusset,11-2,591.92,emergent,NA,1041.7886707199998,Byrd 2018
byrd_2018,Scusset,12-2,868.68,emergent,NA,1528.89069888,Byrd 2018
byrd_2018,Scusset,12-3,700.28,emergent,NA,1232.5040044799998,Byrd 2018
byrd_2018,Scusset,12-1,477,emergent,NA,839.5276319999999,Byrd 2018
byrd_2018,Scusset,13-2,748.8,emergent,NA,1317.8999807999999,Byrd 2018
byrd_2018,Scusset,13-3,863.4,emergent,NA,1519.5978143999998,Byrd 2018
byrd_2018,Scusset,13-1,788.4,emergent,NA,1387.5966144,Byrd 2018
byrd_2018,Scusset,14-1,467.72,emergent,NA,823.1946835200001,Byrd 2018
byrd_2018,Scusset,14-2,399.12,emergent,NA,702.4575859199999,Byrd 2018
byrd_2018,Scusset,14-3,566.32,emergent,NA,996.73226112,Byrd 2018
byrd_2018,Scusset,15-2,839.64,emergent,NA,1477.77983424,Byrd 2018
byrd_2018,Scusset,15-3,544.16,emergent,NA,957.73030656,Byrd 2018
byrd_2018,Scusset,15-1,651.4,emergent,NA,1146.4744223999999,Byrd 2018
byrd_2018,Scusset,16-2,837.88,emergent,NA,1474.68220608,Byrd 2018
byrd_2018,Scusset,16-1,497.72,emergent,NA,875.99516352,Byrd 2018
byrd_2018,Scusset,16-3,484.64,emergent,NA,852.97415424,Byrd 2018
byrd_2018,Scusset,17-1,1317.67,emergent,NA,2319.12028272,Byrd 2018
byrd_2018,Scusset,17-2,1571.66,emergent,NA,2766.14674656,Byrd 2018
byrd_2018,Scusset,33-2,1342.5,emergent,NA,2362.82148,Byrd 2018
byrd_2018,Scusset,33-1,703.85,emergent,NA,1238.7872616,Byrd 2018
byrd_2018,Scusset,17-3,1052,emergent,NA,1851.536832,Byrd 2018
byrd_2018,Scusset,33-3,688.63,emergent,NA,1211.99981808,Byrd 2018
byrd_2018,Scusset,18-2,666.63,emergent,NA,1173.27946608,Byrd 2018
byrd_2018,Scusset,18-3,1306.94,emergent,NA,2300.23531104,Byrd 2018
byrd_2018,Scusset,18-1,1653.25,emergent,NA,2909.746452,Byrd 2018
byrd_2018,Scusset,19-2,1684.44,emergent,NA,2964.6413510400002,Byrd 2018
byrd_2018,Scusset,19-1,1359.12,emergent,NA,2392.0729459199997,Byrd 2018
byrd_2018,Scusset,19-3,1766.9,emergent,NA,3109.7722704,Byrd 2018
byrd_2018,Cheq,20-3,468.96,emergent,NA,825.37710336,Byrd 2018
byrd_2018,Cheq,20-1,1263.48,emergent,NA,2223.74501568,Byrd 2018
byrd_2018,Cheq,20-2,860.32,emergent,NA,1514.17696512,Byrd 2018
byrd_2018,Cheq,21-1,640.28,emergent,NA,1126.9030444799998,Byrd 2018
byrd_2018,Cheq,21-3,747.32,emergent,NA,1315.2951571199999,Byrd 2018
byrd_2018,Cheq,21-2,427.04,emergent,NA,751.59723264,Byrd 2018
byrd_2018,Cheq,22-2,565.44,emergent,NA,995.18344704,Byrd 2018
byrd_2018,Cheq,22-1,440.84,emergent,NA,775.88545344,Byrd 2018
byrd_2018,Cheq,22-3,691.12,emergent,NA,1216.38225792,Byrd 2018
byrd_2018,Cheq,23-1,114.96,emergent,NA,202.33143936,Byrd 2018
byrd_2018,Cheq,23-3,218.48,emergent,NA,384.52829568,Byrd 2018
byrd_2018,Cheq,23-2,285.48,emergent,NA,502.4493676800001,Byrd 2018
byrd_2018,Cheq,24-1,898.56,emergent,NA,1581.47997696,Byrd 2018
byrd_2018,Cheq,24-2,453.48,emergent,NA,798.13205568,Byrd 2018
byrd_2018,Cheq,24-3,786.56,emergent,NA,1384.35818496,Byrd 2018
byrd_2018,Cheq,25-1,1424.24,emergent,NA,2506.68518784,Byrd 2018
byrd_2018,Cheq,25-3,703.76,emergent,NA,1238.62886016,Byrd 2018
byrd_2018,Cheq,25-2,601.04,emergent,NA,1057.84001664,Byrd 2018
byrd_2018,OldCty,28-2,527.84,emergent,NA,929.00684544,Byrd 2018
byrd_2018,OldCty,28-3,999.4,emergent,NA,1758.9599904,Byrd 2018
byrd_2018,OldCty,28-1,1118.2,emergent,NA,1968.0498912,Byrd 2018
byrd_2018,OldCty,29-1,943.4,emergent,NA,1660.3990944,Byrd 2018
byrd_2018,OldCty,29-2,637.04,emergent,NA,1121.2005926399997,Byrd 2018
byrd_2018,OldCty,29-3,821.2,emergent,NA,1445.3251392,Byrd 2018
byrd_2018,OldCty,30-3,1463.24,emergent,NA,2575.32581184,Byrd 2018
byrd_2018,OldCty,30-2,712.92,emergent,NA,1254.75060672,Byrd 2018
byrd_2018,OldCty,30-1,814.88,emergent,NA,1434.20183808,Byrd 2018
byrd_2018,OldCty,31-2,884.52,emergent,NA,1556.76935232,Byrd 2018
byrd_2018,OldCty,31-3,640.96,emergent,NA,1128.09985536,Byrd 2018
byrd_2018,OldCty,31-1,904.68,emergent,NA,1592.2512748799998,Byrd 2018
byrd_2018,OldCty,32-2,601.04,emergent,NA,1057.84001664,Byrd 2018
byrd_2018,OldCty,32-1,1096.2,emergent,NA,1929.3295392000002,Byrd 2018
byrd_2018,OldCty,32-3,1260,emergent,NA,2217.62016,Byrd 2018
byrd_2018,SERC,50,245.57,emergent,NA,432.20712912,Byrd 2018
byrd_2018,SERC,49,421.98,emergent,NA,742.69155168,Byrd 2018
byrd_2018,SERC,48,538.62,emergent,NA,947.97981792,Byrd 2018
byrd_2018,SERC,47,463.01,emergent,NA,814.90500816,Byrd 2018
byrd_2018,SERC,45,400.13,emergent,NA,704.23520208,Byrd 2018
byrd_2018,SERC,46,285.34,emergent,NA,502.2029654399999,Byrd 2018
