"gCO2perM2","n"
10096.5433609317,1932
9960.85238366967,1883
9841.51459194361,1667
9989.07965995542,673
9578.64981873754,602
9846.63705075515,437
9012.667486,275
9128.20208769811,265
8824.50080222727,220
9109.80993242291,227
10005.8174644295,149
10120.00092,128
10121.5393816783,143
9803.64430209302,129
9966.95742782609,138
10819.3949229752,121
10775.3791308403,119
10500.9100455372,121
10027.1120226667,120
9753.33422,115
