"CM000_010","CM010_020","CM020_030","CM030_040","CM040_050","CM050_060","CM060_070","CM070_080","CM080_090","CM090_100","CM100_110","CM110_120","CM120_130","CM130_140","CM140_150","CM150_160","CM160_170","CM170_180","CM180_190","CM190_200"
"CM000_010",39066923.1071534,19685868.4978877,16630201.3152873,12812303.660351,11706780.4518337,8243819.04993877,7239526.06237915,8395902.33163943,9533463.91291662,8509164.83005192,4376147.47611008,3575811.38465871,3883287.78084363,5083327.55239846,4668674.40568898,2069194.93958792,1472846.92275312,3503631.19635476,5507310.83917409,5755149.3729282
"CM010_020",19685868.4978877,28026182.7469695,24502974.530972,18125225.0656087,18182607.5683966,11984095.809764,10282931.9825093,11254381.095407,13237846.7861991,13433514.1963361,14940890.2320988,14296057.6932912,12775841.7082388,13363777.4665879,12629748.3547613,11344948.2665157,9891420.71243543,9441054.81146967,9626676.68895376,12688273.1558655
"CM020_030",16630201.3152873,24502974.530972,36815597.9403935,20781712.3213627,19335381.8633923,13968873.6246667,12237884.5277086,11913591.6090415,13310599.722559,13914854.8603618,14906180.9004586,14458334.6341111,14155987.502271,14674383.880551,14165949.5496141,13726343.888646,13057325.9639332,13151831.5630997,14074814.427143,14753897.6423181
"CM030_040",12812303.660351,18125225.0656087,20781712.3213627,23470794.366333,19459270.4085889,12849527.3730879,11942863.0890493,12083153.5853537,13745628.8810149,14161877.4993777,14071332.0275972,13410603.8172696,13527292.2969748,14261191.3270395,13594194.9802606,7900994.67662433,7324051.34108411,9768140.09104769,12504100.3366733,12898241.793732
"CM040_050",11706780.4518337,18182607.5683966,19335381.8633923,19459270.4085889,23463733.4049556,15718024.2598307,15321776.1406304,15464347.2363225,16712518.1734224,16410010.923382,15916750.4757868,15013817.3341188,15398382.7634614,16087808.5636709,15188610.447411,11947918.4614715,11046235.4295184,12104925.3207276,12191600.0891955,13243919.7429041
"CM050_060",8243819.04993877,11984095.809764,13968873.6246667,12849527.3730879,15718024.2598307,19630241.0139185,18493995.7824106,16587779.5855974,15314461.4113207,15069346.3716624,14396723.8459242,13683875.6767112,12827022.7714577,11960561.9747379,11797271.5610868,10872449.050845,10381705.2684864,10460734.4499939,10717948.5781963,10676844.5687596
"CM060_070",7239526.06237915,10282931.9825093,12237884.5277086,11942863.0890493,15321776.1406304,18493995.7824106,19453816.3395639,17325649.9353331,15504627.1281178,14640177.2880818,14120627.6476145,13660402.2571829,13026075.5051989,12235333.3719611,12084464.2247735,11082186.8763843,10716698.2400673,11493955.1545207,11422081.9546065,10926550.7294248
"CM070_080",8395902.33163943,11254381.095407,11913591.6090415,12083153.5853537,15464347.2363225,16587779.5855974,17325649.9353331,18452854.1988741,17888082.4733168,16690189.7931781,14935079.8372643,14049059.2661572,13206382.988807,12976520.1784858,12575607.7315978,8979711.10618983,8599134.58439472,10741131.1125204,11044103.070804,11608226.5574848
"CM080_090",9533463.91291662,13237846.7861991,13310599.722559,13745628.8810149,16712518.1734224,15314461.4113207,15504627.1281178,17888082.4733168,20538624.4557809,19291204.8864697,16287795.282178,15380980.0164984,14336384.9809874,14497604.5934918,13853443.2491658,7912640.24921024,7415259.21340791,10341441.0230488,10818925.8306706,12263237.4516749
"CM090_100",8509164.83005192,13433514.1963361,13914854.8603618,14161877.4993777,16410010.923382,15069346.3716624,14640177.2880818,16690189.7931781,19291204.8864697,19177473.3399484,16622025.1226504,15755267.387756,14741871.1894198,14815423.9173322,14187908.470245,7815332.92415967,7603990.49040777,10117432.8056673,10896592.2943708,12447511.9150884
"CM100_110",4376147.47611008,14940890.2320988,14906180.9004586,14071332.0275972,15916750.4757868,14396723.8459242,14120627.6476145,14935079.8372643,16287795.282178,16622025.1226504,23692389.5042181,22658985.6116789,19930763.9175038,19229783.9103005,18300264.7517928,15814694.6524968,15463482.8036135,14320708.0158537,12313487.0426816,14581648.0329051
"CM110_120",3575811.38465871,14296057.6932912,14458334.6341111,13410603.8172696,15013817.3341188,13683875.6767112,13660402.2571829,14049059.2661572,15380980.0164984,15755267.387756,22658985.6116789,23058881.045319,19682695.7134923,19173634.2719721,18384644.6449992,15695736.879896,15402480.3960635,13982168.8030194,11736150.378267,14705636.7376322
"CM120_130",3883287.78084363,12775841.7082388,14155987.502271,13527292.2969748,15398382.7634614,12827022.7714577,13026075.5051989,13206382.988807,14336384.9809874,14741871.1894198,19930763.9175038,19682695.7134923,21067407.8456145,21341505.7642163,20687272.8480436,13709572.249511,13665522.7275895,14614030.0544985,13187467.2276375,14222401.1512247
"CM130_140",5083327.55239846,13363777.4665879,14674383.880551,14261191.3270395,16087808.5636709,11960561.9747379,12235333.3719611,12976520.1784858,14497604.5934918,14815423.9173322,19229783.9103005,19173634.2719721,21341505.7642163,24113738.1499363,23150822.9259689,13934711.8013376,14158674.7927509,15387071.3605289,14336075.4800439,15529087.8670764
