"class_2006","abbrev_2006","class_2010","abbrev_2010","class","abbrev","variableType","mappedPixelCount","mappedPixelCountSD"
"Estuarine Emergent Wetland","EEM","Estuarine Emergent Wetland","EEM","Estuarine Emergent Wetland to Estuarine Emergent Wetland","EEM_EEM","fixed",21035881,NA
"Estuarine Forested Wetland","EFW","Estuarine Forested Wetland","EFW","Estuarine Forested Wetland to Estuarine Forested Wetland","EFW_EFW","fixed",2201959,NA
"Estuarine Scrub/Shrub Wetland","ESS","Estuarine Scrub/Shrub Wetland","ESS","Estuarine Scrub/Shrub Wetland to Estuarine Scrub/Shrub Wetland","ESS_ESS","fixed",1111724,NA
"Estuarine Emergent Wetland","EEM","Water","OW","Estuarine Emergent Wetland to Water","EEM_OW","fixed",425773,NA
"Water","OW","Estuarine Emergent Wetland","EEM","Water to Estuarine Emergent Wetland","OW_EEM","fixed",81553,NA
"Estuarine Emergent Wetland","EEM","Unconsolidated Shore","UCS","Estuarine Emergent Wetland to Unconsolidated Shore","EEM_UCS","fixed",31005,NA
"Estuarine Emergent Wetland","EEM","Estuarine Aquatic Bed","EAB","Estuarine Emergent Wetland to Estuarine Aquatic Bed","EEM_EAB","fixed",30082,NA
"Estuarine Scrub/Shrub Wetland","ESS","Scrub/Shrub","SS","Estuarine Scrub/Shrub Wetland to Scrub/Shrub","ESS_SS","fixed",23133,NA
"Unconsolidated Shore","UCS","Estuarine Emergent Wetland","EEM","Unconsolidated Shore to Estuarine Emergent Wetland","UCS_EEM","fixed",20418,NA
"Estuarine Forested Wetland","EFW","Estuarine Emergent Wetland","EEM","Estuarine Forested Wetland to Estuarine Emergent Wetland","EFW_EEM","fixed",14982,NA
"Estuarine Emergent Wetland","EEM","Bare Land","BAR","Estuarine Emergent Wetland to Bare Land","EEM_BAR","fixed",13319,NA
"Estuarine Forested Wetland","EFW","Evergreen Forest","EVR","Estuarine Forested Wetland to Evergreen Forest","EFW_EVR","fixed",12291,NA
"Bare Land","BAR","Estuarine Emergent Wetland","EEM","Bare Land to Estuarine Emergent Wetland","BAR_EEM","fixed",8574,NA
"Estuarine Scrub/Shrub Wetland","ESS","Estuarine Emergent Wetland","EEM","Estuarine Scrub/Shrub Wetland to Estuarine Emergent Wetland","ESS_EEM","fixed",7381,NA
"Estuarine Emergent Wetland","EEM","Evergreen Forest","EVR","Estuarine Emergent Wetland to Evergreen Forest","EEM_EVR","fixed",7298,NA
"Estuarine Emergent Wetland","EEM","Low Intensity Developed","LID","Estuarine Emergent Wetland to Low Intensity Developed","EEM_LID","fixed",6362,NA
"Estuarine Emergent Wetland","EEM","Developed Open Space","OSD","Estuarine Emergent Wetland to Developed Open Space","EEM_OSD","fixed",6182,NA
"Estuarine Forested Wetland","EFW","Water","OW","Estuarine Forested Wetland to Water","EFW_OW","fixed",5888,NA
"Estuarine Aquatic Bed","EAB","Estuarine Emergent Wetland","EEM","Estuarine Aquatic Bed to Estuarine Emergent Wetland","EAB_EEM","fixed",5704,NA
"Estuarine Emergent Wetland","EEM","Estuarine Scrub/Shrub Wetland","ESS","Estuarine Emergent Wetland to Estuarine Scrub/Shrub Wetland","EEM_ESS","fixed",4342,NA
"Estuarine Emergent Wetland","EEM","Medium Intensity Developed","MID","Estuarine Emergent Wetland to Medium Intensity Developed","EEM_MID","fixed",3893,NA
"Estuarine Forested Wetland","EFW","Estuarine Scrub/Shrub Wetland","ESS","Estuarine Forested Wetland to Estuarine Scrub/Shrub Wetland","EFW_ESS","fixed",3736,NA
"Pasture/Hay","PAST","Estuarine Emergent Wetland","EEM","Pasture/Hay to Estuarine Emergent Wetland","PAST_EEM","fixed",3560,NA
"Cultivated","CULT","Estuarine Emergent Wetland","EEM","Cultivated to Estuarine Emergent Wetland","CULT_EEM","fixed",2612,NA
"Estuarine Emergent Wetland","EEM","High Intensity Developed","HID","Estuarine Emergent Wetland to High Intensity Developed","EEM_HID","fixed",2006,NA
"Estuarine Scrub/Shrub Wetland","ESS","Estuarine Forested Wetland","EFW","Estuarine Scrub/Shrub Wetland to Estuarine Forested Wetland","ESS_EFW","fixed",1852,NA
"Estuarine Emergent Wetland","EEM","Grassland","GRS","Estuarine Emergent Wetland to Grassland","EEM_GRS","fixed",1785,NA
"Estuarine Scrub/Shrub Wetland","ESS","Water","OW","Estuarine Scrub/Shrub Wetland to Water","ESS_OW","fixed",1624,NA
"Low Intensity Developed","LID","Estuarine Emergent Wetland","EEM","Low Intensity Developed to Estuarine Emergent Wetland","LID_EEM","fixed",979,NA
