salinity,stability,analysis_type,sum_total_MillionTonnesCO2PerYear
Estuarine,Losses,GWP,-8.192813131690153
Estuarine,Stable and Gains,GWP,2.178316156853618
Palustrine,Losses,GWP,-2.4060972944330556
Palustrine,Stable and Gains,GWP,-1.5276764398782325
Estuarine,Losses,SGW/CP,-8.261432922910377
Estuarine,Stable and Gains,SGW/CP,-2.0022380146460046
Palustrine,Losses,SGW/CP,-2.4400729807612245
Palustrine,Stable and Gains,SGW/CP,-6.05683780385039
