"Value","X2006_Clas","X2010_Clas","Class_Name"
1,"Unclassified","Unclassified","Unclassified to Unclassified"
2,"Unclassified","High Intensity Developed","Unclassified to High Intensity Developed"
3,"Unclassified","Medium Intensity Developed","Unclassified to Medium Intensity Developed"
4,"Unclassified","Low Intensity Developed","Unclassified to Low Intensity Developed"
5,"Unclassified","Developed Open Space","Unclassified to Developed Open Space"
6,"Unclassified","Cultivated","Unclassified to Cultivated"
7,"Unclassified","Pasture/Hay","Unclassified to Pasture/Hay"
8,"Unclassified","Grassland","Unclassified to Grassland"
9,"Unclassified","Deciduous Forest","Unclassified to Deciduous Forest"
10,"Unclassified","Evergreen Forest","Unclassified to Evergreen Forest"
11,"Unclassified","Mixed Forest","Unclassified to Mixed Forest"
12,"Unclassified","Scrub/Shrub","Unclassified to Scrub/Shrub"
13,"Unclassified","Palustrine Forested Wetland","Unclassified to Palustrine Forested Wetland"
14,"Unclassified","Palustrine Scrub/Shrub Wetland","Unclassified to Palustrine Scrub/Shrub Wetland"
15,"Unclassified","Palustrine Emergent Wetland","Unclassified to Palustrine Emergent Wetland"
16,"Unclassified","Estuarine Forested Wetland","Unclassified to Estuarine Forested Wetland"
17,"Unclassified","Estuarine Scrub/Shrub Wetland","Unclassified to Estuarine Scrub/Shrub Wetland"
18,"Unclassified","Estuarine Emergent Wetland","Unclassified to Estuarine Emergent Wetland"
19,"Unclassified","Unconsolidated Shore","Unclassified to Unconsolidated Shore"
20,"Unclassified","Bare Land","Unclassified to Bare Land"
21,"Unclassified","Water","Unclassified to Water"
22,"Unclassified","Palustrine Aquatic Bed","Unclassified to Palustrine Aquatic Bed"
23,"Unclassified","Estuarine Aquatic Bed","Unclassified to Estuarine Aquatic Bed"
24,"Unclassified","Tundra","Unclassified to Tundra"
25,"Unclassified","Snow/Ice","Unclassified to Snow/Ice"
26,"High Intensity Developed","Unclassified","High Intensity Developed to Unclassified"
27,"High Intensity Developed","High Intensity Developed","High Intensity Developed to High Intensity Developed"
28,"High Intensity Developed","Medium Intensity Developed","High Intensity Developed to Medium Intensity Developed"
29,"High Intensity Developed","Low Intensity Developed","High Intensity Developed to Low Intensity Developed"
30,"High Intensity Developed","Developed Open Space","High Intensity Developed to Developed Open Space"
31,"High Intensity Developed","Cultivated","High Intensity Developed to Cultivated"
32,"High Intensity Developed","Pasture/Hay","High Intensity Developed to Pasture/Hay"
33,"High Intensity Developed","Grassland","High Intensity Developed to Grassland"
34,"High Intensity Developed","Deciduous Forest","High Intensity Developed to Deciduous Forest"
35,"High Intensity Developed","Evergreen Forest","High Intensity Developed to Evergreen Forest"
36,"High Intensity Developed","Mixed Forest","High Intensity Developed to Mixed Forest"
37,"High Intensity Developed","Scrub/Shrub","High Intensity Developed to Scrub/Shrub"
38,"High Intensity Developed","Palustrine Forested Wetland","High Intensity Developed to Palustrine Forested Wetland"
39,"High Intensity Developed","Palustrine Scrub/Shrub Wetland","High Intensity Developed to Palustrine Scrub/Shrub Wetland"
40,"High Intensity Developed","Palustrine Emergent Wetland","High Intensity Developed to Palustrine Emergent Wetland"
41,"High Intensity Developed","Estuarine Forested Wetland","High Intensity Developed to Estuarine Forested Wetland"
42,"High Intensity Developed","Estuarine Scrub/Shrub Wetland","High Intensity Developed to Estuarine Scrub/Shrub Wetland"
43,"High Intensity Developed","Estuarine Emergent Wetland","High Intensity Developed to Estuarine Emergent Wetland"
44,"High Intensity Developed","Unconsolidated Shore","High Intensity Developed to Unconsolidated Shore"
45,"High Intensity Developed","Bare Land","High Intensity Developed to Bare Land"
46,"High Intensity Developed","Water","High Intensity Developed to Water"
47,"High Intensity Developed","Palustrine Aquatic Bed","High Intensity Developed to Palustrine Aquatic Bed"
48,"High Intensity Developed","Estuarine Aquatic Bed","High Intensity Developed to Estuarine Aquatic Bed"
49,"High Intensity Developed","Tundra","High Intensity Developed to Tundra"
50,"High Intensity Developed","Snow/Ice","High Intensity Developed to Snow/Ice"
51,"Medium Intensity Developed","Unclassified","Medium Intensity Developed to Unclassified"
52,"Medium Intensity Developed","High Intensity Developed","Medium Intensity Developed to High Intensity Developed"
53,"Medium Intensity Developed","Medium Intensity Developed","Medium Intensity Developed to Medium Intensity Developed"
54,"Medium Intensity Developed","Low Intensity Developed","Medium Intensity Developed to Low Intensity Developed"
55,"Medium Intensity Developed","Developed Open Space","Medium Intensity Developed to Developed Open Space"
56,"Medium Intensity Developed","Cultivated","Medium Intensity Developed to Cultivated"
57,"Medium Intensity Developed","Pasture/Hay","Medium Intensity Developed to Pasture/Hay"
58,"Medium Intensity Developed","Grassland","Medium Intensity Developed to Grassland"
59,"Medium Intensity Developed","Deciduous Forest","Medium Intensity Developed to Deciduous Forest"
60,"Medium Intensity Developed","Evergreen Forest","Medium Intensity Developed to Evergreen Forest"
61,"Medium Intensity Developed","Mixed Forest","Medium Intensity Developed to Mixed Forest"
62,"Medium Intensity Developed","Scrub/Shrub","Medium Intensity Developed to Scrub/Shrub"
63,"Medium Intensity Developed","Palustrine Forested Wetland","Medium Intensity Developed to Palustrine Forested Wetland"
64,"Medium Intensity Developed","Palustrine Scrub/Shrub Wetland","Medium Intensity Developed to Palustrine Scrub/Shrub Wetland"
65,"Medium Intensity Developed","Palustrine Emergent Wetland","Medium Intensity Developed to Palustrine Emergent Wetland"
66,"Medium Intensity Developed","Estuarine Forested Wetland","Medium Intensity Developed to Estuarine Forested Wetland"
67,"Medium Intensity Developed","Estuarine Scrub/Shrub Wetland","Medium Intensity Developed to Estuarine Scrub/Shrub Wetland"
68,"Medium Intensity Developed","Estuarine Emergent Wetland","Medium Intensity Developed to Estuarine Emergent Wetland"
69,"Medium Intensity Developed","Unconsolidated Shore","Medium Intensity Developed to Unconsolidated Shore"
70,"Medium Intensity Developed","Bare Land","Medium Intensity Developed to Bare Land"
71,"Medium Intensity Developed","Water","Medium Intensity Developed to Water"
72,"Medium Intensity Developed","Palustrine Aquatic Bed","Medium Intensity Developed to Palustrine Aquatic Bed"
73,"Medium Intensity Developed","Estuarine Aquatic Bed","Medium Intensity Developed to Estuarine Aquatic Bed"
74,"Medium Intensity Developed","Tundra","Medium Intensity Developed to Tundra"
75,"Medium Intensity Developed","Snow/Ice","Medium Intensity Developed to Snow/Ice"
76,"Low Intensity Developed","Unclassified","Low Intensity Developed to Unclassified"
77,"Low Intensity Developed","High Intensity Developed","Low Intensity Developed to High Intensity Developed"
78,"Low Intensity Developed","Medium Intensity Developed","Low Intensity Developed to Medium Intensity Developed"
79,"Low Intensity Developed","Low Intensity Developed","Low Intensity Developed to Low Intensity Developed"
80,"Low Intensity Developed","Developed Open Space","Low Intensity Developed to Developed Open Space"
81,"Low Intensity Developed","Cultivated","Low Intensity Developed to Cultivated"
82,"Low Intensity Developed","Pasture/Hay","Low Intensity Developed to Pasture/Hay"
83,"Low Intensity Developed","Grassland","Low Intensity Developed to Grassland"
84,"Low Intensity Developed","Deciduous Forest","Low Intensity Developed to Deciduous Forest"
85,"Low Intensity Developed","Evergreen Forest","Low Intensity Developed to Evergreen Forest"
86,"Low Intensity Developed","Mixed Forest","Low Intensity Developed to Mixed Forest"
87,"Low Intensity Developed","Scrub/Shrub","Low Intensity Developed to Scrub/Shrub"
88,"Low Intensity Developed","Palustrine Forested Wetland","Low Intensity Developed to Palustrine Forested Wetland"
89,"Low Intensity Developed","Palustrine Scrub/Shrub Wetland","Low Intensity Developed to Palustrine Scrub/Shrub Wetland"
90,"Low Intensity Developed","Palustrine Emergent Wetland","Low Intensity Developed to Palustrine Emergent Wetland"
91,"Low Intensity Developed","Estuarine Forested Wetland","Low Intensity Developed to Estuarine Forested Wetland"
92,"Low Intensity Developed","Estuarine Scrub/Shrub Wetland","Low Intensity Developed to Estuarine Scrub/Shrub Wetland"
93,"Low Intensity Developed","Estuarine Emergent Wetland","Low Intensity Developed to Estuarine Emergent Wetland"
94,"Low Intensity Developed","Unconsolidated Shore","Low Intensity Developed to Unconsolidated Shore"
95,"Low Intensity Developed","Bare Land","Low Intensity Developed to Bare Land"
96,"Low Intensity Developed","Water","Low Intensity Developed to Water"
97,"Low Intensity Developed","Palustrine Aquatic Bed","Low Intensity Developed to Palustrine Aquatic Bed"
98,"Low Intensity Developed","Estuarine Aquatic Bed","Low Intensity Developed to Estuarine Aquatic Bed"
99,"Low Intensity Developed","Tundra","Low Intensity Developed to Tundra"
100,"Low Intensity Developed","Snow/Ice","Low Intensity Developed to Snow/Ice"
101,"Developed Open Space","Unclassified","Developed Open Space to Unclassified"
102,"Developed Open Space","High Intensity Developed","Developed Open Space to High Intensity Developed"
103,"Developed Open Space","Medium Intensity Developed","Developed Open Space to Medium Intensity Developed"
104,"Developed Open Space","Low Intensity Developed","Developed Open Space to Low Intensity Developed"
105,"Developed Open Space","Developed Open Space","Developed Open Space to Developed Open Space"
106,"Developed Open Space","Cultivated","Developed Open Space to Cultivated"
107,"Developed Open Space","Pasture/Hay","Developed Open Space to Pasture/Hay"
108,"Developed Open Space","Grassland","Developed Open Space to Grassland"
109,"Developed Open Space","Deciduous Forest","Developed Open Space to Deciduous Forest"
110,"Developed Open Space","Evergreen Forest","Developed Open Space to Evergreen Forest"
111,"Developed Open Space","Mixed Forest","Developed Open Space to Mixed Forest"
112,"Developed Open Space","Scrub/Shrub","Developed Open Space to Scrub/Shrub"
113,"Developed Open Space","Palustrine Forested Wetland","Developed Open Space to Palustrine Forested Wetland"
114,"Developed Open Space","Palustrine Scrub/Shrub Wetland","Developed Open Space to Palustrine Scrub/Shrub Wetland"
115,"Developed Open Space","Palustrine Emergent Wetland","Developed Open Space to Palustrine Emergent Wetland"
116,"Developed Open Space","Estuarine Forested Wetland","Developed Open Space to Estuarine Forested Wetland"
117,"Developed Open Space","Estuarine Scrub/Shrub Wetland","Developed Open Space to Estuarine Scrub/Shrub Wetland"
118,"Developed Open Space","Estuarine Emergent Wetland","Developed Open Space to Estuarine Emergent Wetland"
119,"Developed Open Space","Unconsolidated Shore","Developed Open Space to Unconsolidated Shore"
120,"Developed Open Space","Bare Land","Developed Open Space to Bare Land"
121,"Developed Open Space","Water","Developed Open Space to Water"
122,"Developed Open Space","Palustrine Aquatic Bed","Developed Open Space to Palustrine Aquatic Bed"
123,"Developed Open Space","Estuarine Aquatic Bed","Developed Open Space to Estuarine Aquatic Bed"
124,"Developed Open Space","Tundra","Developed Open Space to Tundra"
125,"Developed Open Space","Snow/Ice","Developed Open Space to Snow/Ice"
126,"Cultivated","Unclassified","Cultivated to Unclassified"
127,"Cultivated","High Intensity Developed","Cultivated to High Intensity Developed"
128,"Cultivated","Medium Intensity Developed","Cultivated to Medium Intensity Developed"
129,"Cultivated","Low Intensity Developed","Cultivated to Low Intensity Developed"
130,"Cultivated","Developed Open Space","Cultivated to Developed Open Space"
131,"Cultivated","Cultivated","Cultivated to Cultivated"
132,"Cultivated","Pasture/Hay","Cultivated to Pasture/Hay"
133,"Cultivated","Grassland","Cultivated to Grassland"
134,"Cultivated","Deciduous Forest","Cultivated to Deciduous Forest"
135,"Cultivated","Evergreen Forest","Cultivated to Evergreen Forest"
136,"Cultivated","Mixed Forest","Cultivated to Mixed Forest"
137,"Cultivated","Scrub/Shrub","Cultivated to Scrub/Shrub"
138,"Cultivated","Palustrine Forested Wetland","Cultivated to Palustrine Forested Wetland"
139,"Cultivated","Palustrine Scrub/Shrub Wetland","Cultivated to Palustrine Scrub/Shrub Wetland"
140,"Cultivated","Palustrine Emergent Wetland","Cultivated to Palustrine Emergent Wetland"
141,"Cultivated","Estuarine Forested Wetland","Cultivated to Estuarine Forested Wetland"
142,"Cultivated","Estuarine Scrub/Shrub Wetland","Cultivated to Estuarine Scrub/Shrub Wetland"
143,"Cultivated","Estuarine Emergent Wetland","Cultivated to Estuarine Emergent Wetland"
144,"Cultivated","Unconsolidated Shore","Cultivated to Unconsolidated Shore"
145,"Cultivated","Bare Land","Cultivated to Bare Land"
146,"Cultivated","Water","Cultivated to Water"
147,"Cultivated","Palustrine Aquatic Bed","Cultivated to Palustrine Aquatic Bed"
148,"Cultivated","Estuarine Aquatic Bed","Cultivated to Estuarine Aquatic Bed"
149,"Cultivated","Tundra","Cultivated to Tundra"
150,"Cultivated","Snow/Ice","Cultivated to Snow/Ice"
151,"Pasture/Hay","Unclassified","Pasture/Hay to Unclassified"
152,"Pasture/Hay","High Intensity Developed","Pasture/Hay to High Intensity Developed"
153,"Pasture/Hay","Medium Intensity Developed","Pasture/Hay to Medium Intensity Developed"
154,"Pasture/Hay","Low Intensity Developed","Pasture/Hay to Low Intensity Developed"
155,"Pasture/Hay","Developed Open Space","Pasture/Hay to Developed Open Space"
156,"Pasture/Hay","Cultivated","Pasture/Hay to Cultivated"
157,"Pasture/Hay","Pasture/Hay","Pasture/Hay to Pasture/Hay"
158,"Pasture/Hay","Grassland","Pasture/Hay to Grassland"
159,"Pasture/Hay","Deciduous Forest","Pasture/Hay to Deciduous Forest"
160,"Pasture/Hay","Evergreen Forest","Pasture/Hay to Evergreen Forest"
161,"Pasture/Hay","Mixed Forest","Pasture/Hay to Mixed Forest"
162,"Pasture/Hay","Scrub/Shrub","Pasture/Hay to Scrub/Shrub"
163,"Pasture/Hay","Palustrine Forested Wetland","Pasture/Hay to Palustrine Forested Wetland"
164,"Pasture/Hay","Palustrine Scrub/Shrub Wetland","Pasture/Hay to Palustrine Scrub/Shrub Wetland"
165,"Pasture/Hay","Palustrine Emergent Wetland","Pasture/Hay to Palustrine Emergent Wetland"
166,"Pasture/Hay","Estuarine Forested Wetland","Pasture/Hay to Estuarine Forested Wetland"
167,"Pasture/Hay","Estuarine Scrub/Shrub Wetland","Pasture/Hay to Estuarine Scrub/Shrub Wetland"
168,"Pasture/Hay","Estuarine Emergent Wetland","Pasture/Hay to Estuarine Emergent Wetland"
169,"Pasture/Hay","Unconsolidated Shore","Pasture/Hay to Unconsolidated Shore"
170,"Pasture/Hay","Bare Land","Pasture/Hay to Bare Land"
171,"Pasture/Hay","Water","Pasture/Hay to Water"
172,"Pasture/Hay","Palustrine Aquatic Bed","Pasture/Hay to Palustrine Aquatic Bed"
173,"Pasture/Hay","Estuarine Aquatic Bed","Pasture/Hay to Estuarine Aquatic Bed"
174,"Pasture/Hay","Tundra","Pasture/Hay to Tundra"
175,"Pasture/Hay","Snow/Ice","Pasture/Hay to Snow/Ice"
176,"Grassland","Unclassified","Grassland to Unclassified"
177,"Grassland","High Intensity Developed","Grassland to High Intensity Developed"
178,"Grassland","Medium Intensity Developed","Grassland to Medium Intensity Developed"
179,"Grassland","Low Intensity Developed","Grassland to Low Intensity Developed"
180,"Grassland","Developed Open Space","Grassland to Developed Open Space"
181,"Grassland","Cultivated","Grassland to Cultivated"
182,"Grassland","Pasture/Hay","Grassland to Pasture/Hay"
183,"Grassland","Grassland","Grassland to Grassland"
184,"Grassland","Deciduous Forest","Grassland to Deciduous Forest"
185,"Grassland","Evergreen Forest","Grassland to Evergreen Forest"
186,"Grassland","Mixed Forest","Grassland to Mixed Forest"
