class,red,green,blue
HID,243,243,243
MID,172,158,172
LID,148,124,131
OSD,196,207,66
CULT,93,43,13
PAST,196,165,88
GRS,243,189,141
DEC,13,243,13
EVR,13,68,13
MIX,20,165,68
SS,116,116,13
PFW,13,99,99
PSS,243,116,13
PEM,243,13,243
EFW,70,13,70
ESS,116,13,116
EEM,179,13,179
UCS,13,243,243
BARE,243,243,13
OW,13,13,126
PAB,13,13,243
EAB,110,124,221
SNOW,179,249,240
